term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 1447.6020423238472 1.0230062350935416 
destructive 	 6329.185971930921 0.8221880785199407 
elements 	 1782.8946572062173 1.1653200362906024 
crane's 	 4849.9803554969685 1.1653200362906024 
books 	 1267.8111820258216 1.3536276878527662 
catcher 	 4849.9803554969685 1.1653200362906024 
rye 	 4288.184565653132 1.1653200362906024 
huckleberry 	 3430.547652522506 1.2714450032038727 
finn 	 2129.3650147481694 1.4191490187477267 
salinger 	 8576.369131306265 0.8221880785199407 
twain 	 1418.2123709876519 1.5545974356392231 
respectively 	 1792.8651995530329 1.2714450032038727 
compares 	 1411.744326030499 1.2714450032038727 
major 	 723.8010211619236 1.3536276878527662 
characters 	 516.3855980654859 1.759894501433834 
uncle 	 4363.760239583516 1.0230062350935416 
tom's 	 3959.5550955314648 1.1653200362906024 
cabin 	 4727.37456995884 1.0230062350935416 
boy 	 11625.944947575555 0.5174554686276136 
discussion 	 801.9230784628588 1.3536276878527662 
slavery 	 4092.1731140879497 1.0230062350935416 
white 	 3424.7438723122445 0.8221880785199407 
society 	 328.0964867539807 1.6792548374411438 
underlying 	 4764.789839444266 0.8221880785199407 
social 	 244.7625927111093 1.7115472192688825 
protests 	 12276.51934226385 0.5174554686276136 
james 	 907.1117361234619 1.5170584509536702 
fenimore 	 4849.9803554969685 1.1653200362906024 
cooper's 	 19399.921421987874 0.5174554686276136 
attitude 	 3936.741503319596 0.8221880785199407 
indian 	 10029.336182888506 0.5174554686276136 
notes 	 1144.0554883613866 1.2714450032038727 
prejudiced 	 17152.73826261253 0.5174554686276136 
keeping 	 10844.097559375203 0.5174554686276136 
basically 	 12658.371943861843 0.5174554686276136 
puritanical 	 17152.73826261253 0.5174554686276136 
ancestry 	 12658.371943861843 0.5174554686276136 
mohicans 	 19399.921421987874 0.5174554686276136 
cooper 	 6466.640473995958 1.0230062350935416 
historical 	 1080.5249915806305 1.2714450032038727 
novel 	 421.2068430924275 1.778460507821254 
daniel 	 12276.51934226385 0.5174554686276136 
boone 	 15838.220382125859 0.5174554686276136 
john 	 532.1340690187586 1.638820698116363 
blakeless 	 19399.921421987874 0.5174554686276136 
account 	 6235.96518179638 0.5174554686276136 
frontier 	 7452.777551618593 0.8221880785199407 
life 	 223.15841454634526 1.7253718948484478 
author's 	 5542.177802548785 0.8221880785199407 
ability 	 3458.8714486219305 0.8221880785199407 
separate 	 2791.0798368797214 1.0230062350935416 
fiction 	 1084.994595500107 1.5867215189792128 
phillip 	 17152.73826261253 0.5174554686276136 
roth 	 14182.123709876518 0.5174554686276136 
trapped 	 14905.555103237186 0.5174554686276136 
adolescence 	 17152.73826261253 0.5174554686276136 
portnoy's 	 19399.921421987874 0.5174554686276136 
complaint 	 13591.037222750518 0.5174554686276136 
gang 	 14905.555103237186 0.5174554686276136 
roth's 	 19399.921421987874 0.5174554686276136 
preoccupation 	 6795.518611375259 0.8221880785199407 
adolescent 	 4530.3457409168395 1.0230062350935416 
development 	 1257.5228620987805 1.0230062350935416 
cold 	 4843.878695562917 0.8221880785199407 
blood 	 2507.3340457221266 1.1653200362906024 
truman 	 5279.406794041954 1.0230062350935416 
capote 	 6466.640473995958 1.0230062350935416 
legal 	 5534.96986413782 0.5174554686276136 
aspects 	 3063.0281756319105 0.8221880785199407 
discusses 	 243.00722456374402 1.7253718948484478 
sociopathic 	 19399.921421987874 0.5174554686276136 
behavior 	 2352.907210050832 1.0230062350935416 
smith 	 9378.761788200212 0.5174554686276136 
hitchcock 	 19399.921421987874 0.5174554686276136 
regional 	 7967.460601182277 0.5174554686276136 
realism 	 6795.518611375259 0.8221880785199407 
brett 	 19399.921421987874 0.5174554686276136 
hart 	 14905.555103237186 0.5174554686276136 
portrays 	 3397.7593056876294 1.1653200362906024 
story 	 496.0382821166993 1.6792548374411438 
writer 	 3614.6991864584015 1.0230062350935416 
blend 	 14905.555103237186 0.5174554686276136 
western 	 5720.277441806933 0.5174554686276136 
optimism 	 12658.371943861843 0.5174554686276136 
sentimentality 	 19399.921421987874 0.5174554686276136 
confessions 	 14182.123709876518 0.5174554686276136 
nat 	 14905.555103237186 0.5174554686276136 
turner 	 14182.123709876518 0.5174554686276136 
soul 	 3614.6991864584015 1.0230062350935416 
ice 	 5422.048779687601 0.8221880785199407 
styron 	 8576.369131306265 0.8221880785199407 
cleaver 	 15838.220382125859 0.5174554686276136 
comparison 	 219.81130857750895 1.786706885657103 
johnathan 	 19399.921421987874 0.5174554686276136 
livingston 	 15838.220382125859 0.5174554686276136 
seagull 	 15838.220382125859 0.5174554686276136 
reviews 	 1729.4357243109653 1.1653200362906024 
meaning 	 1968.370751659798 1.1653200362906024 
theme 	 547.4472361961263 1.7253718948484478 
rabbit 	 4849.9803554969685 1.1653200362906024 
run 	 3720.287115875245 0.8221880785199407 
updike 	 5717.579420870844 1.0230062350935416 
investigates 	 10620.422670014506 0.5174554686276136 
archetype 	 8576.369131306265 0.8221880785199407 
romantic 	 11625.944947575555 0.5174554686276136 
myth 	 9854.050251530272 0.5174554686276136 
ironic 	 8576.369131306265 0.8221880785199407 
prose 	 4363.760239583516 1.0230062350935416 
post 	 6408.1472354642 0.5174554686276136 
war 	 893.2806554632645 1.3536276878527662 
businessman 	 17152.73826261253 0.5174554686276136 
sinclair's 	 5717.579420870844 1.0230062350935416 
twain's 	 8576.369131306265 0.8221880785199407 
gilded 	 17152.73826261253 0.5174554686276136 
age 	 6292.34921166826 0.5174554686276136 
howell's 	 19399.921421987874 0.5174554686276136 
rise 	 3720.287115875245 0.8221880785199407 
silas 	 19399.921421987874 0.5174554686276136 
lapham 	 19399.921421987874 0.5174554686276136 
dreiser's 	 9699.960710993937 0.8221880785199407 
financier 	 19399.921421987874 0.5174554686276136 
stereotypes 	 13091.280718750546 0.5174554686276136 
examples 	 1312.2471677731987 1.3536276878527662 
businessmans 	 19399.921421987874 0.5174554686276136 
function 	 1729.4357243109653 1.1653200362906024 
symbolism 	 2983.735137625294 1.1653200362906024 
century 	 923.9478775752134 1.4191490187477267 
writers 	 1875.7523576400422 1.2714450032038727 
hawthorne 	 2639.703397020977 1.3536276878527662 
melville 	 2129.3650147481694 1.4191490187477267 
poe 	 1490.5555103237186 1.5545974356392231 
romanticism 	 12658.371943861843 0.5174554686276136 
european 	 6126.056351263821 0.5174554686276136 
style 	 1138.2086573117538 1.4191490187477267 
reality 	 2791.0798368797214 1.0230062350935416 
supernatural 	 7452.777551618593 0.8221880785199407 
satire 	 6545.640359375273 0.8221880785199407 
narrative 	 1989.1567584168627 1.3536276878527662 
mark 	 5422.048779687601 0.8221880785199407 
observations 	 10029.336182888506 0.5174554686276136 
styles 	 4843.878695562917 0.8221880785199407 
romantics 	 19399.921421987874 0.5174554686276136 
examines 	 140.09052022488842 1.8307951434819385 
rich 	 5671.927031687587 0.8221880785199407 
variety 	 3391.32000775661 0.8221880785199407 
writing 	 1152.9571495406437 1.3536276878527662 
thoreau 	 14905.555103237186 0.5174554686276136 
washington 	 3424.7438723122445 0.8221880785199407 
irving 	 8576.369131306265 0.8221880785199407 
heroic 	 8576.369131306265 0.8221880785199407 
image 	 2933.278946493108 0.8221880785199407 
gardner's 	 19399.921421987874 0.5174554686276136 
grendel 	 17152.73826261253 0.5174554686276136 
beowolf 	 19399.921421987874 0.5174554686276136 
action 	 6528.235038251893 0.5174554686276136 
existence 	 4843.878695562917 0.8221880785199407 
character 	 363.1174292667432 1.786706885657103 
literary 	 1459.2348229368026 1.4191490187477267 
significance 	 1945.5382558782906 1.1653200362906024 
analytical 	 11625.944947575555 0.5174554686276136 
study 	 786.6723738940372 1.2714450032038727 
attitudes 	 1991.8651502955693 1.1653200362906024 
henry 	 3470.3962614955003 1.0230062350935416 
miller 	 2711.0243898438007 1.1653200362906024 
lawrence 	 10411.188784486501 0.5174554686276136 
obscenity 	 14905.555103237186 0.5174554686276136 
pornography 	 4727.37456995884 1.0230062350935416 
miller's 	 7919.1101910629295 0.8221880785199407 
particular 	 3063.0281756319105 0.8221880785199407 
fascination 	 14905.555103237186 0.5174554686276136 
exotic 	 19399.921421987874 0.5174554686276136 
esoteric 	 17152.73826261253 0.5174554686276136 
systems 	 5113.337622357163 0.5174554686276136 
including 	 948.8153985340632 1.0230062350935416 
tropic 	 19399.921421987874 0.5174554686276136 
cancer 	 10620.422670014506 0.5174554686276136 
viewpoints 	 3229.2524637086112 1.0230062350935416 
lawrence's 	 5279.406794041954 1.0230062350935416 
advantages 	 8064.243907713542 0.5174554686276136 
criticisms 	 4727.37456995884 1.0230062350935416 
youth 	 3404.8812535192064 1.0230062350935416 
modern 	 1089.2284779639906 1.2714450032038727 
short 	 640.8147235464199 1.5545974356392231 
identifies 	 11343.854063375175 0.5174554686276136 
dilemmas 	 14905.555103237186 0.5174554686276136 
mother 	 4764.789839444266 0.8221880785199407 
son 	 3404.8812535192064 1.0230062350935416 
relations 	 5768.3079499223595 0.5174554686276136 
identity 	 1905.9159357777066 1.2714450032038727 
inexperience 	 17152.73826261253 0.5174554686276136 
disillusionment 	 11934.940550501176 0.5174554686276136 
invisible 	 4968.518367745729 1.0230062350935416 
heart 	 9378.761788200212 0.5174554686276136 
darkness 	 13091.280718750546 0.5174554686276136 
shared 	 8266.934905047026 0.5174554686276136 
lord 	 3164.5929859654607 1.1653200362906024 
flies 	 3726.3887758092965 1.1653200362906024 
chocolate 	 9699.960710993937 0.8221880785199407 
novels 	 1326.1045056112418 1.5170584509536702 
dealing 	 3264.1175191259463 0.8221880785199407 
peer 	 13591.037222750518 0.5174554686276136 
pressure 	 8164.005625111157 0.5174554686276136 
conflicts 	 4418.586222861114 0.8221880785199407 
values 	 1213.7327532521988 1.3536276878527662 
environment 	 1183.364493147163 1.2714450032038727 
standardized 	 13591.037222750518 0.5174554686276136 
george 	 2945.724148574076 1.0230062350935416 
babbit 	 9699.960710993937 0.8221880785199407 
sinclair 	 3430.547652522506 1.2714450032038727 
lewis 	 3540.1408900048355 1.0230062350935416 
analysis 	 124.64943820065741 1.8356482779113388 
mechanized 	 8576.369131306265 0.8221880785199407 
man's 	 2005.867236577701 1.2714450032038727 
inability 	 9854.050251530272 0.5174554686276136 
free 	 2051.2740406245875 0.8221880785199407 
babbitt 	 8576.369131306265 0.8221880785199407 
illusions 	 14182.123709876518 0.5174554686276136 
materialism 	 6795.518611375259 0.8221880785199407 
relation 	 2176.0783460839643 1.0230062350935416 
thurber 	 19399.921421987874 0.5174554686276136 
recurrent 	 17152.73826261253 0.5174554686276136 
themes 	 826.970082181803 1.5867215189792128 
thurber's 	 19399.921421987874 0.5174554686276136 
dominant 	 5014.668091444253 0.8221880785199407 
victimized 	 14182.123709876518 0.5174554686276136 
machines 	 11625.944947575555 0.5174554686276136 
domination 	 13091.280718750546 0.5174554686276136 
humiliations 	 19399.921421987874 0.5174554686276136 
hands 	 9529.579678888533 0.5174554686276136 
ones 	 5205.594392243251 0.8221880785199407 
anti 	 898.9070302383228 1.4191490187477267 
hero 	 1583.4793721567955 1.4191490187477267 
contemporary 	 3391.32000775661 0.8221880785199407 
floating 	 13091.280718750546 0.5174554686276136 
opera 	 11625.944947575555 0.5174554686276136 
seize 	 14182.123709876518 0.5174554686276136 
day 	 2251.2714339257655 0.8221880785199407 
hall 	 9529.579678888533 0.5174554686276136 
mirrors 	 17152.73826261253 0.5174554686276136 
night 	 8714.818302401836 0.5174554686276136 
cuckoo's 	 2639.703397020977 1.3536276878527662 
nest 	 2262.602911732266 1.4191490187477267 
kill 	 12276.51934226385 0.5174554686276136 
mockingbird 	 17152.73826261253 0.5174554686276136 
treatment 	 5317.304244338227 0.5174554686276136 
racial 	 10029.336182888506 0.5174554686276136 
hatred 	 12276.51934226385 0.5174554686276136 
reflected 	 3781.2846877917254 1.0230062350935416 
crane 	 2771.0889012743924 1.1653200362906024 
arrangement 	 11625.944947575555 0.5174554686276136 
kazan 	 17152.73826261253 0.5174554686276136 
main 	 1454.26518708455 1.1653200362906024 
exhibit 	 15838.220382125859 0.5174554686276136 
neurotic 	 6466.640473995958 1.0230062350935416 
tendencies 	 13591.037222750518 0.5174554686276136 
axelrod 	 19399.921421987874 0.5174554686276136 
light 	 1305.6470076503786 1.2714450032038727 
class 	 3294.994643173442 0.8221880785199407 
conflict 	 2260.8800051710737 1.0230062350935416 
thematic 	 6138.259671131925 0.8221880785199407 
schemes 	 14182.123709876518 0.5174554686276136 
herzog 	 5279.406794041954 1.0230062350935416 
dalloway 	 14905.555103237186 0.5174554686276136 
examined 	 4082.0028125555787 0.8221880785199407 
subjectivity 	 14182.123709876518 0.5174554686276136 
deerslayer 	 19399.921421987874 0.5174554686276136 
comic 	 7452.777551618593 0.8221880785199407 
book 	 436.18095702414905 1.614523511665609 
observes 	 2517.606680068924 0.8221880785199407 
natty 	 19399.921421987874 0.5174554686276136 
bumppo 	 19399.921421987874 0.5174554686276136 
deeslayer 	 19399.921421987874 0.5174554686276136 
aliases 	 19399.921421987874 0.5174554686276136 
similar 	 3204.0736177321 0.8221880785199407 
particularly 	 1922.7693166407867 1.0230062350935416 
heroes 	 14182.123709876518 0.5174554686276136 
superman 	 14905.555103237186 0.5174554686276136 
batman 	 19399.921421987874 0.5174554686276136 
watership 	 19399.921421987874 0.5174554686276136 
adams 	 6138.259671131925 0.8221880785199407 
critique 	 2755.644968349009 1.0230062350935416 
extensive 	 8964.325997765165 0.5174554686276136 
allegory 	 7452.777551618593 0.8221880785199407 
primitive 	 14182.123709876518 0.5174554686276136 
fairly 	 12658.371943861843 0.5174554686276136 
advanced 	 8164.005625111157 0.5174554686276136 
stages 	 5812.972473787778 0.8221880785199407 
adventures 	 4219.457314620615 1.0230062350935416 
river 	 5107.321880278809 0.8221880785199407 
upton 	 3167.644076425172 1.2714450032038727 
socialist 	 10411.188784486501 0.5174554686276136 
liberal 	 8373.239510639163 0.5174554686276136 
jungle 	 2981.1110206474373 1.2714450032038727 
feeling 	 5671.927031687587 0.8221880785199407 
nuance 	 19399.921421987874 0.5174554686276136 
popular 	 7360.520781732506 0.5174554686276136 
serious 	 10411.188784486501 0.5174554686276136 
analyzes 	 747.7387834699698 1.4191490187477267 
attempts 	 3391.32000775661 0.8221880785199407 
portray 	 15838.220382125859 0.5174554686276136 
common 	 2908.5303741691 0.8221880785199407 
basis 	 6408.1472354642 0.5174554686276136 
authority 	 784.3024033502772 1.5170584509536702 
circumstance 	 13591.037222750518 0.5174554686276136 
escape 	 4363.760239583516 1.0230062350935416 
analyses 	 5310.211335007253 0.8221880785199407 
burial 	 7919.1101910629295 0.8221880785199407 
citing 	 11343.854063375175 0.5174554686276136 
paine 	 15838.220382125859 0.5174554686276136 
kesey 	 2858.789710435422 1.3536276878527662 
effects 	 1268.5100428778253 1.1653200362906024 
drummer 	 19399.921421987874 0.5174554686276136 
kelly 	 15838.220382125859 0.5174554686276136 
noting 	 1602.03680886605 1.1653200362906024 
transition 	 9687.757391125833 0.5174554686276136 
strength 	 5205.594392243251 0.8221880785199407 
counterpoint 	 19399.921421987874 0.5174554686276136 
cowardice 	 19399.921421987874 0.5174554686276136 
gatsby 	 5279.406794041954 1.0230062350935416 
critical 	 705.5256934027242 1.5170584509536702 
comparision 	 14905.555103237186 0.5174554686276136 
movie 	 4727.37456995884 1.0230062350935416 
fire 	 9096.670903999833 0.5174554686276136 
lake 	 9234.649173945567 0.5174554686276136 
origins 	 7282.396519513192 0.5174554686276136 
outcomes 	 12658.371943861843 0.5174554686276136 
vietnam 	 9529.579678888533 0.5174554686276136 
stressing 	 4617.324586972783 0.8221880785199407 
biography 	 4482.1629988825825 0.8221880785199407 
intent 	 11343.854063375175 0.5174554686276136 
highly 	 2721.335208370386 1.0230062350935416 
policy 	 5153.117262539825 0.5174554686276136 
southeast 	 11625.944947575555 0.5174554686276136 
asia 	 10844.097559375203 0.5174554686276136 
raven 	 17152.73826261253 0.5174554686276136 
whale 	 17152.73826261253 0.5174554686276136 
perry 	 6545.640359375273 0.8221880785199407 
peo 	 19399.921421987874 0.5174554686276136 
tom 	 5107.321880278809 0.8221880785199407 
sawyer 	 17152.73826261253 0.5174554686276136 
huck 	 5279.406794041954 1.0230062350935416 
contrast 	 1033.3668631308783 1.4726094333971056 
twin 	 15838.220382125859 0.5174554686276136 
plan 	 5866.557892986216 0.5174554686276136 
jim 	 10620.422670014506 0.5174554686276136 
dream 	 2771.0889012743924 1.1653200362906024 
kings 	 13591.037222750518 0.5174554686276136 
petrakis 	 19399.921421987874 0.5174554686276136 
centering 	 9687.757391125833 0.5174554686276136 
question 	 3174.8656203122587 0.8221880785199407 
questions 	 5234.171484289788 0.5174554686276136 
fate 	 5671.927031687587 0.8221880785199407 
luck 	 14182.123709876518 0.5174554686276136 
chance 	 9687.757391125833 0.5174554686276136 
saul 	 2450.3911803732185 1.4191490187477267 
bellow 	 3233.320236997979 1.3536276878527662 
bellow's 	 4849.9803554969685 1.1653200362906024 
key 	 5672.948134083556 0.5174554686276136 
dangling 	 5717.579420870844 1.0230062350935416 
victim 	 9378.761788200212 0.5174554686276136 
symbolic 	 5422.048779687601 0.8221880785199407 
eac 	 19399.921421987874 0.5174554686276136 
weight 	 10620.422670014506 0.5174554686276136 
deformity 	 19399.921421987874 0.5174554686276136 
cannibalism 	 19399.921421987874 0.5174554686276136 
imprisonment 	 5422.048779687601 0.8221880785199407 
bestiality 	 19399.921421987874 0.5174554686276136 
movement 	 5402.624957903153 0.5174554686276136 
reflection 	 5107.321880278809 0.8221880785199407 
criticism 	 3229.2524637086112 1.0230062350935416 
ideas 	 6589.989286346884 0.5174554686276136 
seen 	 1225.211270252764 1.2714450032038727 
augie 	 19399.921421987874 0.5174554686276136 
march 	 7058.721630152495 0.5174554686276136 
henderson 	 13091.280718750546 0.5174554686276136 
rain 	 11084.35560509757 0.5174554686276136 
king 	 2827.716113723908 1.0230062350935416 
atlas 	 15838.220382125859 0.5174554686276136 
shrugged 	 17152.73826261253 0.5174554686276136 
ayn 	 19399.921421987874 0.5174554686276136 
rand 	 17152.73826261253 0.5174554686276136 
vehicle 	 8714.818302401836 0.5174554686276136 
novelist's 	 19399.921421987874 0.5174554686276136 
personal 	 2318.126269709459 0.8221880785199407 
virtues 	 7452.777551618593 0.8221880785199407 
selfishness 	 15838.220382125859 0.5174554686276136 
traces 	 7440.57423175049 0.5174554686276136 
developments 	 8596.91439999986 0.5174554686276136 
genre 	 7091.061854938259 0.8221880785199407 
barth 	 7452.777551618593 0.8221880785199407 
vonnegut 	 2858.789710435422 1.3536276878527662 
robert 	 1152.9571495406437 1.3536276878527662 
stone 	 13591.037222750518 0.5174554686276136 
wretched 	 17152.73826261253 0.5174554686276136 
earth 	 8964.325997765165 0.5174554686276136 
frantz 	 19399.921421987874 0.5174554686276136 
fanon 	 17152.73826261253 0.5174554686276136 
milestone 	 19399.921421987874 0.5174554686276136 
specifically 	 7360.520781732506 0.5174554686276136 
african 	 9529.579678888533 0.5174554686276136 
consciousness 	 5107.321880278809 0.8221880785199407 
national 	 3695.066887689118 0.5174554686276136 
independence 	 4482.1629988825825 0.8221880785199407 
individuality 	 14182.123709876518 0.5174554686276136 
fahrenheit 	 19399.921421987874 0.5174554686276136 
ray 	 14905.555103237186 0.5174554686276136 
bradbury 	 6466.640473995958 1.0230062350935416 
archetypal 	 15838.220382125859 0.5174554686276136 
futuristic 	 17152.73826261253 0.5174554686276136 
novella 	 8576.369131306265 0.8221880785199407 
flew 	 2109.7286573103074 1.3536276878527662 
cuckoo' 	 19399.921421987874 0.5174554686276136 
ken 	 8576.369131306265 0.8221880785199407 
motivation 	 10411.188784486501 0.5174554686276136 
seminal 	 13591.037222750518 0.5174554686276136 
malaise 	 17152.73826261253 0.5174554686276136 
slaughterhouse 	 5279.406794041954 1.0230062350935416 
joyce's 	 17152.73826261253 0.5174554686276136 
portrait 	 5671.927031687587 0.8221880785199407 
artist 	 5542.177802548785 0.8221880785199407 
wolfe's 	 17152.73826261253 0.5174554686276136 
look 	 1038.6782144750293 1.2714450032038727 
homeward 	 19399.921421987874 0.5174554686276136 
angel 	 19399.921421987874 0.5174554686276136 
faulkner's 	 7919.1101910629295 0.8221880785199407 
sound 	 8596.91439999986 0.5174554686276136 
fury 	 19399.921421987874 0.5174554686276136 
growing 	 3391.32000775661 0.8221880785199407 
loss 	 7693.325549195296 0.5174554686276136 
innocence 	 12658.371943861843 0.5174554686276136 
faith 	 3176.526559629511 1.0230062350935416 
gains 	 10029.336182888506 0.5174554686276136 
discovery 	 5310.211335007253 0.8221880785199407 
overview 	 5626.299847263849 0.5174554686276136 
madness 	 14182.123709876518 0.5174554686276136 
cheever 	 9699.960710993937 0.8221880785199407 
walker 	 6329.185971930921 0.8221880785199407 
percy 	 14182.123709876518 0.5174554686276136 
sirens 	 19399.921421987874 0.5174554686276136 
titan 	 14905.555103237186 0.5174554686276136 
martian 	 19399.921421987874 0.5174554686276136 
chronicles 	 6138.259671131925 0.8221880785199407 
tales 	 14905.555103237186 0.5174554686276136 
carson 	 15838.220382125859 0.5174554686276136 
mccullers 	 19399.921421987874 0.5174554686276136 
ballad 	 19399.921421987874 0.5174554686276136 
sad 	 14905.555103237186 0.5174554686276136 
cafe 	 13091.280718750546 0.5174554686276136 
reflections 	 14182.123709876518 0.5174554686276136 
eye 	 4927.025125765136 0.8221880785199407 
love 	 930.3599456265737 1.5170584509536702 
marriage 	 3540.1408900048355 1.0230062350935416 
nina 	 14905.555103237186 0.5174554686276136 
insight 	 3694.7852016991897 1.0230062350935416 
manual 	 11084.35560509757 0.5174554686276136 
married 	 11934.940550501176 0.5174554686276136 
contemplating 	 17152.73826261253 0.5174554686276136 
offers 	 3358.571419194911 0.8221880785199407 
profound 	 11625.944947575555 0.5174554686276136 
sociological 	 2945.724148574076 1.0230062350935416 
institution 	 9096.670903999833 0.5174554686276136 
falconer 	 19399.921421987874 0.5174554686276136 
viewpoint 	 11934.940550501176 0.5174554686276136 
isolated 	 13091.280718750546 0.5174554686276136 
extreme 	 10411.188784486501 0.5174554686276136 
situation 	 6292.34921166826 0.5174554686276136 
pride 	 3978.3135168337253 1.0230062350935416 
prejudice 	 4092.1731140879497 1.0230062350935416 
wuthering 	 8576.369131306265 0.8221880785199407 
heights 	 6329.185971930921 0.8221880785199407 
austin 	 12658.371943861843 0.5174554686276136 
bronte 	 7919.1101910629295 0.8221880785199407 
joyce 	 4727.37456995884 1.0230062350935416 
revolutionary 	 9529.579678888533 0.5174554686276136 
crises 	 12276.51934226385 0.5174554686276136 
capote's 	 9699.960710993937 0.8221880785199407 
voices 	 7919.1101910629295 0.8221880785199407 
portrayal 	 4530.3457409168395 1.0230062350935416 
helpless 	 14905.555103237186 0.5174554686276136 
unfortunates 	 19399.921421987874 0.5174554686276136 
incessant 	 15838.220382125859 0.5174554686276136 
warfare 	 11934.940550501176 0.5174554686276136 
private 	 6235.96518179638 0.5174554686276136 
world 	 449.31646252121726 1.4726094333971056 
live 	 8266.934905047026 0.5174554686276136 
benjamin 	 12658.371943861843 0.5174554686276136 
franklin 	 11084.35560509757 0.5174554686276136 
willliam 	 19399.921421987874 0.5174554686276136 
bradford 	 19399.921421987874 0.5174554686276136 
