term 	 tf-idf weight 	 BM25 ranking 
newton's 	 1735.3415213992853 1.5919980154511306 
law 	 242.56812312338386 1.5919980154511306 
coefficient 	 1333.316156674517 1.5919980154511306 
equation 	 1268.6045267933962 1.5919980154511306 
motion 	 931.2907919497486 1.5919980154511306 
constant 	 1067.591844431012 1.5919980154511306 
masses 	 495.75310386771974 1.7728272773014728 
factor 	 852.4300144594926 1.5919980154511306 
true 	 384.50110672423807 1.7728272773014728 
coefficients 	 1735.3415213992853 1.5919980154511306 
values 	 651.4173320971084 1.5919980154511306 
