term 	 tf-idf weight 	 BM25 ranking 
recognize 	 12613.538524492255 0.46162058904073683 
grant 	 12892.99968748394 0.46162058904073683 
plenary 	 3684.511354780791 1.2001110268999797 
review 	 726.8372428367769 1.3549397989571486 
regardless 	 2916.4579538612397 1.0910237895669315 
strength 	 4036.663880968393 0.9474837570748075 
court's 	 730.6513330942553 1.701551275026646 
decision 	 1118.254641124677 1.2858204966192934 
believe 	 1947.9016776446813 1.2001110268999797 
summarily 	 22565.423714471395 0.46162058904073683 
affirmed 	 5779.235892896096 0.9474837570748075 
understand 	 3089.1727253812837 0.9474837570748075 
impression 	 5075.798847461269 0.9474837570748075 
prefer 	 7361.924830398367 0.7501084303501454 
comprehensive 	 8470.671583924814 0.46162058904073683 
examination 	 5768.080060299418 0.46162058904073683 
compiled 	 19951.56569657984 0.46162058904073683 
agree 	 5542.264800908183 0.7501084303501454 
circumstances 	 8127.617008311017 0.46162058904073683 
appropriate 	 1131.4967246941756 1.4118607475612985 
plainly 	 11282.711857235698 0.7501084303501454 
accordingly 	 5641.355928617849 1.0910237895669315 
oppose 	 7904.3493780062 0.7501084303501454 
request 	 5139.570834796194 0.7501084303501454 
particularly 	 3354.763923374031 0.7501084303501454 
understanding 	 9267.51817614385 0.46162058904073683 
argued 	 4204.512841497419 0.9474837570748075 
decided 	 5290.491360114646 0.7501084303501454 
example 	 1330.7320316504592 1.2001110268999797 
government 	 68.45323622741977 1.9024604882875176 
argue 	 3470.5938321977123 1.0910237895669315 
apparently 	 6941.187664395425 0.7501084303501454 
sections 	 2578.5999374967882 1.2001110268999797 
criminalize 	 7521.807904823799 0.9474837570748075 
speaker 	 879.6560492080565 1.6364324512172066 
knows 	 2313.7292214651416 1.2858204966192934 
recipients 	 2776.47506575817 1.2001110268999797 
age 	 487.93849223115376 1.6364324512172066 
frequently 	 9739.508388223407 0.46162058904073683 
ignores 	 9211.278386951977 0.7501084303501454 
dispositive 	 22565.423714471395 0.46162058904073683 
findings 	 447.56145942510716 1.7561470938845098 
erroneous 	 9975.78284828992 0.7501084303501454 
complete 	 4190.969039095486 0.7501084303501454 
picture 	 11268.517310899295 0.46162058904073683 
counterstatement 	 22565.423714471395 0.46162058904073683 
plaintiffs 	 4605.639193475989 1.0910237895669315 
actions 	 8127.617008311017 0.46162058904073683 
consolidated 	 5779.235892896096 0.9474837570748075 
represent 	 10741.475026202572 0.46162058904073683 
broad 	 3246.5027960744687 0.9474837570748075 
diverse 	 7139.844916668256 0.7501084303501454 
spectrum 	 7139.844916668256 0.7501084303501454 
providers 	 694.4653020063604 1.701551275026646 
service 	 954.0806998374933 1.2858204966192934 
users 	 1408.5646638624119 1.4118607475612985 
appellee 	 6650.521898859947 0.9474837570748075 
include 	 3219.0578898309254 0.7501084303501454 
profit 	 3475.68099296447 0.9474837570748075 
organizations 	 2031.9042520777543 1.0910237895669315 
libraries 	 5779.235892896096 0.9474837570748075 
book 	 6088.235862818257 0.46162058904073683 
stores 	 14723.849660796734 0.46162058904073683 
commercial 	 332.8715112695285 1.7727738653829415 
isps 	 11282.711857235698 0.7501084303501454 
world's 	 13522.96064074874 0.46162058904073683 
leading 	 5812.185826246412 0.46162058904073683 
services 	 590.4654016150154 1.4595506950434798 
collectively 	 19951.56569657984 0.46162058904073683 
provide 	 1277.2202323801625 1.2001110268999797 
enormous 	 13522.96064074874 0.46162058904073683 
variety 	 3944.684685148111 0.7501084303501454 
aids 	 11084.529601816366 0.46162058904073683 
awareness 	 12613.538524492255 0.46162058904073683 
classical 	 10580.982720229293 0.46162058904073683 
modern 	 6334.794247998471 0.46162058904073683 
literature 	 4738.444250107159 0.46162058904073683 
political 	 3571.0754507695992 0.46162058904073683 
commentary 	 13522.96064074874 0.46162058904073683 
discussions 	 5940.688097017702 0.7501084303501454 
array 	 16496.233346682402 0.46162058904073683 
topics 	 11268.517310899295 0.46162058904073683 
constitutionally 	 1995.1565696579844 1.5000867367561987 
protected 	 1156.8646107325708 1.565296093249458 
majority 	 1563.3489500302162 1.2858204966192934 
minors 	 801.4419232833584 1.701551275026646 
communities 	 10427.04297889341 0.46162058904073683 
considered 	 1953.296240250464 1.0910237895669315 
includes 	 5161.804245463005 0.46162058904073683 
contain 	 4627.458442930283 0.9474837570748075 
dirty 	 18422.556773903954 0.46162058904073683 
words 	 5068.411446384534 0.7501084303501454 
found 	 252.26137045263707 1.7872780180806018 
fcc 	 2039.9556904766443 1.3549397989571486 
pacifica 	 4513.08474289428 1.2001110268999797 
foundation 	 2403.964491589477 1.0910237895669315 
sexual 	 10427.04297889341 0.46162058904073683 
issues 	 2618.613379806928 0.7501084303501454 
images 	 1797.2575033757319 1.0910237895669315 
depict 	 16496.233346682402 0.46162058904073683 
sexually 	 1691.9329491537567 1.4595506950434798 
oriented 	 4398.280246040283 0.9474837570748075 
subjects 	 12109.99164290518 0.46162058904073683 
charge 	 1303.3803723616763 1.4118607475612985 
money 	 7125.650370331853 0.46162058904073683 
available 	 268.2716264759284 1.7368949627803576 
appellees' 	 22565.423714471395 0.46162058904073683 
free 	 954.3928941635188 1.2001110268999797 
seek 	 10909.102622857186 0.46162058904073683 
broadest 	 22565.423714471395 0.46162058904073683 
listeners 	 6650.521898859947 0.9474837570748075 
outside 	 2237.163066472506 1.0910237895669315 
entirely 	 4204.512841497419 0.9474837570748075 
omits 	 11282.711857235698 0.7501084303501454 
reference 	 9051.973797553404 0.46162058904073683 
discussion 	 5596.641447655966 0.46162058904073683 
unusually 	 19951.56569657984 0.46162058904073683 
detailed 	 7967.124702337739 0.46162058904073683 
factual 	 1216.0537504624924 1.5919118744426424 
formed 	 10741.475026202572 0.46162058904073683 
