term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 316.57922517199495 1.6544569205168542 
soc 	 942.9529347455339 1.2295830179977365 
sports 	 897.195123258996 1.2295830179977365 
recreation 	 916.4451745067552 1.2295830179977365 
spt 	 922.9797829761463 1.2295830179977365 
urban 	 903.5539102767731 1.2295830179977365 
urb 	 949.7376755159848 1.2295830179977365 
women's 	 903.5539102767731 1.2295830179977365 
wom 	 949.7376755159848 1.2295830179977365 
home 	 316.6408276910756 1.2295830179977365 
page 	 174.01512983938457 1.522900029069447 
topic 	 936.2325052817624 1.2295830179977365 
search 	 430.09771213053085 1.522900029069447 
custom 	 461.48989148807317 1.522900029069447 
classical 	 397.87413145810496 1.7772824507452258 
ancient 	 1855.198079546808 1.2295830179977365 
specific 	 764.7710050943715 1.2295830179977365 
paper 	 203.42173774465502 1.729143622019512 
click 	 436.15768875640276 1.522900029069447 
catalog 	 929.5751793737265 1.2295830179977365 
button 	 848.2791773747473 1.2295830179977365 
title 	 409.66819162994324 1.522900029069447 
description 	 866.2295032356088 1.2295830179977365 
written 	 780.7042598934812 1.2295830179977365 
pgs 	 28.57433135592527 1.9627337712016693 
pages 	 825.0311929932468 1.2295830179977365 
footnotes 	 942.9529347455339 1.2295830179977365 
sources 	 412.5155964966234 1.522900029069447 
price 	 813.6869509786201 1.2295830179977365 
ludwig 	 2972.253359324527 1.2295830179977365 
van 	 1351.636775278063 1.2295830179977365 
beethoven 	 468.89618399877713 1.8547353465384602 
stylistic 	 4242.610823007219 1.2295830179977365 
development 	 91.67013255480519 1.8698253202708355 
examines 	 158.28961258599747 1.8108922409000376 
observation 	 1627.1952900404372 1.2295830179977365 
style 	 290.40353517572663 1.8108922409000376 
periods 	 2118.6366410574383 1.2295830179977365 
characterized 	 2424.061728566988 1.2295830179977365 
imitation 	 3101.519343091441 1.2295830179977365 
haydn 	 1414.2036076690729 1.6544569205168542 
mozart 	 468.89618399877713 1.8547353465384602 
complete 	 1575.9199409804821 1.2295830179977365 
freedom 	 1363.7567285298069 1.2295830179977365 
models 	 1785.4040679222119 1.2295830179977365 
third 	 720.5895132664931 1.522900029069447 
personal 	 506.95605343121724 1.522900029069447 
introspective 	 4242.610823007219 1.2295830179977365 
chopin 	 2121.3054115036093 1.522900029069447 
discussion 	 526.1228833715301 1.522900029069447 
life 	 175.69078879953474 1.7772824507452258 
composer 	 318.1067252585556 1.8698253202708355 
gregorian 	 3751.169471990217 1.2295830179977365 
chants 	 3463.694710341528 1.2295830179977365 
beginnings 	 2276.8454189392132 1.2295830179977365 
recorded 	 2424.061728566988 1.2295830179977365 
christian 	 580.8070703514533 1.6544569205168542 
song 	 2542.5030745931736 1.2295830179977365 
means 	 1272.1456109104822 1.2295830179977365 
recording 	 2768.2867699562144 1.2295830179977365 
diagrams 	 3751.169471990217 1.2295830179977365 
precise 	 2480.812008307526 1.2295830179977365 
structures 	 1785.4040679222119 1.2295830179977365 
chant 	 3463.694710341528 1.2295830179977365 
string 	 3101.519343091441 1.2295830179977365 
quartet 	 3463.694710341528 1.2295830179977365 
minor 	 1059.3183205287191 1.522900029069447 
rasumovsky 	 4242.610823007219 1.2295830179977365 
discusses 	 239.14699258810157 1.729143622019512 
structure 	 1240.629311247761 1.2295830179977365 
brief 	 1376.087474112522 1.2295830179977365 
piano 	 922.7622566520715 1.6544569205168542 
pedagogy 	 3259.7281209732155 1.2295830179977365 
baroque 	 692.7389420683057 1.7772824507452258 
era 	 243.12798509169087 1.8356881605028248 
twentieth 	 2233.8625620713606 1.2295830179977365 
century 	 1414.4211339931474 1.2295830179977365 
earliest 	 2768.2867699562144 1.2295830179977365 
inception 	 2768.2867699562144 1.2295830179977365 
including 	 622.4954820117064 1.2295830179977365 
refinement 	 3751.169471990217 1.2295830179977365 
instrument 	 2233.8625620713606 1.2295830179977365 
middle 	 1663.5622357612106 1.2295830179977365 
opera 	 847.5010248643912 1.6544569205168542 
evolutionary 	 2862.960527327001 1.2295830179977365 
form 	 364.2570273851946 1.6544569205168542 
grew 	 2768.2867699562144 1.2295830179977365 
religious 	 1682.470022942463 1.2295830179977365 
conception 	 2972.253359324527 1.2295830179977365 
sets 	 2371.5191763099997 1.2295830179977365 
characterization 	 2424.061728566988 1.2295830179977365 
particularly 	 630.7418779295116 1.522900029069447 
venice 	 3463.694710341528 1.2295830179977365 
symphonies 	 2121.3054115036093 1.522900029069447 
pastoral 	 3463.694710341528 1.2295830179977365 
fantastique 	 4242.610823007219 1.2295830179977365 
movement 	 196.91862508499565 1.8108922409000376 
creation 	 1645.1456159012987 1.2295830179977365 
depicting 	 2862.960527327001 1.2295830179977365 
interaction 	 2193.337246658837 1.2295830179977365 
lovers 	 3259.7281209732155 1.2295830179977365 
comparison 	 1153.7042648842973 1.2295830179977365 
pieces 	 922.7622566520715 1.6544569205168542 
pethetique 	 4242.610823007219 1.2295830179977365 
sonata 	 2121.3054115036093 1.522900029069447 
moonlight 	 4242.610823007219 1.2295830179977365 
sharp 	 2862.960527327001 1.2295830179977365 
impressionism 	 4242.610823007219 1.2295830179977365 
debussey 	 4242.610823007219 1.2295830179977365 
ravel 	 4242.610823007219 1.2295830179977365 
analyzes 	 572.3361478040499 1.522900029069447 
impressionist 	 4242.610823007219 1.2295830179977365 
pertained 	 4242.610823007219 1.2295830179977365 
especially 	 1230.4276963942225 1.2295830179977365 
debussy's 	 4242.610823007219 1.2295830179977365 
apres 	 4242.610823007219 1.2295830179977365 
midi 	 4242.610823007219 1.2295830179977365 
faune 	 4242.610823007219 1.2295830179977365 
mer 	 3463.694710341528 1.2295830179977365 
ravel's 	 4242.610823007219 1.2295830179977365 
jeaux 	 4242.610823007219 1.2295830179977365 
eau 	 3751.169471990217 1.2295830179977365 
gaspard 	 4242.610823007219 1.2295830179977365 
nuit 	 4242.610823007219 1.2295830179977365 
bach's 	 2121.3054115036093 1.522900029069447 
fugue 	 4242.610823007219 1.2295830179977365 
influence 	 406.79026339497517 1.6544569205168542 
composers 	 1086.5760403244053 1.6544569205168542 
various 	 433.1147516178044 1.522900029069447 
crises 	 2684.7785976758387 1.2295830179977365 
career 	 850.947947820918 1.522900029069447 
symphonic 	 1250.389823996739 1.6544569205168542 
function 	 1512.8561733947865 1.2295830179977365 
trumpet 	 1875.5847359951085 1.522900029069447 
overview 	 1230.4276963942225 1.2295830179977365 
musical 	 435.0129986790733 1.8108922409000376 
relationship 	 1044.4114328867713 1.2295830179977365 
waltz 	 1875.5847359951085 1.522900029069447 
observes 	 183.52695210455144 1.8108922409000376 
late 	 1645.1456159012987 1.2295830179977365 
eighteenth 	 3101.519343091441 1.2295830179977365 
traces 	 1627.1952900404372 1.2295830179977365 
dance 	 1212.030864283494 1.522900029069447 
contrasts 	 915.5809397043748 1.522900029069447 
dances 	 3751.169471990217 1.2295830179977365 
samba 	 4242.610823007219 1.2295830179977365 
mambo 	 4242.610823007219 1.2295830179977365 
brandenburg 	 2121.3054115036093 1.522900029069447 
concerto 	 1414.2036076690729 1.6544569205168542 
mozart's 	 2121.3054115036093 1.522900029069447 
symphony 	 937.7923679975543 1.729143622019512 
jupiter 	 3751.169471990217 1.2295830179977365 
compares 	 1543.6871177600613 1.2295830179977365 
light 	 1427.6738562987637 1.2295830179977365 
thematic 	 2684.7785976758387 1.2295830179977365 
dynamics 	 1855.198079546808 1.2295830179977365 
texture 	 1731.847355170764 1.522900029069447 
tone 	 2610.07799207444 1.2295830179977365 
color 	 2155.0035867782117 1.2295830179977365 
rhythmic 	 3751.169471990217 1.2295830179977365 
melodic 	 4242.610823007219 1.2295830179977365 
features 	 1932.6203775499873 1.2295830179977365 
johannes 	 3751.169471990217 1.2295830179977365 
brahms 	 2121.3054115036093 1.522900029069447 
compositions 	 1875.5847359951085 1.522900029069447 
fundamentalist 	 4242.610823007219 1.2295830179977365 
creations 	 3463.694710341528 1.2295830179977365 
analysis 	 218.07884437820138 1.729143622019512 
german 	 1701.895895641836 1.2295830179977365 
opposing 	 2480.812008307526 1.2295830179977365 
tendencies 	 2972.253359324527 1.2295830179977365 
romantic 	 508.5006149186347 1.7772824507452258 
changed 	 1989.3706572905246 1.2295830179977365 
influenced 	 2019.5454239134508 1.2295830179977365 
earlier 	 860.9345237056119 1.522900029069447 
motet 	 2121.3054115036093 1.522900029069447 
notre 	 1875.5847359951085 1.522900029069447 
dame 	 1550.7596715457205 1.522900029069447 
palestrina 	 2121.3054115036093 1.522900029069447 
school 	 1316.4725440102482 1.2295830179977365 
movie 	 3101.519343091441 1.2295830179977365 
amadeus 	 2121.3054115036093 1.522900029069447 
depicted 	 2542.5030745931736 1.2295830179977365 
accurately 	 3259.7281209732155 1.2295830179977365 
play 	 881.7934809637417 1.522900029069447 
peter 	 1468.9865121586624 1.2295830179977365 
shaffer 	 4242.610823007219 1.2295830179977365 
comparisons 	 2322.603230425751 1.2295830179977365 
historical 	 1181.5117505099738 1.2295830179977365 
genius 	 1271.2515372965868 1.522900029069447 
looks 	 410.1425654647408 1.6544569205168542 
rhythm 	 1431.4802636635004 1.522900029069447 
symmetry 	 3751.169471990217 1.2295830179977365 
meter 	 2972.253359324527 1.2295830179977365 
opera's 	 3751.169471990217 1.2295830179977365 
carmen 	 3463.694710341528 1.2295830179977365 
traviata 	 3751.169471990217 1.2295830179977365 
rhapsodies 	 3751.169471990217 1.2295830179977365 
liszt 	 3463.694710341528 1.2295830179977365 
rachmaninoff 	 3751.169471990217 1.2295830179977365 
stravinsky 	 3463.694710341528 1.2295830179977365 
faure 	 3751.169471990217 1.2295830179977365 
roussel 	 3751.169471990217 1.2295830179977365 
beethoven's 	 1060.6527057518047 1.729143622019512 
violin 	 3751.169471990217 1.2295830179977365 
comparing 	 2424.061728566988 1.2295830179977365 
regard 	 1663.5622357612106 1.2295830179977365 
melody 	 4242.610823007219 1.2295830179977365 
harmony 	 2768.2867699562144 1.2295830179977365 
effect 	 1118.2468766968627 1.2295830179977365 
mood 	 2862.960527327001 1.2295830179977365 
feeling 	 2480.812008307526 1.2295830179977365 
expression 	 966.3101887749937 1.522900029069447 
jean 	 2542.5030745931736 1.2295830179977365 
sibelius 	 4242.610823007219 1.2295830179977365 
major 	 189.94753510319697 1.7772824507452258 
opus 	 3751.169471990217 1.2295830179977365 
finnish 	 4242.610823007219 1.2295830179977365 
noted 	 1609.6882277138639 1.2295830179977365 
rendered 	 3101.519343091441 1.2295830179977365 
forms 	 1282.9702486512113 1.2295830179977365 
evidenced 	 2768.2867699562144 1.2295830179977365 
extraordinary 	 2768.2867699562144 1.2295830179977365 
originality 	 3259.7281209732155 1.2295830179977365 
thinker 	 1629.8640604866077 1.522900029069447 
spiritual 	 1077.5017933891058 1.522900029069447 
sullivan 	 3751.169471990217 1.2295830179977365 
summarizes 	 2424.061728566988 1.2295830179977365 
central 	 1240.629311247761 1.2295830179977365 
themes 	 1989.3706572905246 1.2295830179977365 
sullivan's 	 4242.610823007219 1.2295830179977365 
definition 	 1497.9293062735235 1.2295830179977365 
applies 	 2193.337246658837 1.2295830179977365 
afn 	 128.62472279519494 1.8547353465384602 
period 	 681.8783642649034 1.522900029069447 
culminating 	 2768.2867699562144 1.2295830179977365 
opus21 	 4242.610823007219 1.2295830179977365 
composed 	 2542.5030745931736 1.2295830179977365 
concludes 	 2118.6366410574383 1.2295830179977365 
lines 	 1721.8690474112238 1.2295830179977365 
defined 	 1932.6203775499873 1.2295830179977365 
established 	 1701.895895641836 1.2295830179977365 
final 	 841.2350114712315 1.522900029069447 
transformation 	 2051.061723576172 1.2295830179977365 
purely 	 3751.169471990217 1.2295830179977365 
newly 	 2118.6366410574383 1.2295830179977365 
focusing 	 1441.1790265329862 1.2295830179977365 
ninth 	 3463.694710341528 1.2295830179977365 
appeared 	 2276.8454189392132 1.2295830179977365 
robert 	 756.4280866973933 1.522900029069447 
schumann 	 1414.2036076690729 1.6544569205168542 
schumann's 	 2121.3054115036093 1.522900029069447 
pianistic 	 4242.610823007219 1.2295830179977365 
fell 	 2610.07799207444 1.2295830179977365 
short 	 1401.4115946773961 1.2295830179977365 
breathtaking 	 4242.610823007219 1.2295830179977365 
levels 	 1627.1952900404372 1.2295830179977365 
reached 	 1905.8624850101485 1.2295830179977365 
contemporary 	 1483.3102316467837 1.2295830179977365 
sees 	 2276.8454189392132 1.2295830179977365 
moving 	 2155.0035867782117 1.2295830179977365 
position 	 1028.9977823615595 1.2295830179977365 
center 	 1101.1617126273086 1.2295830179977365 
wagner 	 814.9320302433039 1.729143622019512 
parsifal 	 1875.5847359951085 1.522900029069447 
surprise 	 2768.2867699562144 1.2295830179977365 
wagner's 	 1731.847355170764 1.522900029069447 
preached 	 3751.169471990217 1.2295830179977365 
value 	 1339.7205283917485 1.2295830179977365 
love 	 1831.1618794087497 1.2295830179977365 
faith 	 2084.044414661311 1.2295830179977365 
opposed 	 1905.8624850101485 1.2295830179977365 
beliefs 	 1989.3706572905246 1.2295830179977365 
anti 	 1376.087474112522 1.2295830179977365 
semitism 	 2862.960527327001 1.2295830179977365 
atagonist 	 3751.169471990217 1.2295830179977365 
church 	 1880.0778252929983 1.2295830179977365 
tristan 	 3751.169471990217 1.2295830179977365 
isolde 	 3751.169471990217 1.2295830179977365 
tragic 	 2371.5191763099997 1.2295830179977365 
gloomy 	 3751.169471990217 1.2295830179977365 
production 	 1559.6203725591708 1.2295830179977365 
carried 	 2193.337246658837 1.2295830179977365 
evolution 	 1627.1952900404372 1.2295830179977365 
simulated 	 2768.2867699562144 1.2295830179977365 
extent 	 1663.5622357612106 1.2295830179977365 
chromatic 	 3751.169471990217 1.2295830179977365 
idiom 	 3751.169471990217 1.2295830179977365 
franz 	 2768.2867699562144 1.2295830179977365 
liszt's 	 3751.169471990217 1.2295830179977365 
poems 	 2684.7785976758387 1.2295830179977365 
lohengrin 	 1875.5847359951085 1.522900029069447 
medieval 	 2276.8454189392132 1.2295830179977365 
legend 	 2610.07799207444 1.2295830179977365 
folklore 	 3463.694710341528 1.2295830179977365 
transformiong 	 3751.169471990217 1.2295830179977365 
traditional 	 1497.9293062735235 1.2295830179977365 
treatment 	 1162.852778912956 1.2295830179977365 
highly 	 1785.4040679222119 1.2295830179977365 
generalized 	 3259.7281209732155 1.2295830179977365 
symbolic 	 2371.5191763099997 1.2295830179977365 
dramatic 	 2322.603230425751 1.2295830179977365 
heritage 	 2684.7785976758387 1.2295830179977365 
bartok 	 3259.7281209732155 1.2295830179977365 
bartoks 	 3751.169471990217 1.2295830179977365 
propelled 	 3259.7281209732155 1.2295830179977365 
ahythmic 	 3751.169471990217 1.2295830179977365 
metric 	 3751.169471990217 1.2295830179977365 
freely 	 2424.061728566988 1.2295830179977365 
mingling 	 3751.169471990217 1.2295830179977365 
speech 	 1763.5869619274833 1.2295830179977365 
rhythms 	 3751.169471990217 1.2295830179977365 
vocal 	 3259.7281209732155 1.2295830179977365 
fluctuations 	 3101.519343091441 1.2295830179977365 
unyielding 	 3751.169471990217 1.2295830179977365 
pulses 	 3463.694710341528 1.2295830179977365 
based 	 872.3153775128055 1.2295830179977365 
folk 	 2972.253359324527 1.2295830179977365 
fantasie 	 2121.3054115036093 1.522900029069447 
romanticism 	 2768.2867699562144 1.2295830179977365 
describes 	 1427.6738562987637 1.2295830179977365 
created 	 1316.4725440102482 1.2295830179977365 
applys 	 3751.169471990217 1.2295830179977365 
values 	 1592.60306364431 1.2295830179977365 
piece 	 2424.061728566988 1.2295830179977365 
father 	 1096.6686233294186 1.522900029069447 
examine's 	 4242.610823007219 1.2295830179977365 
rrelationship 	 4242.610823007219 1.2295830179977365 
leopold 	 3751.169471990217 1.2295830179977365 
known 	 1293.9627169052108 1.2295830179977365 
accomplished 	 2862.960527327001 1.2295830179977365 
musician 	 3259.7281209732155 1.2295830179977365 
demanding 	 2862.960527327001 1.2295830179977365 
parent 	 2118.6366410574383 1.2295830179977365 
tutored 	 4242.610823007219 1.2295830179977365 
wolfgang's 	 3751.169471990217 1.2295830179977365 
natural 	 1592.60306364431 1.2295830179977365 
pushed 	 3751.169471990217 1.2295830179977365 
concert 	 2862.960527327001 1.2295830179977365 
performer 	 2972.253359324527 1.2295830179977365 
court 	 1305.1283019956213 1.2295830179977365 
top 	 662.2629138672962 1.2295830179977365 
experienced 	 860.1954242610617 1.2295830179977365 
microsoft 	 458.2225872533776 1.522900029069447 
internet 	 733.9400607290967 1.2295830179977365 
explorer 	 949.7376755159848 1.2295830179977365 
msie30 	 949.7376755159848 1.2295830179977365 
http 	 311.0800148712082 1.2295830179977365 
www 	 308.3158788165072 1.2295830179977365 
com 	 114.07291724366884 1.6544569205168542 
htm 	 465.14661933540503 1.2295830179977365 
start 	 764.7710050943715 1.2295830179977365 
send 	 749.1879602307598 1.2295830179977365 
comments 	 267.50712196273645 1.6544569205168542 
mailto 	 515.0466042395209 1.2295830179977365 
updated 	 759.5385090203571 1.2295830179977365 
copyright 	 552.97008186977 1.2295830179977365 
asm 	 949.7376755159848 1.2295830179977365 
communications 	 759.5385090203571 1.2295830179977365 
rights 	 653.2309445910986 1.2295830179977365 
reserved 	 786.0959208576015 1.2295830179977365 
