term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 123.68469022939718 1.8491156024831596 
resulting 	 680.7484844316751 1.6066909990897695 
wider 	 1118.53323846203 1.6066909990897695 
acceptance 	 926.5314694469251 1.6066909990897695 
dentist 	 1657.5503497503519 1.6066909990897695 
professional 	 557.7794896964141 1.6066909990897695 
person 	 532.8076358289936 1.6066909990897695 
national 	 315.710526801322 1.6066909990897695 
health 	 443.72897194568657 1.6066909990897695 
insurance 	 642.7437737724397 1.6066909990897695 
effects 	 433.53150139069413 1.6066909990897695 
preventive 	 636.7734058600711 1.7819003618499667 
increased 	 672.7189367177841 1.6066909990897695 
therapy 	 801.3315901700983 1.6066909990897695 
prepaid 	 1161.2329767741805 1.6066909990897695 
third 	 563.0558397032964 1.6066909990897695 
party 	 505.5397356597226 1.6066909990897695 
plans 	 480.7171677026793 1.6066909990897695 
subgingival 	 1657.5503497503519 1.6066909990897695 
irrigation 	 636.7734058600711 1.7819003618499667 
chemical 	 872.7502534467799 1.6066909990897695 
agents 	 841.9407525212478 1.6066909990897695 
affects 	 734.5297004318203 1.6066909990897695 
periodonital 	 1657.5503497503519 1.6066909990897695 
conditions 	 523.4169060148298 1.6066909990897695 
periodontics 	 1657.5503497503519 1.6066909990897695 
specialty 	 1118.53323846203 1.6066909990897695 
application 	 238.3940119049537 1.7819003618499667 
provides 	 492.8504941790541 1.6066909990897695 
prevention 	 889.5432736899323 1.6066909990897695 
diagnosis 	 907.4204440450395 1.6066909990897695 
treatment 	 454.3162478968813 1.6066909990897695 
diseases 	 453.71022202251976 1.7819003618499667 
involving 	 734.5297004318203 1.6066909990897695 
tissue 	 1273.5468117201422 1.6066909990897695 
structure 	 484.7028479769109 1.6066909990897695 
surround 	 1465.548580735247 1.6066909990897695 
teeth 	 1273.5468117201422 1.6066909990897695 
subgingivial 	 1657.5503497503519 1.6066909990897695 
located 	 734.5297004318203 1.6066909990897695 
top 	 258.74023574222997 1.6066909990897695 
experienced 	 336.0707087733626 1.6066909990897695 
microsoft 	 179.02349318643948 1.7819003618499667 
internet 	 286.7438601155991 1.6066909990897695 
explorer 	 371.05407068819153 1.6066909990897695 
msie30 	 371.05407068819153 1.6066909990897695 
http 	 121.53619762951294 1.6066909990897695 
www 	 120.45627423437587 1.6066909990897695 
com 	 44.56727514315411 1.8491156024831596 
htm 	 181.7286509956378 1.6066909990897695 
start 	 298.78923612290674 1.6066909990897695 
send 	 292.70107896180605 1.6066909990897695 
comments 	 104.51265554820591 1.8491156024831596 
mailto 	 201.22413169865627 1.6066909990897695 
updated 	 296.7449464014653 1.6066909990897695 
copyright 	 216.0404974300794 1.6066909990897695 
asm 	 371.05407068819153 1.6066909990897695 
communications 	 296.7449464014653 1.6066909990897695 
rights 	 255.21152560188193 1.6066909990897695 
reserved 	 307.1206912236328 1.6066909990897695 
