term 	 tf-idf weight 	 BM25 ranking 
months 	 1005.1747334732887 1.4204639176615979 
hospitalization 	 3029.340120015265 1.2407055143771513 
followed 	 1972.5461298449432 1.2407055143771513 
rehabilitation 	 4284.586864065571 0.8992918449565849 
therapy 	 4006.6579508504915 0.8992918449565849 
recovered 	 6766.173728946427 0.8992918449565849 
continues 	 2268.551110112599 1.2407055143771513 
vulnerable 	 6766.173728946427 0.8992918449565849 
ailments 	 6367.73405860071 0.8992918449565849 
traumatic 	 6367.73405860071 0.8992918449565849 
experiences 	 498.2439319105911 1.7023403993281825 
plus 	 4447.716368449662 0.8992918449565849 
life 	 171.60207509686575 1.7819003618499667 
observations 	 2142.2934320327854 1.2407055143771513 
played 	 3886.1471937198544 0.8992918449565849 
key 	 2423.5142398845546 0.8992918449565849 
role 	 1815.8838130220188 0.8992918449565849 
manon's 	 1657.5503497503519 1.6066909990897695 
illness 	 2181.8756336169495 1.2407055143771513 
resulted 	 4209.703762606239 0.8992918449565849 
award 	 1403.234587535413 1.4204639176615979 
winning 	 2181.8756336169495 1.2407055143771513 
creation 	 3213.7188688621986 0.8992918449565849 
served 	 4447.716368449662 0.8992918449565849 
outlet 	 6766.173728946427 0.8992918449565849 
anger 	 3183.867029300355 1.2407055143771513 
frustration 	 5244.5957091410955 0.8992918449565849 
allowed 	 3403.7424221583756 0.8992918449565849 
proxy 	 7327.742903676235 0.8992918449565849 
voice 	 3886.1471937198544 0.8992918449565849 
admits 	 4143.87587437588 1.2407055143771513 
able 	 2842.1732474285673 0.8992918449565849 
write 	 402.1827426452117 1.7023403993281825 
experience 	 248.50799310451595 1.7819003618499667 
helped 	 4735.29688866753 0.8992918449565849 
save 	 4632.657347234625 0.8992918449565849 
lifeline 	 8287.75174875176 0.8992918449565849 
worlds 	 2367.648444333765 1.2407055143771513 
escape 	 5592.66619231015 0.8992918449565849 
endless 	 3663.8714518381175 1.2407055143771513 
source 	 3403.7424221583756 0.8992918449565849 
information 	 383.48096345744494 1.4204639176615979 
various 	 1692.1408490568665 0.8992918449565849 
times 	 751.236674595558 1.4204639176615979 
cut 	 4632.657347234625 0.8992918449565849 
infected 	 3383.0868644732136 1.2407055143771513 
wound 	 3383.0868644732136 1.2407055143771513 
horse's 	 4143.87587437588 1.2407055143771513 
leg 	 4966.666795926016 0.8992918449565849 
squeezed 	 6367.73405860071 0.8992918449565849 
bad 	 2268.551110112599 1.2407055143771513 
blood 	 4284.586864065571 0.8992918449565849 
lead 	 1701.8712110791878 1.2407055143771513 
stand 	 3886.1471937198544 0.8992918449565849 
creek 	 5592.66619231015 0.8992918449565849 
day 	 961.7553781576759 1.2407055143771513 
water 	 3213.7188688621986 0.8992918449565849 
healed 	 7327.742903676235 0.8992918449565849 
survived 	 6367.73405860071 0.8992918449565849 
classic 	 4537.102220225198 0.8992918449565849 
friend 	 2142.2934320327854 1.2407055143771513 
flicka 	 2071.93793718794 1.5314017381373934 
intuitive 	 6766.173728946427 0.8992918449565849 
help 	 1191.9700595247684 1.2407055143771513 
pages 	 805.8308901943913 1.2407055143771513 
reread 	 8287.75174875176 0.8992918449565849 
real 	 2763.0088442602387 0.8992918449565849 
memories 	 6367.73405860071 0.8992918449565849 
emotions 	 2019.5600800101768 1.4204639176615979 
ingredients 	 6367.73405860071 0.8992918449565849 
produced 	 3672.648502159101 0.8992918449565849 
poet 	 1451.5412209677256 1.5314017381373934 
author 	 3577.093375149673 0.8992918449565849 
editor 	 3487.7075233741375 0.8992918449565849 
careers 	 5592.66619231015 0.8992918449565849 
educator 	 6367.73405860071 0.8992918449565849 
writer 	 4632.657347234625 0.8992918449565849 
honors 	 5098.671394955006 0.8992918449565849 
particularly 	 616.0631177238176 1.5314017381373934 
frequent 	 5244.5957091410955 0.8992918449565849 
named 	 4209.703762606239 0.8992918449565849 
outstanding 	 4966.666795926016 0.8992918449565849 
researcher 	 7327.742903676235 0.8992918449565849 
november 	 3324.5780189900465 0.8992918449565849 
gov 	 3213.7188688621986 0.8992918449565849 
jim 	 4537.102220225198 0.8992918449565849 
governor's 	 7327.742903676235 0.8992918449565849 
individual 	 2326.6215946639836 0.8992918449565849 
artist 	 947.059377733506 1.6066909990897695 
category 	 4071.0881725048175 0.8992918449565849 
graduated 	 7327.742903676235 0.8992918449565849 
magna 	 7327.742903676235 0.8992918449565849 
cum 	 6058.68024003053 0.8992918449565849 
laude 	 8287.75174875176 0.8992918449565849 
master's 	 6058.68024003053 0.8992918449565849 
doctoral 	 8287.75174875176 0.8992918449565849 
degrees 	 3886.1471937198544 0.8992918449565849 
ohio 	 2796.333096155075 1.2407055143771513 
ndea 	 8287.75174875176 0.8992918449565849 
teaching 	 1258.4293478640022 1.4204639176615979 
studied 	 4966.666795926016 0.8992918449565849 
germany 	 3144.4544363662926 0.8992918449565849 
fulbright 	 6766.173728946427 0.8992918449565849 
translation 	 5806.1648838709025 0.8992918449565849 
complete 	 1539.2447942580873 1.2407055143771513 
austrian 	 5806.1648838709025 0.8992918449565849 
expressionist 	 8287.75174875176 0.8992918449565849 
georg 	 8287.75174875176 0.8992918449565849 
trakl 	 8287.75174875176 0.8992918449565849 
titled 	 5592.66619231015 0.8992918449565849 
bottleships 	 8287.75174875176 0.8992918449565849 
daughters 	 6367.73405860071 0.8992918449565849 
teeth 	 6367.73405860071 0.8992918449565849 
letters 	 4735.29688866753 0.8992918449565849 
taught 	 4735.29688866753 0.8992918449565849 
filly 	 8287.75174875176 0.8992918449565849 
dance 	 4735.29688866753 0.8992918449565849 
personal 	 990.3161269425048 1.2407055143771513 
subjects 	 4447.716368449662 0.8992918449565849 
insight 	 2367.648444333765 1.2407055143771513 
gained 	 5098.671394955006 0.8992918449565849 
continue 	 3213.7188688621986 0.8992918449565849 
invigorate 	 8287.75174875176 0.8992918449565849 
poetic 	 2122.57801953357 1.4204639176615979 
juices 	 7327.742903676235 0.8992918449565849 
observation 	 3178.6537048039568 0.8992918449565849 
spends 	 6766.173728946427 0.8992918449565849 
countless 	 6766.173728946427 0.8992918449565849 
enjoys 	 6058.68024003053 0.8992918449565849 
opportunity 	 3213.7188688621986 0.8992918449565849 
focus 	 3324.5780189900465 0.8992918449565849 
residencies 	 8287.75174875176 0.8992918449565849 
summer's 	 8287.75174875176 0.8992918449565849 
residency 	 6367.73405860071 0.8992918449565849 
ragsdale 	 8287.75174875176 0.8992918449565849 
foundation 	 3531.679470539831 0.8992918449565849 
lake 	 3945.0922596898863 0.8992918449565849 
forest 	 4537.102220225198 0.8992918449565849 
writers' 	 7327.742903676235 0.8992918449565849 
colony 	 6058.68024003053 0.8992918449565849 
grant 	 4735.29688866753 0.8992918449565849 
obsess 	 8287.75174875176 0.8992918449565849 
poem 	 540.7725213525187 1.7819003618499667 
weeks 	 1887.6440217960032 1.2407055143771513 
humongous 	 8287.75174875176 0.8992918449565849 
filtering 	 7327.742903676235 0.8992918449565849 
starts 	 6058.68024003053 0.8992918449565849 
huge 	 4735.29688866753 0.8992918449565849 
baths 	 7327.742903676235 0.8992918449565849 
imagery 	 2549.335697477503 1.2407055143771513 
context 	 3403.7424221583756 0.8992918449565849 
wash 	 2903.0824419354512 1.2407055143771513 
original 	 3403.7424221583756 0.8992918449565849 
images 	 1320.1811944711687 1.2407055143771513 
ideas 	 938.426399505494 1.4204639176615979 
kind 	 588.6132450899719 1.6611359767042346 
art 	 391.92245830577224 1.5314017381373934 
spaces 	 6766.173728946427 0.8992918449565849 
time 	 132.05952276232358 1.7819003618499667 
create 	 2955.2973203833276 0.8992918449565849 
allow 	 3363.594683588921 0.8992918449565849 
fluid 	 6058.68024003053 0.8992918449565849 
movement 	 2308.0307115039686 0.8992918449565849 
paradigmatic 	 8287.75174875176 0.8992918449565849 
axis 	 5244.5957091410955 0.8992918449565849 
memory 	 2483.333397963008 1.2407055143771513 
self 	 835.4084599821005 1.4204639176615979 
