term 	 tf-idf weight 	 BM25 ranking 
 termpaper 	 292.46740830417025 1.6765180612355968 
pages 	 762.1938383788105 1.2667479714916143 
footnotes 	 871.1342344969319 1.2667479714916143 
sources 	 762.1938383788105 1.2667479714916143 
price 	 751.7136147968915 1.2667479714916143 
food 	 705.8590745748762 1.5510813598677593 
industry 	 516.538578446012 1.5510813598677593 
financial 	 44.01262511205514 1.954740254908607 
examination 	 1001.8807848040622 1.2667479714916143 
acid 	 3011.4554573165815 1.2667479714916143 
test 	 1590.7252835745437 1.2667479714916143 
ratios 	 1505.7277286582907 1.5510813598677593 
fifo 	 3919.47826385011 1.2667479714916143 
method 	 705.8590745748762 1.5510813598677593 
current 	 153.84042882173233 1.8240280975768208 
jan 	 2103.432650783053 1.2667479714916143 
position 	 475.3127979173635 1.5510813598677593 
major 	 877.4022249125106 1.2667479714916143 
chain 	 2291.8644082389696 1.2667479714916143 
stores 	 2557.444054049817 1.2667479714916143 
comparison 	 532.9169911842135 1.5510813598677593 
statements 	 715.235127376054 1.6765180612355968 
motors 	 1278.7220270249086 1.5510813598677593 
corporation 	 145.58921880708263 1.8905653747052764 
american 	 363.11200857667774 1.5510813598677593 
depth 	 1609.7121202265241 1.2667479714916143 
corporate 	 407.3164527723913 1.7471651057023612 
automotive 	 2348.8568601671773 1.2667479714916143 
giants 	 3919.47826385011 1.2667479714916143 
industrial 	 1294.6750275228412 1.2667479714916143 
textile 	 1003.8184857721939 1.6765180612355968 
mill 	 1119.7182173564015 1.5510813598677593 
products 	 735.6523319372518 1.5510813598677593 
riegel 	 1959.739131925055 1.5510813598677593 
corp 	 2557.444054049817 1.2667479714916143 
product 	 422.9234947153495 1.7471651057023612 
historical 	 545.7617747419132 1.5510813598677593 
textiles 	 1599.943607386249 1.5510813598677593 
outline 	 1837.8530049722056 1.2667479714916143 
form 	 504.77084542447625 1.5510813598677593 
collins 	 2557.444054049817 1.2667479714916143 
aikman 	 3919.47826385011 1.2667479714916143 
leading 	 504.77084542447625 1.5510813598677593 
manufacturer 	 2348.8568601671773 1.2667479714916143 
particularly 	 1165.404598149027 1.2667479714916143 
pile 	 3465.466860583346 1.2667479714916143 
fabrics 	 3919.47826385011 1.2667479714916143 
report 	 172.17952614867067 1.8240280975768208 
discussion 	 972.1029297837862 1.2667479714916143 
annual 	 320.88601119021126 1.8240280975768208 
reports 	 835.1083224561694 1.5510813598677593 
created 	 1216.2052416455747 1.2667479714916143 
prentice 	 3465.466860583346 1.2667479714916143 
hall 	 1925.3160671412675 1.2667479714916143 
harcourt 	 3919.47826385011 1.2667479714916143 
brace 	 3919.47826385011 1.2667479714916143 
javanovich 	 3919.47826385011 1.2667479714916143 
examples 	 1590.7252835745437 1.2667479714916143 
scm 	 3919.47826385011 1.2667479714916143 
brief 	 1271.2796834184794 1.2667479714916143 
value 	 1237.6825755946338 1.2667479714916143 
line 	 1065.833982368427 1.2667479714916143 
texaco 	 1959.739131925055 1.5510813598677593 
world's 	 2348.8568601671773 1.2667479714916143 
oil 	 1629.2658110895652 1.2667479714916143 
producer 	 3199.887214772498 1.2667479714916143 
management 	 1091.5235494838264 1.2667479714916143 
exxon 	 1066.6290715908326 1.6765180612355968 
ratio 	 377.8438737455542 1.8472469229537882 
profitability 	 1003.8184857721939 1.6765180612355968 
expansion 	 1554.3270310681428 1.2667479714916143 
efficiency 	 905.5572992807191 1.5510813598677593 
utilization 	 2239.436434712803 1.2667479714916143 
resources 	 1226.8558828165908 1.2667479714916143 
statement 	 743.5442800793941 1.5510813598677593 
examines 	 146.23370415208512 1.8240280975768208 
tool 	 1760.7051166172741 1.2667479714916143 
parameter 	 2865.2964312057743 1.2667479714916143 
profit 	 905.5572992807191 1.5510813598677593 
potential 	 1344.1324744156764 1.2667479714916143 
investment 	 795.3626417872719 1.5510813598677593 
electric 	 675.4282541427074 1.6765180612355968 
look 	 1049.2508181387172 1.2667479714916143 
growth 	 401.90833935455197 1.6765180612355968 
decline 	 1957.2736246722457 1.2667479714916143 
diversification 	 3465.466860583346 1.2667479714916143 
includes 	 224.14358132977117 1.7471651057023612 
charts 	 687.9078411644293 1.6765180612355968 
graphs 	 1205.642513969505 1.5510813598677593 
conclusions 	 2026.284762428122 1.2667479714916143 
interpretation 	 1736.8843096853511 1.2667479714916143 
lindy 	 3919.47826385011 1.2667479714916143 
electronics 	 1322.4535581094399 1.5510813598677593 
systems 	 1033.077156892024 1.2667479714916143 
based 	 161.1753377350882 1.792485391142314 
utilizing 	 1145.9322041194848 1.5510813598677593 
firm 	 892.7125157230196 1.5510813598677593 
fared 	 3199.887214772498 1.2667479714916143 
trying 	 1894.845456900413 1.2667479714916143 
diversify 	 3465.466860583346 1.2667479714916143 
result 	 1175.254407822801 1.2667479714916143 
effort 	 1713.8994952089695 1.2667479714916143 
eastman 	 3011.4554573165815 1.2667479714916143 
kodak 	 3465.466860583346 1.2667479714916143 
stock 	 352.1410233234548 1.792485391142314 
data 	 550.1578139006893 1.5510813598677593 
purchase 	 1990.8707324960913 1.2667479714916143 
choice 	 1519.8453856351914 1.2667479714916143 
study 	 88.29775942501102 1.8791407599861032 
penny 	 2190.8957129521154 1.2667479714916143 
company 	 243.24104832911496 1.792485391142314 
penny's 	 3919.47826385011 1.2667479714916143 
accounting 	 489.3184061680614 1.7471651057023612 
information 	 272.0361347270322 1.5510813598677593 
determine 	 759.9226928175957 1.5510813598677593 
term 	 641.4364532092934 1.5510813598677593 
liquidity 	 799.9718036931245 1.7471651057023612 
positions 	 1670.2166449123388 1.2667479714916143 
technical 	 1670.2166449123388 1.2667479714916143 
mcdonald's 	 3199.887214772498 1.2667479714916143 
introduction 	 1344.1324744156764 1.2667479714916143 
organizational 	 2239.436434712803 1.2667479714916143 
structure 	 1146.138503338905 1.2667479714916143 
economic 	 979.4214416755581 1.2667479714916143 
function 	 1397.6315847300214 1.2667479714916143 
productivity 	 2348.8568601671773 1.2667479714916143 
operating 	 1713.8994952089695 1.2667479714916143 
advertising 	 1957.2736246722457 1.2667479714916143 
performance 	 490.4348879581679 1.6765180612355968 
companies 	 285.22286661011003 1.792485391142314 
required 	 678.5515976473371 1.5510813598677593 
forecast 	 2411.28502793901 1.2667479714916143 
question 	 1282.8729064185868 1.2667479714916143 
forecasts 	 2557.444054049817 1.2667479714916143 
component 	 2026.284762428122 1.2667479714916143 
publicly 	 2557.444054049817 1.2667479714916143 
held 	 1237.6825755946338 1.2667479714916143 
company's 	 2865.2964312057743 1.2667479714916143 
evans 	 3011.4554573165815 1.2667479714916143 
fur 	 2865.2964312057743 1.2667479714916143 
short 	 1294.6750275228412 1.2667479714916143 
necessarily 	 2411.28502793901 1.2667479714916143 
techniques 	 1306.69371335051 1.2667479714916143 
loral 	 3465.466860583346 1.2667479714916143 
evaluation 	 691.9208008527206 1.5510813598677593 
thorough 	 1145.9322041194848 1.5510813598677593 
york 	 1082.8479259625628 1.2667479714916143 
including 	 287.54198922261475 1.5510813598677593 
operations 	 713.0571665252752 1.5510813598677593 
development 	 762.1938383788105 1.2667479714916143 
competitive 	 1957.2736246722457 1.2667479714916143 
status 	 541.4239629812814 1.5510813598677593 
balance 	 1649.4212475162888 1.2667479714916143 
sheet 	 2644.9071162188798 1.2667479714916143 
comments 	 185.34961024569012 1.7471651057023612 
silver 	 1240.148082847443 1.5510813598677593 
river 	 1031.861761746644 1.5510813598677593 
manufacturing 	 995.4353662480456 1.5510813598677593 
answers 	 2026.284762428122 1.2667479714916143 
questions 	 1057.4899204842106 1.2667479714916143 
dealing 	 1318.93706047347 1.2667479714916143 
mobil 	 1732.733430291673 1.5510813598677593 
comparative 	 1670.2166449123388 1.2667479714916143 
revenues 	 2865.2964312057743 1.2667479714916143 
acquisitions 	 3011.4554573165815 1.2667479714916143 
future 	 331.43614871045247 1.6765180612355968 
recommendations 	 578.9614365617838 1.6765180612355968 
turner 	 1432.6482156028871 1.5510813598677593 
broadcasting 	 1240.148082847443 1.5510813598677593 
system 	 353.2616419864692 1.5510813598677593 
focusing 	 1331.4136281792748 1.2667479714916143 
various 	 800.2543365575794 1.2667479714916143 
divisions 	 2411.28502793901 1.2667479714916143 
cnn 	 2644.9071162188798 1.2667479714916143 
wtbs 	 3919.47826385011 1.2667479714916143 
mgm 	 3919.47826385011 1.2667479714916143 
aquisition 	 3919.47826385011 1.2667479714916143 
campbell 	 2865.2964312057743 1.2667479714916143 
soup 	 3011.4554573165815 1.2667479714916143 
analyzes 	 1057.4899204842106 1.2667479714916143 
campbell's 	 3919.47826385011 1.2667479714916143 
sales 	 1785.4250314460392 1.2667479714916143 
earnings 	 2557.444054049817 1.2667479714916143 
suggestions 	 1865.7295524165165 1.2667479714916143 
marketing 	 1536.859329229327 1.2667479714916143 
strategies 	 1691.693978861398 1.2667479714916143 
midvale 	 3919.47826385011 1.2667479714916143 
bank 	 659.468530236735 1.5510813598677593 
capital 	 1536.859329229327 1.2667479714916143 
determination 	 2026.284762428122 1.2667479714916143 
income 	 1572.2733591613576 1.2667479714916143 
measures 	 1649.4212475162888 1.2667479714916143 
traditional 	 1383.8416017054412 1.2667479714916143 
cost 	 665.7068140896374 1.5510813598677593 
failing 	 2063.723523493288 1.2667479714916143 
clarify 	 2644.9071162188798 1.2667479714916143 
impact 	 1226.8558828165908 1.2667479714916143 
changing 	 1344.1324744156764 1.2667479714916143 
prices 	 1811.1145985614382 1.2667479714916143 
activities 	 1175.254407822801 1.2667479714916143 
enterprises 	 2557.444054049817 1.2667479714916143 
evaluating 	 2557.444054049817 1.2667479714916143 
available 	 1025.1376657433382 1.2667479714916143 
solutions 	 1811.1145985614382 1.2667479714916143 
ibm 	 1013.142381214061 1.5510813598677593 
security 	 378.9046267692599 1.6765180612355968 
bond 	 915.2919371685779 1.6765180612355968 
market 	 412.56085853154457 1.6765180612355968 
projections 	 746.4788115709343 1.6765180612355968 
appropriate 	 1572.2733591613576 1.2667479714916143 
unisys 	 3465.466860583346 1.2667479714916143 
national 	 746.5357222197324 1.2667479714916143 
semiconductor 	 3199.887214772498 1.2667479714916143 
volume 	 2145.705382128162 1.2667479714916143 
technique 	 1760.7051166172741 1.2667479714916143 
mathematical 	 2480.296165694886 1.2667479714916143 
graphic 	 2239.436434712803 1.2667479714916143 
practical 	 1590.7252835745437 1.2667479714916143 
contingencies 	 3465.466860583346 1.2667479714916143 
methodology 	 2103.432650783053 1.2667479714916143 
emphasis 	 1397.6315847300214 1.2667479714916143 
break 	 1894.845456900413 1.2667479714916143 
marriott 	 3919.47826385011 1.2667479714916143 
analyzed 	 1957.2736246722457 1.2667479714916143 
standpoint 	 2745.8758115057335 1.2667479714916143 
dixon 	 3465.466860583346 1.2667479714916143 
chemical 	 2063.723523493288 1.2667479714916143 
collinsville 	 1959.739131925055 1.5510813598677593 
sodium 	 3199.887214772498 1.2667479714916143 
chlorate 	 3919.47826385011 1.2667479714916143 
plant 	 1925.3160671412675 1.2667479714916143 
regarding 	 1248.6912380918636 1.2667479714916143 
dixon's 	 3919.47826385011 1.2667479714916143 
acquistion 	 3919.47826385011 1.2667479714916143 
top 	 611.8225791016629 1.2667479714916143 
experienced 	 794.6798348250993 1.2667479714916143 
microsoft 	 423.32270049501034 1.5510813598677593 
internet 	 678.0405356524095 1.2667479714916143 
explorer 	 877.4022249125106 1.2667479714916143 
msie30 	 877.4022249125106 1.2667479714916143 
http 	 287.3870377159963 1.2667479714916143 
www 	 284.8334282437408 1.2667479714916143 
com 	 105.3847119811045 1.6765180612355968 
htm 	 429.71937329293416 1.2667479714916143 
start 	 706.5232839729384 1.2667479714916143 
send 	 692.1271000721406 1.2667479714916143 
mailto 	 475.8187951719128 1.2667479714916143 
updated 	 701.6893136929956 1.2667479714916143 
copyright 	 510.8538838148087 1.2667479714916143 
asm 	 877.4022249125106 1.2667479714916143 
communications 	 701.6893136929956 1.2667479714916143 
rights 	 603.4785172174464 1.2667479714916143 
reserved 	 726.2240171533555 1.2667479714916143 
