term 	 tf-idf weight 	 BM25 ranking 
document 	 7939.284920912887 0.5485612828540866 
research 	 286.33976624706025 1.6386837783146067 
technology 	 1401.9872187606386 1.2037495419586017 
operational 	 1634.6671537129052 1.387940982461886 
status 	 1649.8965345200577 1.0627179348880342 
background 	 6325.529397719223 0.5485612828540866 
scientific 	 4024.0848237802434 0.8609740508021263 
objectives 	 7104.81699392064 0.5485612828540866 
related 	 951.7848910576332 1.3078903727995603 
identified 	 4716.632236136568 0.8609740508021263 
national 	 3412.4090875204256 0.5485612828540866 
council 	 6947.201655865287 0.5485612828540866 
study 	 908.1188646818119 1.2037495419586017 
cycle 	 1732.2648238045301 1.3078903727995603 
determine 	 1736.8004139663217 1.2037495419586017 
distributions 	 2262.946080825853 1.451393741570949 
dimensions 	 12551.37737350865 0.5485612828540866 
properties 	 1102.1965455953275 1.5815401665716704 
relevant 	 8661.32411902265 0.5485612828540866 
dynamics 	 3917.110754698973 0.8609740508021263 
sea 	 1796.7123806599636 1.2037495419586017 
lake 	 8528.235541885573 0.5485612828540866 
sheets 	 8957.952612188725 0.8609740508021263 
shelves 	 8957.952612188725 0.8609740508021263 
understand 	 1051.140259096666 1.451393741570949 
mechanisms 	 10236.446848137606 0.5485612828540866 
transfers 	 11337.414839832807 0.5485612828540866 
reservoirs 	 15840.622565780972 0.5485612828540866 
glacier 	 7313.330016052564 0.8609740508021263 
flow 	 11021.965455953276 0.5485612828540866 
melting 	 2925.332006421025 1.3078903727995603 
freezing 	 15840.622565780972 0.5485612828540866 
predict 	 11337.414839832807 0.5485612828540866 
appropriate 	 7186.8495226398545 0.5485612828540866 
scales 	 671.0379236011954 1.716194910926044 
volumes 	 13765.339907184496 0.5485612828540866 
fluxes 	 4478.976306094362 1.2037495419586017 
associated 	 3678.990906838331 0.8609740508021263 
permafrost 	 17915.90522437745 0.5485612828540866 
phenomena 	 4807.387294995771 0.8609740508021263 
access 	 6452.952883289097 0.5485612828540866 
hampers 	 8957.952612188725 0.8609740508021263 
data 	 98.6183203004738 1.9013568333881894 
collection 	 4330.662059511325 0.8609740508021263 
conventional 	 4807.387294995771 0.8609740508021263 
address 	 3194.2816524287664 0.8609740508021263 
correct 	 8278.591004722055 0.5485612828540866 
situ 	 3168.124513156194 1.3078903727995603 
sampling 	 3960.155641445243 1.2037495419586017 
methods 	 2494.6729062248673 0.8609740508021263 
limited 	 1581.3823494298058 1.2037495419586017 
utility 	 11337.414839832807 0.5485612828540866 
capturing 	 15840.622565780972 0.5485612828540866 
require 	 2040.2910473852828 1.2037495419586017 
timely 	 12551.37737350865 0.5485612828540866 
measurement 	 4029.9500793686134 1.0627179348880342 
parameters 	 2619.4496229099504 1.3078903727995603 
redistribution 	 7920.311282890486 0.8609740508021263 
solar 	 10476.094714912177 0.5485612828540866 
energy 	 1597.1408262143832 1.2037495419586017 
globe 	 12089.85023810584 0.5485612828540866 
serves 	 8946.6827973568 0.5485612828540866 
fundamental 	 2200.15126145838 1.2037495419586017 
role 	 490.6819617498127 1.5029259012833986 
evapotranspiration 	 8957.952612188725 0.8609740508021263 
transport 	 9808.00292227743 0.5485612828540866 
atmospheric 	 2755.491363988319 1.2037495419586017 
vapor 	 15840.622565780972 0.5485612828540866 
precipitation 	 4365.749371516584 1.0627179348880342 
residence 	 8800.60504583352 0.5485612828540866 
week 	 6947.201655865287 0.5485612828540866 
couple 	 10236.446848137606 0.5485612828540866 
days 	 1054.2548996198705 1.387940982461886 
months 	 3259.3788650025554 0.8609740508021263 
emphasize 	 14626.660032105128 0.5485612828540866 
nature 	 1690.0898858597218 1.0627179348880342 
importance 	 3552.40849696032 0.8609740508021263 
emerged 	 10736.606777619127 0.5485612828540866 
mid 	 3033.4183069177084 1.0627179348880342 
researchers 	 6044.92511905292 0.8609740508021263 
geophysical 	 14626.660032105128 0.5485612828540866 
fluid 	 13097.248114549751 0.5485612828540866 
laboratory 	 9614.774589991543 0.5485612828540866 
placed 	 8278.591004722055 0.5485612828540866 
circulation 	 11690.05724858802 0.5485612828540866 
model 	 447.413946559588 1.6820958143249427 
gcm 	 2089.522861729304 1.451393741570949 
manabe 	 5971.9684081258165 1.0627179348880342 
sophistication 	 14626.660032105128 0.5485612828540866 
gcms 	 5280.207521926991 1.0627179348880342 
increased 	 7271.193128278143 0.5485612828540866 
weakness 	 14626.660032105128 0.5485612828540866 
ces 	 17915.90522437745 0.5485612828540866 
report 	 1574.0625993560916 1.0627179348880342 
adequate 	 10236.446848137606 0.5485612828540866 
parameterization 	 14626.660032105128 0.5485612828540866 
variables 	 2887.108039674217 1.0627179348880342 
representing 	 8048.169647560487 0.5485612828540866 
terrestrial 	 13765.339907184496 0.5485612828540866 
phase 	 9614.774589991543 0.5485612828540866 
primarily 	 7732.720263680954 0.5485612828540866 
totally 	 11021.965455953276 0.5485612828540866 
inadequate 	 12551.37737350865 0.5485612828540866 
information 	 310.8687738063872 1.5029259012833986 
concerning 	 5864.002262316411 0.5485612828540866 
degree 	 3969.6424604564436 0.8609740508021263 
components 	 8400.812056315699 0.5485612828540866 
goes 	 7939.284920912887 0.5485612828540866 
lack 	 2172.9192433350368 1.0627179348880342 
scale 	 1257.2292922619313 1.451393741570949 
introduces 	 12089.85023810584 0.5485612828540866 
severe 	 4631.066090618166 0.8609740508021263 
shortcoming 	 15840.622565780972 0.5485612828540866 
testing 	 8661.32411902265 0.5485612828540866 
output 	 10236.446848137606 0.5485612828540866 
performs 	 13097.248114549751 0.5485612828540866 
partitioning 	 8957.952612188725 0.8609740508021263 
incoming 	 7920.311282890486 0.8609740508021263 
radiative 	 4875.553344035043 1.0627179348880342 
sensible 	 6275.688686754325 0.8609740508021263 
latent 	 7313.330016052564 0.8609740508021263 
heat 	 3412.1489493792023 1.0627179348880342 
factor 	 2933.5350152778396 1.0627179348880342 
involved 	 2803.974437521277 0.8609740508021263 
determining 	 4264.117770942787 0.8609740508021263 
relative 	 2423.731042759381 1.0627179348880342 
proportions 	 12551.37737350865 0.5485612828540866 
availability 	 10736.606777619127 0.5485612828540866 
form 	 4614.607362445441 0.5485612828540866 
modeling 	 1298.8952498431133 1.5456082243436535 
demonstrated 	 1417.1768549791009 1.5029259012833986 
sensitivity 	 2294.2233178640827 1.387940982461886 
anomalies 	 6882.669953592248 0.8609740508021263 
walker 	 11690.05724858802 0.5485612828540866 
rowntree 	 8957.952612188725 0.8609740508021263 
bolton 	 17915.90522437745 0.5485612828540866 
rind 	 17915.90522437745 0.5485612828540866 
shukla 	 17915.90522437745 0.5485612828540866 
mintz 	 17915.90522437745 0.5485612828540866 
delworth 	 17915.90522437745 0.5485612828540866 
reported 	 1536.004820000204 1.2037495419586017 
