term 	 tf-idf weight 	 BM25 ranking 
leaving 	 1357.9615856879498 1.4483417884150067 
oops 	 2579.0765369761793 1.4483417884150067 
laboratory 	 1384.0907976908334 1.4483417884150067 
dedication 	 2579.0765369761793 1.4483417884150067 
hard 	 1174.8369290889204 1.4483417884150067 
enabled 	 2280.3301021548427 1.4483417884150067 
spectacularly 	 2579.0765369761793 1.4483417884150067 
smoothly 	 1885.408796717082 1.4483417884150067 
forgot 	 2280.3301021548427 1.4483417884150067 
shame 	 2105.574640560224 1.4483417884150067 
regularly 	 1740.3892627333391 1.4483417884150067 
scheduled 	 1333.326309322932 1.4483417884150067 
start 	 464.90310746921597 1.4483417884150067 
talking 	 870.1946313666696 1.6800443543976207 
neat 	 2579.0765369761793 1.4483417884150067 
summer 	 1473.5833639102566 1.4483417884150067 
jpl 	 1209.3353360962146 1.4483417884150067 
particular 	 814.4140306584536 1.4483417884150067 
amenities 	 2579.0765369761793 1.4483417884150067 
exchanged 	 2579.0765369761793 1.4483417884150067 
format 	 1508.081770917551 1.4483417884150067 
conversations 	 1981.5836673335064 1.4483417884150067 
comment 	 1586.6623618957453 1.4483417884150067 
comments 	 487.85149322682406 1.4483417884150067 
response 	 938.4050038851713 1.4483417884150067 
ago 	 1266.8873663173838 1.4483417884150067 
field 	 901.701988490499 1.4483417884150067 
upper 	 1227.6785299107155 1.4483417884150067 
peninsula 	 1885.408796717082 1.4483417884150067 
michigan 	 1357.9615856879498 1.4483417884150067 
sites 	 1174.8369290889204 1.4483417884150067 
imaged 	 2280.3301021548427 1.4483417884150067 
getting 	 1209.3353360962146 1.4483417884150067 
science 	 157.11202090420105 1.77468088230356 
class 	 438.045247133792 1.6800443543976207 
feeling 	 1508.081770917551 1.4483417884150067 
absolutely 	 1981.5836673335064 1.4483417884150067 
learning 	 571.4481965453331 1.6800443543976207 
job 	 536.0408889920631 1.6800443543976207 
doing 	 1072.0817779841261 1.4483417884150067 
matters 	 1473.5833639102566 1.4483417884150067 
wrong 	 1411.9069003011264 1.4483417884150067 
school 	 800.2816170217446 1.4483417884150067 
physics 	 1441.6428279120028 1.4483417884150067 
cares 	 1981.5836673335064 1.4483417884150067 
hour 	 1310.0233369554433 1.4483417884150067 
