term 	 tf-idf weight 	 BM25 ranking 
ortiz 	 811.8206887465622 1.7858844248440802 
ursuline 	 2435.4620662396865 1.4709344492304468 
nun 	 2435.4620662396865 1.4709344492304468 
raped 	 2435.4620662396865 1.4709344492304468 
command 	 1391.527677752841 1.4709344492304468 
asset 	 1589.1293587759933 1.4709344492304468 
gen 	 486.9529269273937 1.4709344492304468 
gramajo 	 2435.4620662396865 1.4709344492304468 
furthermore 	 1780.4208358790077 1.4709344492304468 
north 	 718.122430233011 1.4709344492304468 
american 	 451.25675569681783 1.4709344492304468 
connected 	 1333.285634391087 1.4709344492304468 
escaped 	 1871.2402612638912 1.4709344492304468 
custody 	 1643.476635574174 1.4709344492304468 
official 	 924.0382350910332 1.4709344492304468 
charge 	 1125.3796055183288 1.4709344492304468 
human 	 627.3030048481278 1.4709344492304468 
rights 	 374.98588779771103 1.4709344492304468 
allegations 	 1424.1050597759704 1.4709344492304468 
course 	 965.8184757934871 1.4709344492304468 
denied 	 1159.3159203565226 1.4709344492304468 
involvement 	 965.8184757934871 1.4709344492304468 
staff 	 827.3058727770456 1.4709344492304468 
documented 	 1498.30993339111 1.4709344492304468 
campaign 	 904.6536191524066 1.4709344492304468 
discredit 	 1871.2402612638912 1.4709344492304468 
bizarre 	 1780.4208358790077 1.4709344492304468 
lesbian 	 1871.2402612638912 1.4709344492304468 
love 	 1051.1747319031892 1.4709344492304468 
affair 	 1780.4208358790077 1.4709344492304468 
claim 	 988.4354052134952 1.4709344492304468 
guatemalans 	 2435.4620662396865 1.4709344492304468 
hope 	 1079.2548305983785 1.4709344492304468 
democracy 	 452.3268095762033 1.6951451786207865 
financing 	 1177.407787722852 1.4709344492304468 
opponents 	 1780.4208358790077 1.4709344492304468 
country 	 662.2815737770227 1.4709344492304468 
covertly 	 1988.326864751766 1.4709344492304468 
supporting 	 1094.0564617759244 1.4709344492304468 
undemocratic 	 2435.4620662396865 1.4709344492304468 
policies 	 762.3364035211488 1.4709344492304468 
consent 	 1307.0184562880954 1.4709344492304468 
