term 	 tf-idf weight 	 BM25 ranking 
 sir 	 54.309413649899604 1.966364992363992 
adjusted 	 4255.117197048619 1.1301141988158745 
electronically 	 2002.2730559715592 1.444182706488342 
dornier 	 4608.277306210831 1.1301141988158745 
alenia 	 4608.277306210831 1.1301141988158745 
spazio 	 4608.277306210831 1.1301141988158745 
companies 	 1896.4054718885943 1.1301141988158745 
operates 	 2913.389566383653 1.1301141988158745 
single 	 938.6309220682705 1.444182706488342 
frequency 	 780.8604294677906 1.677242852149174 
slotted 	 2606.0042502392716 1.444182706488342 
waveguide 	 2606.0042502392716 1.444182706488342 
mechanical 	 1758.5603803256827 1.444182706488342 
tilt 	 2127.5585985243097 1.444182706488342 
change 	 1395.263301677592 1.1301141988158745 
direction 	 610.9809035613706 1.677242852149174 
week 	 2021.0463066996208 1.1301141988158745 
flight 	 3047.654808513195 1.1301141988158745 
roughly 	 3810.1880787484415 1.1301141988158745 
square 	 2744.2796778055786 1.1301141988158745 
kilometers 	 1015.8849361710649 1.5916248050608306 
corresponds 	 4255.117197048619 1.1301141988158745 
hours 	 1139.5469162801621 1.444182706488342 
peak 	 3517.1207606513653 1.1301141988158745 
rate 	 625.7539480455137 1.5916248050608306 
megabits 	 5212.008500478543 1.1301141988158745 
bits 	 768.0462177018051 1.772595848896164 
collected 	 2913.389566383653 1.1301141988158745 
processed 	 4004.5461119431184 1.1301141988158745 
resolution 	 1110.5028226859902 1.444182706488342 
selectable 	 5212.008500478543 1.1301141988158745 
width 	 1536.0924354036101 1.5916248050608306 
mapped 	 5212.008500478543 1.1301141988158745 
vary 	 3206.456884480729 1.1301141988158745 
depending 	 1259.855261801725 1.444182706488342 
operated 	 1825.6930013904534 1.444182706488342 
beams 	 1536.0924354036101 1.5916248050608306 
develop 	 1956.4982629537292 1.1301141988158745 
automatic 	 3400.814917675406 1.1301141988158745 
techniques 	 1737.60339592106 1.1301141988158745 
extracting 	 5212.008500478543 1.1301141988158745 
information 	 241.1638405569924 1.5916248050608306 
preparation 	 3123.4417178711624 1.1301141988158745 
mission 	 455.8187665120648 1.7331825580637183 
sircdesc4 	 5212.008500478543 1.1301141988158745 
schematic 	 5212.008500478543 1.1301141988158745 
diagram 	 4608.277306210831 1.1301141988158745 
illuminating 	 4255.117197048619 1.1301141988158745 
ground 	 520.5451380426033 1.7331825580637183 
mapping 	 3651.386002780907 1.1301141988158745 
swath 	 1536.0924354036101 1.5916248050608306 
moves 	 2797.0837234076935 1.1301141988158745 
forward 	 1280.1147286107207 1.444182706488342 
shown 	 1170.667295094386 1.444182706488342 
los 	 2694.4946993509834 1.1301141988158745 
angeles 	 2853.2967753185176 1.1301141988158745 
california 	 2249.565581050805 1.1301141988158745 
north 	 1536.8172892701539 1.1301141988158745 
cooperative 	 3123.4417178711624 1.1301141988158745 
nasa's 	 4004.5461119431184 1.1301141988158745 
program 	 205.54123410317524 1.7331825580637183 
continued 	 999.4972479726522 1.444182706488342 
eventually 	 2797.0837234076935 1.1301141988158745 
lead 	 2140.5484835378666 1.1301141988158745 
topsat 	 5212.008500478543 1.1301141988158745 
topography 	 3810.1880787484415 1.1301141988158745 
globally 	 3810.1880787484415 1.1301141988158745 
benefits 	 1840.19241997777 1.1301141988158745 
experience 	 1562.8192201735262 1.1301141988158745 
gained 	 3206.456884480729 1.1301141988158745 
magellan 	 5212.008500478543 1.1301141988158745 
venus 	 5212.008500478543 1.1301141988158745 
international 	 1175.1595517305302 1.1301141988158745 
programs 	 1417.3151124319083 1.1301141988158745 
ers 	 4255.117197048619 1.1301141988158745 
jers 	 4608.277306210831 1.1301141988158745 
prototype 	 3517.1207606513653 1.1301141988158745 
aircraft 	 3047.654808513195 1.1301141988158745 
sensors 	 3810.1880787484415 1.1301141988158745 
airborne 	 3651.386002780907 1.1301141988158745 
airsar 	 3651.386002780907 1.1301141988158745 
provide 	 295.0036654476588 1.7331825580637183 
increased 	 2115.3003389212636 1.1301141988158745 
acquiring 	 3810.1880787484415 1.1301141988158745 
digital 	 2853.2967753185176 1.1301141988158745 
simultaneously 	 3298.225893618696 1.1301141988158745 
lambda 	 1303.0021251196358 1.677242852149174 
vertically 	 1099.4086312062318 1.5916248050608306 
horizontally 	 1099.4086312062318 1.5916248050608306 
polarized 	 2304.1386531054154 1.444182706488342 
transmitted 	 1015.8849361710649 1.5916248050608306 
waves 	 3400.814917675406 1.1301141988158745 
received 	 584.6280812582149 1.5916248050608306 
channels 	 2797.0837234076935 1.1301141988158745 
magnitude 	 4004.5461119431184 1.1301141988158745 
backscatter 	 2002.2730559715592 1.444182706488342 
combinations 	 4004.5461119431184 1.1301141988158745 
relative 	 2115.3003389212636 1.1301141988158745 
phase 	 2797.0837234076935 1.1301141988158745 
difference 	 2341.334590188772 1.1301141988158745 
returns 	 2853.2967753185176 1.1301141988158745 
derivation 	 4255.117197048619 1.1301141988158745 
complete 	 1936.00319970945 1.1301141988158745 
scattering 	 1905.0940393742208 1.444182706488342 
matrix 	 2002.2730559715592 1.444182706488342 
scene 	 2519.71052360345 1.1301141988158745 
pixel 	 2304.1386531054154 1.444182706488342 
basis 	 1721.6212961410606 1.1301141988158745 
configuration 	 4004.5461119431184 1.1301141988158745 
linear 	 3651.386002780907 1.1301141988158745 
circular 	 4255.117197048619 1.1301141988158745 
elliptical 	 5212.008500478543 1.1301141988158745 
processing 	 2480.993038404253 1.1301141988158745 
polarimetric 	 4608.277306210831 1.1301141988158745 
yield 	 3400.814917675406 1.1301141988158745 
detailed 	 1840.19241997777 1.1301141988158745 
geometric 	 5212.008500478543 1.1301141988158745 
cover 	 2066.8989985654234 1.1301141988158745 
subsurface 	 5212.008500478543 1.1301141988158745 
discontinuities 	 4255.117197048619 1.1301141988158745 
brightness 	 4608.277306210831 1.1301141988158745 
started 	 2647.402149624573 1.1301141988158745 
mrse 	 5212.008500478543 1.1301141988158745 
flown 	 2606.0042502392716 1.444182706488342 
spacelab 	 5212.008500478543 1.1301141988158745 
development 	 1013.5432568365557 1.1301141988158745 
cooperation 	 2797.0837234076935 1.1301141988158745 
italy 	 2249.565581050805 1.1301141988158745 
initiated 	 2913.389566383653 1.1301141988158745 
operate 	 2647.402149624573 1.1301141988158745 
resulting 	 2140.5484835378666 1.1301141988158745 
strongly 	 3206.456884480729 1.1301141988158745 
influenced 	 2480.993038404253 1.1301141988158745 
objects 	 3400.814917675406 1.1301141988158745 
comparable 	 3298.225893618696 1.1301141988158745 
size 	 1204.18382850917 1.444182706488342 
multi 	 867.5752300710055 1.5916248050608306 
wide 	 929.2649696945409 1.444182706488342 
range 	 494.37180759477275 1.677242852149174 
scales 	 3123.4417178711624 1.1301141988158745 
discernible 	 5212.008500478543 1.1301141988158745 
previous 	 988.7436151895455 1.444182706488342 
experiments 	 3400.814917675406 1.1301141988158745 
instrumentation 	 3810.1880787484415 1.1301141988158745 
composed 	 1041.1472392903875 1.5916248050608306 
subsystems 	 4255.117197048619 1.1301141988158745 
transmitter 	 2304.1386531054154 1.444182706488342 
receivers 	 4608.277306210831 1.1301141988158745 
handling 	 1456.6947831918264 1.444182706488342 
subsystem 	 2304.1386531054154 1.444182706488342 
processor 	 4004.5461119431184 1.1301141988158745 
planar 	 5212.008500478543 1.1301141988158745 
arrays 	 5212.008500478543 1.1301141988158745 
uniform 	 3206.456884480729 1.1301141988158745 
grid 	 3810.1880787484415 1.1301141988158745 
dual 	 3298.225893618696 1.1301141988158745 
microstrip 	 5212.008500478543 1.1301141988158745 
radiators 	 5212.008500478543 1.1301141988158745 
port 	 3400.814917675406 1.1301141988158745 
fed 	 4255.117197048619 1.1301141988158745 
corporate 	 2166.5504144412384 1.1301141988158745 
feed 	 3517.1207606513653 1.1301141988158745 
network 	 2166.5504144412384 1.1301141988158745 
leaves 	 2797.0837234076935 1.1301141988158745 
divided 	 2913.389566383653 1.1301141988158745 
subpanels 	 5212.008500478543 1.1301141988158745 
model 	 1822.2330208241872 1.1301141988158745 
sircdesc5 	 5212.008500478543 1.1301141988158745 
missions 	 3047.654808513195 1.1301141988158745 
formed 	 2480.993038404253 1.1301141988158745 
hundreds 	 2560.2294572214414 1.1301141988158745 
low 	 1721.6212961410606 1.1301141988158745 
power 	 627.3993725606848 1.444182706488342 
solid 	 3206.456884480729 1.1301141988158745 
transmitters 	 2606.0042502392716 1.444182706488342 
embedded 	 4608.277306210831 1.1301141988158745 
properly 	 2797.0837234076935 1.1301141988158745 
phasing 	 5212.008500478543 1.1301141988158745 
energy 	 1858.5299393890818 1.1301141988158745 
steered 	 4608.277306210831 1.1301141988158745 
deg 	 1737.336166826181 1.5916248050608306 
nominal 	 4255.117197048619 1.1301141988158745 
nadir 	 1737.336166826181 1.5916248050608306 
position 	 1264.1143419420569 1.1301141988158745 
physically 	 2853.2967753185176 1.1301141988158745 
moving 	 2647.402149624573 1.1301141988158745 
feature 	 2853.2967753185176 1.1301141988158745 
enable 	 3123.4417178711624 1.1301141988158745 
acquired 	 1280.1147286107207 1.444182706488342 
incidence 	 2977.9376101295443 1.1301141988158745 
angles 	 2002.2730559715592 1.444182706488342 
passive 	 3400.814917675406 1.1301141988158745 
measuring 	 2977.9376101295443 1.1301141988158745 
components 	 2443.9236142454824 1.1301141988158745 
include 	 1487.0323108155587 1.1301141988158745 
traveling 	 3400.814917675406 1.1301141988158745 
tube 	 3810.1880787484415 1.1301141988158745 
exciter 	 5212.008500478543 1.1301141988158745 
receiver 	 4255.117197048619 1.1301141988158745 
mechanism 	 3047.654808513195 1.1301141988158745 
stand 	 2443.9236142454824 1.1301141988158745 
roll 	 3517.1207606513653 1.1301141988158745 
yaw 	 5212.008500478543 1.1301141988158745 
maneuvers 	 4004.5461119431184 1.1301141988158745 
allow 	 2115.3003389212636 1.1301141988158745 
side 	 1915.9793293357375 1.1301141988158745 
track 	 2913.389566383653 1.1301141988158745 
imaged 	 4608.277306210831 1.1301141988158745 
varies 	 3517.1207606513653 1.1301141988158745 
miles 	 2647.402149624573 1.1301141988158745 
orientation 	 2797.0837234076935 1.1301141988158745 
operational 	 2853.2967753185176 1.1301141988158745 
mode 	 2913.389566383653 1.1301141988158745 
table 	 1426.6483876592588 1.444182706488342 
summary 	 1787.388374375655 1.1301141988158745 
characteristics 	 1045.3817525416355 1.444182706488342 
parameter 	 3810.1880787484415 1.1301141988158745 
pulse 	 2304.1386531054154 1.444182706488342 
length 	 2977.9376101295443 1.1301141988158745 
mbits 	 1737.336166826181 1.5916248050608306 
format 	 3047.654808513195 1.1301141988158745 
word 	 826.9976794680844 1.5916248050608306 
bfpq 	 1303.0021251196358 1.677242852149174 
block 	 2279.0938325603242 1.1301141988158745 
floating 	 3517.1207606513653 1.1301141988158745 
quantization 	 5212.008500478543 1.1301141988158745 
form 	 1342.4592560754772 1.1301141988158745 
compression 	 4255.117197048619 1.1301141988158745 
sample 	 1603.2284422403645 1.444182706488342 
parameters 	 3810.1880787484415 1.1301141988158745 
orbital 	 3651.386002780907 1.1301141988158745 
altitude 	 3810.1880787484415 1.1301141988158745 
typically 	 2744.2796778055786 1.1301141988158745 
look 	 1395.263301677592 1.1301141988158745 
angle 	 3810.1880787484415 1.1301141988158745 
degrees 	 2443.9236142454824 1.1301141988158745 
bandwidth 	 4255.117197048619 1.1301141988158745 
mhz 	 4255.117197048619 1.1301141988158745 
repetition 	 4255.117197048619 1.1301141988158745 
pulses 	 4255.117197048619 1.1301141988158745 
channel 	 3047.654808513195 1.1301141988158745 
mass 	 985.8901406045562 1.1301141988158745 
consumption 	 2913.389566383653 1.1301141988158745 
home 	 194.49517695269876 1.444182706488342 
