term 	 tf-idf weight 	 BM25 ranking 
 shared 	 164.72671032265202 1.8919878486224408 
overweight 	 1708.9248793411002 1.5558799641880576 
learned 	 1130.1865707804384 1.5558799641880576 
meeting 	 741.3033549831611 1.5558799641880576 
leads 	 1189.0764336248858 1.5558799641880576 
thanking 	 1932.8114186619625 1.5558799641880576 
god 	 981.7576283912023 1.5558799641880576 
victories 	 1932.8114186619625 1.5558799641880576 
refrigerator 	 1577.959649422163 1.5558799641880576 
watcher 	 1932.8114186619625 1.5558799641880576 
sees 	 1037.265261378513 1.5558799641880576 
newsweek 	 1708.9248793411002 1.5558799641880576 
getting 	 906.3000314595762 1.5558799641880576 
touch 	 184.05546270031437 1.9091723328744645 
friendly 	 1104.3327762018862 1.5558799641880576 
hugs 	 1932.8114186619625 1.5558799641880576 
full 	 555.9658183776177 1.5558799641880576 
fledged 	 1932.8114186619625 1.5558799641880576 
passion 	 1261.1518006993756 1.5558799641880576 
physical 	 203.44604168807467 1.826235957073583 
contact 	 521.4797623151146 1.5558799641880576 
helps 	 1158.291245548089 1.5558799641880576 
keep 	 757.8710890703398 1.5558799641880576 
healthy 	 1223.1078801823637 1.5558799641880576 
thousands 	 508.8417542659023 1.750205271108834 
alternative 	 358.9718906464709 1.750205271108834 
healthcare 	 426.52059126376486 1.5558799641880576 
providers 	 1130.1865707804384 1.5558799641880576 
chiropractors 	 1708.9248793411002 1.5558799641880576 
massage 	 1485.038340020238 1.5558799641880576 
therapists 	 1708.9248793411002 1.5558799641880576 
swear 	 1708.9248793411002 1.5558799641880576 
healing 	 1104.3327762018862 1.5558799641880576 
power 	 465.3272039887513 1.5558799641880576 
theresa 	 1708.9248793411002 1.5558799641880576 
crenshaw 	 966.4057093309813 1.750205271108834 
san 	 793.7969692109424 1.5558799641880576 
diego 	 1130.1865707804384 1.5558799641880576 
physician 	 1158.291245548089 1.5558799641880576 
sex 	 934.4047062272265 1.5558799641880576 
therapist 	 1577.959649422163 1.5558799641880576 
credits 	 856.5093618753716 1.5558799641880576 
broad 	 834.2246643850863 1.5558799641880576 
range 	 733.3276411164711 1.5558799641880576 
emotional 	 813.3787220576507 1.5558799641880576 
benefits 	 341.2067460693569 1.750205271108834 
ranging 	 1037.265261378513 1.5558799641880576 
providing 	 662.8317392920053 1.5558799641880576 
sense 	 775.334801540639 1.5558799641880576 
comfort 	 1189.0764336248858 1.5558799641880576 
boosting 	 1577.959649422163 1.5558799641880576 
immune 	 1412.962972945748 1.5558799641880576 
system 	 348.40766522634976 1.5558799641880576 
stabilizing 	 1932.8114186619625 1.5558799641880576 
blood 	 999.2213408615013 1.5558799641880576 
pressure 	 813.3787220576507 1.5558799641880576 
body 	 689.2137433096136 1.5558799641880576 
scientific 	 868.2561109425642 1.5558799641880576 
evidence 	 733.3276411164711 1.5558799641880576 
proving 	 1189.0764336248858 1.5558799641880576 
slim 	 1708.9248793411002 1.5558799641880576 
consequences 	 793.7969692109424 1.5558799641880576 
deprivation 	 742.519170010119 1.750205271108834 
documented 	 1189.0764336248858 1.5558799641880576 
decades 	 1104.3327762018862 1.5558799641880576 
studies 	 346.0238905692177 1.5558799641880576 
newborns 	 1577.959649422163 1.5558799641880576 
elderly 	 999.2213408615013 1.5558799641880576 
reaching 	 1017.6835085318046 1.5558799641880576 
shown 	 868.2561109425642 1.5558799641880576 
mental 	 868.2561109425642 1.5558799641880576 
suffering 	 920.0467869168472 1.5558799641880576 
lack 	 351.6297172330746 1.750205271108834 
basic 	 669.2279879086714 1.5558799641880576 
met 	 703.2594344661492 1.5558799641880576 
destructive 	 630.5759003496878 1.750205271108834 
health 	 517.4168156622987 1.5558799641880576 
vitamin 	 1577.959649422163 1.5558799641880576 
easy 	 893.1145272295337 1.5558799641880576 
remedy 	 1261.1518006993756 1.5558799641880576 
chatelaine 	 1932.8114186619625 1.5558799641880576 
hemp 	 322.13523644366046 1.9091723328744645 
comeback 	 1577.959649422163 1.5558799641880576 
liberal 	 834.2246643850863 1.5558799641880576 
senator 	 1058.1112037059486 1.5558799641880576 
lorna 	 1932.8114186619625 1.5558799641880576 
milne 	 966.4057093309813 1.750205271108834 
introduced 	 999.2213408615013 1.5558799641880576 
amendment 	 453.1500157297881 1.750205271108834 
bill 	 725.5441319564346 1.5558799641880576 
replace 	 1080.395901196234 1.5558799641880576 
narcotic 	 1708.9248793411002 1.5558799641880576 
control 	 455.1797726053698 1.5558799641880576 
act 	 589.4921827367885 1.5558799641880576 
approved 	 446.55726361476684 1.750205271108834 
legal 	 551.4482622197767 1.5558799641880576 
cultivate 	 1932.8114186619625 1.5558799641880576 
forms 	 584.4843304856718 1.5558799641880576 
marijuana 	 706.481486472874 1.750205271108834 
adding 	 949.4306712772968 1.5558799641880576 
mature 	 1412.962972945748 1.5558799641880576 
stock 	 868.2561109425642 1.5558799641880576 
list 	 741.3033549831611 1.5558799641880576 
substances 	 1261.1518006993756 1.5558799641880576 
cigarettes 	 1485.038340020238 1.5558799641880576 
industrial 	 638.4427998318744 1.5558799641880576 
grades 	 1354.0731101013007 1.5558799641880576 
tiny 	 1708.9248793411002 1.5558799641880576 
fraction 	 1577.959649422163 1.5558799641880576 
level 	 479.3728951452869 1.5558799641880576 
thc 	 1577.959649422163 1.5558799641880576 
substance 	 1104.3327762018862 1.5558799641880576 
produces 	 1412.962972945748 1.5558799641880576 
smoked 	 1932.8114186619625 1.5558799641880576 
outlawed 	 1354.0731101013007 1.5558799641880576 
manufacture 	 1261.1518006993756 1.5558799641880576 
wide 	 689.2137433096136 1.5558799641880576 
variety 	 675.7534623722302 1.5558799641880576 
products 	 725.5441319564346 1.5558799641880576 
ropes 	 1708.9248793411002 1.5558799641880576 
sails 	 1932.8114186619625 1.5558799641880576 
shirts 	 1577.959649422163 1.5558799641880576 
shoes 	 1708.9248793411002 1.5558799641880576 
salad 	 1485.038340020238 1.5558799641880576 
oil 	 803.4394763082894 1.5558799641880576 
environmentalists 	 1485.038340020238 1.5558799641880576 
domestic 	 703.2594344661492 1.5558799641880576 
industry 	 509.4411017956088 1.5558799641880576 
reduce 	 813.3787220576507 1.5558799641880576 
logging 	 1577.959649422163 1.5558799641880576 
practices 	 696.1602475959847 1.5558799641880576 
replacing 	 1261.1518006993756 1.5558799641880576 
wood 	 1158.291245548089 1.5558799641880576 
pulp 	 1485.038340020238 1.5558799641880576 
paper 	 370.6923627166351 1.5558799641880576 
process 	 505.52590234366136 1.5558799641880576 
viable 	 999.2213408615013 1.5558799641880576 
crop 	 1261.1518006993756 1.5558799641880576 
tobacco 	 1261.1518006993756 1.5558799641880576 
lands 	 1354.0731101013007 1.5558799641880576 
southwestern 	 1577.959649422163 1.5558799641880576 
ontario 	 1412.962972945748 1.5558799641880576 
grow 	 1058.1112037059486 1.5558799641880576 
little 	 749.4810069620867 1.5558799641880576 
vancouver 	 1080.395901196234 1.5558799641880576 
sun 	 1017.6835085318046 1.5558799641880576 
issue 	 458.5269528178514 1.5558799641880576 
aug96 	 1708.9248793411002 1.5558799641880576 
htm 	 105.95370807146391 1.750205271108834 
vision's 	 540.197950598117 1.750205271108834 
library 	 422.58743278816576 1.750205271108834 
http 	 70.85955204753192 1.750205271108834 
www 	 70.22992162040326 1.750205271108834 
com 	 77.95250832800782 1.750205271108834 
village 	 803.4394763082894 1.5558799641880576 
index 	 140.45984324080652 1.5558799641880576 
html 	 126.92262395695577 1.5558799641880576 
top 	 301.70792832036204 1.5558799641880576 
page 	 158.55257246296534 1.5558799641880576 
