term 	 tf-idf weight 	 BM25 ranking 
educational 	 1205.8535262007638 1.3207131139347685 
coping 	 2545.9580503232987 1.3207131139347685 
techniques 	 580.5311001297686 1.5908789089820932 
self 	 1053.157524280684 1.3207131139347685 
esteem 	 2350.131208609753 1.3207131139347685 
visits 	 1101.9331056751325 1.5908789089820932 
children's 	 1869.004279016392 1.3207131139347685 
family 	 993.6312340926007 1.3207131139347685 
retreats 	 3079.239256274057 1.3207131139347685 
camps 	 1989.8503893173304 1.3207131139347685 
caring 	 2439.846904269217 1.3207131139347685 
facilities 	 751.5770196162852 1.5908789089820932 
teachers 	 1800.454552264377 1.3207131139347685 
empower 	 2843.258563355105 1.3207131139347685 
difficult 	 723.8417572932266 1.5908789089820932 
circumstances 	 1254.3816226032914 1.3207131139347685 
spt 	 757.650541173649 1.3207131139347685 
objectives 	 1381.0966902010061 1.3207131139347685 
joy 	 2675.8275971881685 1.3207131139347685 
interrupt 	 3482.650915359945 1.3207131139347685 
patterns 	 1381.0966902010061 1.3207131139347685 
pain 	 1768.9874294850765 1.3207131139347685 
loneliness 	 2843.258563355105 1.3207131139347685 
sadness 	 3482.650915359945 1.3207131139347685 
fall 	 1205.8535262007638 1.3207131139347685 
practical 	 1413.438343573106 1.3207131139347685 
enable 	 2087.075866591293 1.3207131139347685 
confront 	 2272.4159381022805 1.3207131139347685 
challenges 	 1946.7195495238643 1.3207131139347685 
improve 	 1484.0703623495897 1.3207131139347685 
moods 	 1421.6292816775524 1.5908789089820932 
demonstrate 	 1833.7207491192269 1.3207131139347685 
views 	 1035.5198108744025 1.3207131139347685 
draw 	 2142.5463912374103 1.3207131139347685 
productive 	 2203.866211350265 1.3207131139347685 
communication 	 1430.309090033339 1.3207131139347685 
encourage 	 1906.5656983184585 1.3207131139347685 
seek 	 1683.664207505405 1.3207131139347685 
constructive 	 2439.846904269217 1.3207131139347685 
manner 	 1430.309090033339 1.3207131139347685 
careful 	 2439.846904269217 1.3207131139347685 
lesson 	 2272.4159381022805 1.3207131139347685 
design 	 1090.1223264110777 1.3207131139347685 
found 	 1090.1223264110777 1.3207131139347685 
inherent 	 1768.9874294850765 1.3207131139347685 
power' 	 3482.650915359945 1.3207131139347685 
master 	 1989.8503893173304 1.3207131139347685 
exercise 	 1768.9874294850765 1.3207131139347685 
promotes 	 2439.846904269217 1.3207131139347685 
mental 	 782.2369296727126 1.5908789089820932 
attitude 	 1413.438343573106 1.3207131139347685 
easy 	 1609.265185286652 1.3207131139347685 
exercises 	 2545.9580503232987 1.3207131139347685 
muscle 	 3079.239256274057 1.3207131139347685 
tone 	 2142.5463912374103 1.3207131139347685 
breathing 	 2675.8275971881685 1.3207131139347685 
