term 	 tf-idf weight 	 BM25 ranking 
 nelson 	 522.566215062434 1.7826021396146152 
protos 	 1651.5664134696647 1.6078324701772722 
awards 	 217.3998826275372 1.8850538056283477 
excellence 	 1077.6405479660298 1.6078324701772722 
chapter 	 712.8359361309097 1.6078324701772722 
society 	 418.97577272099943 1.6078324701772722 
america 	 540.5693468267633 1.6078324701772722 
press 	 89.82295546066744 1.9069737430817388 
club 	 443.16596306574246 1.7826021396146152 
contact 	 148.53293539625554 1.8496193546527666 
online 	 904.1445579654545 1.6078324701772722 
ranging 	 886.3319261314849 1.6078324701772722 
electronic 	 774.4235562936316 1.6078324701772722 
mail 	 243.49114342052954 1.7826021396146152 
world 	 153.00597613307337 1.7826021396146152 
web 	 283.1912694188753 1.7826021396146152 
developed 	 550.6068166179248 1.6078324701772722 
sites 	 752.3317689757356 1.6078324701772722 
provided 	 633.4356841342181 1.6078324701772722 
counsel 	 1016.052927803308 1.6078324701772722 
healthnet 	 1651.5664134696647 1.6078324701772722 
sdi 	 1651.5664134696647 1.6078324701772722 
capital 	 647.5926333851821 1.6078324701772722 
resources 	 516.9652269578306 1.6078324701772722 
joining 	 989.7473181773144 1.6078324701772722 
owned 	 853.8238082903231 1.6078324701772722 
affairs 	 654.9530695798586 1.6078324701772722 
consulting 	 1157.0407999627214 1.6078324701772722 
coordinating 	 1207.361549637853 1.6078324701772722 
projects 	 741.9154384524696 1.6078324701772722 
lobbying 	 1045.132430124868 1.6078324701772722 
efforts 	 521.5273142963647 1.6078324701772722 
profit 	 763.1566858060412 1.6078324701772722 
organizations 	 594.8613880386742 1.6078324701772722 
directed 	 824.744305968763 1.6078324701772722 
numerous 	 686.5303265049159 1.6078324701772722 
political 	 130.68374760175146 1.7826021396146152 
campaigns 	 399.2193481713847 1.7826021396146152 
santa 	 989.7473181773144 1.6078324701772722 
barbara 	 943.6403908102803 1.6078324701772722 
ventura 	 825.7832067348323 1.7826021396146152 
counties 	 1114.495212330398 1.6078324701772722 
reporter 	 943.6403908102803 1.6078324701772722 
star 	 943.6403908102803 1.6078324701772722 
free 	 349.26072499221846 1.6078324701772722 
newspaper 	 786.1700098732192 1.6078324701772722 
associated 	 678.2909086756041 1.6078324701772722 
united 	 380.5394421369514 1.6078324701772722 
international 	 372.3812127182851 1.6078324701772722 
thompson 	 1114.495212330398 1.6078324701772722 
newspapers 	 838.901255219727 1.6078324701772722 
author 	 712.8359361309097 1.6078324701772722 
fiction 	 1016.052927803308 1.6078324701772722 
book 	 445.5988061887667 1.6078324701772722 
death 	 499.4355269784687 1.6078324701772722 
penalty 	 989.7473181773144 1.6078324701772722 
articles 	 654.9530695798586 1.6078324701772722 
commentary 	 989.7473181773144 1.6078324701772722 
published 	 654.9530695798586 1.6078324701772722 
regularly 	 1114.495212330398 1.6078324701772722 
register 	 923.1865904958532 1.6078324701772722 
los 	 853.8238082903231 1.6078324701772722 
angeles 	 904.1445579654545 1.6078324701772722 
times 	 449.11477730333723 1.6078324701772722 
coast 	 923.1865904958532 1.6078324701772722 
magazine 	 853.8238082903231 1.6078324701772722 
metro 	 965.7321781281765 1.6078324701772722 
interactive 	 989.7473181773144 1.6078324701772722 
writers 	 798.4386963427694 1.6078324701772722 
association 	 535.6842635473287 1.6078324701772722 
board 	 607.1300745082244 1.6078324701772722 
earned 	 1207.361549637853 1.6078324701772722 
bachelor's 	 1651.5664134696647 1.6078324701772722 
degree 	 731.8779686613083 1.6078324701772722 
university 	 662.5151864557782 1.6078324701772722 
missouri 	 1268.9491698005747 1.6078324701772722 
school 	 512.4773231972193 1.6078324701772722 
journalism 	 965.7321781281765 1.6078324701772722 
send 	 291.64439636627606 1.6078324701772722 
mailto 	 100.24884539499843 1.7826021396146152 
ggoldhammer 	 1651.5664134696647 1.6078324701772722 
irv 	 1348.3494217972664 1.6078324701772722 
nelsongroup 	 359.2135159886766 1.8496193546527666 
com 	 66.60957367965995 1.7826021396146152 
agover 	 1157.0407999627214 1.6078324701772722 
html 	 15.49342954980973 1.932657730882907 
people 	 323.40353138687726 1.6078324701772722 
meet 	 571.8480639714962 1.6078324701772722 
ncg 	 1157.0407999627214 1.6078324701772722 
staflist 	 1157.0407999627214 1.6078324701772722 
gazette 	 1045.132430124868 1.6078324701772722 
specialties 	 1157.0407999627214 1.6078324701772722 
studio 	 1114.495212330398 1.6078324701772722 
studies 	 295.67366500651417 1.6078324701772722 
feedback 	 886.3319261314849 1.6078324701772722 
lhart 	 1157.0407999627214 1.6078324701772722 
sac 	 1157.0407999627214 1.6078324701772722 
