term 	 tf-idf weight 	 BM25 ranking 
commitment 	 3211.332464413266 0.994315493696578 
rule 	 4788.853484117754 0.6616233284706579 
ultimately 	 6957.409323180997 0.6616233284706579 
hope 	 6069.814022701937 0.6616233284706579 
survive 	 8009.278825128246 0.6616233284706579 
based 	 2816.2621990505104 0.6616233284706579 
mission 	 5989.489991653941 0.6616233284706579 
att95mideast 	 13697.230146492979 0.6616233284706579 
protect 	 2570.8521951211746 0.994315493696578 
journalsits 	 13697.230146492979 0.6616233284706579 
reserved 	 2537.903473685543 0.6616233284706579 
information 	 1901.3456866875626 0.6616233284706579 
document 	 6069.814022701937 0.6616233284706579 
copied 	 8937.388457587835 0.6616233284706579 
distributed 	 7212.0048019483 0.6616233284706579 
properly 	 7350.77456128612 0.6616233284706579 
attributed 	 7826.061067263521 0.6616233284706579 
publications 	 4250.219539124764 0.6616233284706579 
index 	 497.69749408391044 0.994315493696578 
website 	 6957.409323180997 0.6616233284706579 
org 	 5836.833435426479 0.6616233284706579 
