term 	 tf-idf weight 	 BM25 ranking 
attlist95 	 13697.230146492979 0.6616233284706579 
html 	 224.86523702590694 1.3282708462615125 
available 	 3582.5039952465663 0.6616233284706579 
web 	 4697.281273186997 0.6616233284706579 
site 	 913.2891327814709 1.423919682599957 
edition 	 8009.278825128246 0.6616233284706579 
special 	 756.8363061155135 1.423919682599957 
report 	 902.5624473762759 1.3282708462615125 
hunting 	 10013.226764931323 0.6616233284706579 
mass 	 287.8814302645528 1.6329688398347026 
graves 	 910.2933422664839 1.6893360178850079 
lines 	 5559.038433743711 0.6616233284706579 
rohde 	 5591.253308865838 0.994315493696578 
http 	 502.1594880396302 0.994315493696578 
www 	 497.69749408391044 0.994315493696578 
csmonitor 	 13697.230146492979 0.6616233284706579 
com 	 1104.8501025560986 0.6616233284706579 
archive 	 10524.00235388955 0.6616233284706579 
jul 	 9595.89272142996 0.6616233284706579 
nov95 	 13697.230146492979 0.6616233284706579 
recent9 	 13697.230146492979 0.6616233284706579 
following 	 3371.872736075909 0.6616233284706579 
article 	 1661.2599024695724 1.194536662673621 
christian 	 2812.6954528232927 0.994315493696578 
science 	 1251.6104959966922 0.994315493696578 
monitor 	 3675.38728064306 0.994315493696578 
reporter 	 869.5623408070579 1.6329688398347026 
rohde's 	 6848.615073246489 0.994315493696578 
chronicle 	 10524.00235388955 0.6616233284706579 
serbs 	 696.0389017276048 1.6893360178850079 
investigating 	 4621.5209076526835 0.994315493696578 
sites 	 2079.8157236539355 1.194536662673621 
executions 	 6055.308125095632 0.994315493696578 
zvornik 	 12110.616250191264 0.6616233284706579 
charged 	 3310.916985377897 0.994315493696578 
illegally 	 9595.89272142996 0.6616233284706579 
entering 	 6839.998972327893 0.6616233284706579 
territory 	 2889.261029656791 1.194536662673621 
falsifying 	 12110.616250191264 0.6616233284706579 
documents 	 1897.9081127654017 1.194536662673621 
convicted 	 4004.639412564123 0.994315493696578 
crimes 	 1921.3868883281348 1.194536662673621 
retaliation 	 9595.89272142996 0.6616233284706579 
weeks 	 3119.7235854809037 0.994315493696578 
captivity 	 12110.616250191264 0.6616233284706579 
pardoned 	 12110.616250191264 0.6616233284706579 
released 	 6520.083886231155 0.6616233284706579 
nov 	 9243.041815305367 0.6616233284706579 
efforts 	 4325.27544356659 0.6616233284706579 
parties 	 5035.220074454079 0.6616233284706579 
including 	 669.9069855781834 1.194536662673621 
family 	 3907.9414000652287 0.6616233284706579 
department 	 4402.876095352225 0.6616233284706579 
united 	 1577.997795383119 0.994315493696578 
nations 	 3034.9070113509683 0.994315493696578 
international 	 1029.4451641451142 1.194536662673621 
red 	 5836.833435426479 0.6616233284706579 
chair 	 8426.612868629609 0.6616233284706579 
kati 	 10013.226764931323 0.6616233284706579 
marton 	 8937.388457587835 0.6616233284706579 
met 	 4983.779707408717 0.6616233284706579 
serbian 	 2736.14928901917 1.194536662673621 
slobodan 	 10013.226764931323 0.6616233284706579 
milosevic 	 9595.89272142996 0.6616233284706579 
dayton 	 5262.001176944775 0.994315493696578 
ohio 	 4621.5209076526835 0.994315493696578 
peace 	 2655.668769251109 0.994315493696578 
talks 	 3164.6116916848337 0.994315493696578 
secure 	 7081.169192668658 0.6616233284706579 
december 	 2779.5192168718554 0.994315493696578 
issue 	 1083.1457120743673 1.194536662673621 
opc 	 13697.230146492979 0.6616233284706579 
bulletin 	 10013.226764931323 0.6616233284706579 
overseas 	 8426.612868629609 0.6616233284706579 
club 	 7350.77456128612 0.6616233284706579 
slightly 	 3828.213959501826 0.994315493696578 
amended 	 11182.506617731677 0.6616233284706579 
reprinted 	 5764.160664984404 0.6616233284706579 
permission 	 5431.839044450349 0.6616233284706579 
wrong 	 7498.50323617002 0.6616233284706579 
soldiers 	 3337.7422549771077 1.194536662673621 
normally 	 8937.388457587835 0.6616233284706579 
foreign 	 3474.7664628926364 0.6616233284706579 
drive 	 3478.7046615904983 0.994315493696578 
nearby 	 2979.1294858626115 1.194536662673621 
military 	 690.3429476169775 1.4957244681284965 
barracks 	 6848.615073246489 0.994315493696578 
request 	 3119.7235854809037 0.994315493696578 
accreditation 	 2236.5013235463352 1.423919682599957 
insisted 	 4797.94636071498 0.994315493696578 
ride 	 5262.001176944775 0.994315493696578 
knew 	 1733.5566177940746 1.423919682599957 
circled 	 13697.230146492979 0.6616233284706579 
car 	 591.1889339868305 1.6634965940774662 
passenger 	 10524.00235388955 0.6616233284706579 
side 	 2517.6100372270394 0.994315493696578 
door 	 4621.5209076526835 0.994315493696578 
shouted 	 6055.308125095632 0.994315493696578 
shrugged 	 12110.616250191264 0.6616233284706579 
shut 	 10013.226764931323 0.6616233284706579 
waved 	 3727.5022059105586 1.194536662673621 
intention 	 8937.388457587835 0.6616233284706579 
stopping 	 10524.00235388955 0.6616233284706579 
flimsy 	 13697.230146492979 0.6616233284706579 
unlaminated 	 13697.230146492979 0.6616233284706579 
cardboard 	 12110.616250191264 0.6616233284706579 
card 	 7350.77456128612 0.6616233284706579 
name 	 2241.600063200111 0.994315493696578 
date 	 2846.8621691481026 0.994315493696578 
expiration 	 12110.616250191264 0.6616233284706579 
filled 	 10013.226764931323 0.6616233284706579 
ball 	 9595.89272142996 0.6616233284706579 
pen 	 8937.388457587835 0.6616233284706579 
changed 	 3211.332464413266 0.994315493696578 
hidden 	 4104.223933528755 0.994315493696578 
doctored 	 13697.230146492979 0.6616233284706579 
requests 	 8667.783088970373 0.6616233284706579 
tribunal 	 10013.226764931323 0.6616233284706579 
access 	 4933.46998992944 0.6616233284706579 
srebrenica 	 2018.4360416985442 1.4957244681284965 
zepa 	 13697.230146492979 0.6616233284706579 
declared 	 7498.50323617002 0.6616233284706579 
safe 	 6957.409323180997 0.6616233284706579 
fell 	 4213.306434314804 0.994315493696578 
july 	 5311.337538502218 0.6616233284706579 
intelligence 	 1442.40096038966 1.423919682599957 
source 	 1125.0781811293173 1.423919682599957 
told 	 617.6709370826346 1.6329688398347026 
seen 	 4325.27544356659 0.6616233284706579 
tampering 	 11182.506617731677 0.6616233284706579 
possibly 	 8937.388457587835 0.6616233284706579 
destroying 	 10524.00235388955 0.6616233284706579 
evidence 	 5196.8636858068185 0.6616233284706579 
investigate 	 3540.584596334329 0.994315493696578 
friends 	 4104.223933528755 0.994315493696578 
blacklist 	 13697.230146492979 0.6616233284706579 
past 	 787.9911815890816 1.423919682599957 
allowed 	 2812.6954528232927 0.994315493696578 
enter 	 6839.998972327893 0.6616233284706579 
august 	 5311.337538502218 0.6616233284706579 
visited 	 3913.0305336317606 0.994315493696578 
identified 	 1803.001200487075 1.3282708462615125 
aerial 	 10524.00235388955 0.6616233284706579 
photos 	 2236.5013235463352 1.423919682599957 
decomposed 	 13697.230146492979 0.6616233284706579 
human 	 1764.0007101933224 0.994315493696578 
leg 	 8208.44786705751 0.6616233284706579 
diploma 	 9595.89272142996 0.6616233284706579 
personal 	 3273.405941619341 0.6616233284706579 
muslim 	 1919.1785442859923 1.423919682599957 
names 	 3606.00240097415 0.994315493696578 
september 	 5431.839044450349 0.6616233284706579 
credible 	 10524.00235388955 0.6616233284706579 
survivors 	 1787.4776915175669 1.423919682599957 
held 	 1081.3188608916475 1.3282708462615125 
described 	 5625.390905646585 0.6616233284706579 
execution 	 2106.653217157402 1.3282708462615125 
thousands 	 7212.0048019483 0.6616233284706579 
prisoners 	 4104.223933528755 0.994315493696578 
half 	 2918.4167177132394 0.994315493696578 
dozen 	 9595.89272142996 0.6616233284706579 
locations 	 2669.7596083760823 1.194536662673621 
days 	 806.0085054208027 1.4957244681284965 
trip 	 2608.687022421174 1.194536662673621 
exact 	 8667.783088970373 0.6616233284706579 
spy 	 3337.7422549771077 1.194536662673621 
planes 	 12110.616250191264 0.6616233284706579 
satellites 	 8009.278825128246 0.6616233284706579 
landmarks 	 12110.616250191264 0.6616233284706579 
dams 	 13697.230146492979 0.6616233284706579 
railroad 	 3913.0305336317606 0.994315493696578 
tracks 	 5262.001176944775 0.994315493696578 
matched 	 5262.001176944775 0.994315493696578 
hour 	 6957.409323180997 0.6616233284706579 
went 	 7212.0048019483 0.6616233284706579 
smoothly 	 10013.226764931323 0.6616233284706579 
forced 	 2207.2779902519314 1.194536662673621 
miles 	 6957.409323180997 0.6616233284706579 
village 	 5693.724338296205 0.6616233284706579 
sahanici 	 13697.230146492979 0.6616233284706579 
afternoon 	 9595.89272142996 0.6616233284706579 
school 	 2125.109769562382 0.994315493696578 
layout 	 10013.226764931323 0.6616233284706579 
surroundings 	 11182.506617731677 0.6616233284706579 
exactly 	 3749.25161808501 0.994315493696578 
hold 	 2918.4167177132394 0.994315493696578 
mile 	 9595.89272142996 0.6616233284706579 
fresh 	 4468.694228793917 0.994315493696578 
digging 	 6055.308125095632 0.994315493696578 
civilians' 	 13697.230146492979 0.6616233284706579 
jackets 	 6848.615073246489 0.994315493696578 
bullet 	 10524.00235388955 0.6616233284706579 
holes 	 13697.230146492979 0.6616233284706579 
woods 	 8208.44786705751 0.6616233284706579 
feet 	 7498.50323617002 0.6616233284706579 
battle 	 6728.318286544063 0.6616233284706579 
fought 	 10013.226764931323 0.6616233284706579 
canes 	 13697.230146492979 0.6616233284706579 
