term 	 tf-idf weight 	 BM25 ranking 
 return 	 743.8337993959773 1.3956443395054057 
gene 	 2252.844540587977 1.3956443395054057 
pool 	 3710.977469283952 1.071777069987713 
catastrophe 	 4505.689081175954 1.071777069987713 
major 	 1312.7544739149014 1.071777069987713 
disease 	 1282.1538208433512 1.3956443395054057 
wipe 	 5184.9733181247 1.071777069987713 
todays 	 2252.844540587977 1.3956443395054057 
heavy 	 1714.5245191406034 1.3956443395054057 
breasted 	 5864.257555073447 1.071777069987713 
altered 	 1369.444425076651 1.5519677558658413 
rapid 	 3277.981372050493 1.071777069987713 
growth 	 601.3285077365815 1.5519677558658413 
weight 	 802.5920894983202 1.6440406591094154 
gain 	 1417.5179753911486 1.3956443395054057 
trouble 	 3514.3201877310435 1.071777069987713 
supporting 	 2634.3374263892038 1.071777069987713 
cant 	 4505.689081175954 1.071777069987713 
move 	 1233.9181851648573 1.3956443395054057 
normally 	 3826.4048442272074 1.071777069987713 
infections 	 4787.617512178699 1.071777069987713 
leg 	 1757.1600938655217 1.3956443395054057 
hip 	 2252.844540587977 1.3956443395054057 
joints 	 2143.5042004440143 1.3956443395054057 
changed 	 2749.76480133246 1.071777069987713 
reproduce 	 4287.0084008880285 1.071777069987713 
naturally 	 4505.689081175954 1.071777069987713 
artificial 	 3429.049038281207 1.071777069987713 
insemination 	 5864.257555073447 1.071777069987713 
sole 	 3710.977469283952 1.071777069987713 
method 	 1056.0944932570667 1.3956443395054057 
reproduction 	 4505.689081175954 1.071777069987713 
raised 	 2978.707355490335 1.071777069987713 
food 	 352.03149775235556 1.7477273022007236 
stud 	 5864.257555073447 1.071777069987713 
farm 	 1464.2199634952676 1.3956443395054057 
concept 	 1973.3714797923674 1.071777069987713 
males 	 4505.689081175954 1.071777069987713 
females 	 4787.617512178699 1.071777069987713 
isolated 	 3957.2656089992397 1.071777069987713 
semen 	 1466.0643887683618 1.6440406591094154 
milked 	 5864.257555073447 1.071777069987713 
male 	 2978.707355490335 1.071777069987713 
injected 	 1296.243329531175 1.6440406591094154 
female 	 2598.697135101747 1.071777069987713 
milk 	 3826.4048442272074 1.071777069987713 
worker 	 687.441200333115 1.6440406591094154 
catches 	 5864.257555073447 1.071777069987713 
tom 	 1543.8542389491772 1.3956443395054057 
legs 	 821.6666550459905 1.704721824826105 
upside 	 1728.3244393749003 1.5519677558658413 
neck 	 5184.9733181247 1.071777069987713 
chest 	 5184.9733181247 1.071777069987713 
bench 	 5184.9733181247 1.071777069987713 
padded 	 5184.9733181247 1.071777069987713 
clamps 	 4787.617512178699 1.071777069987713 
exposes 	 4108.333275229953 1.071777069987713 
vent 	 1728.3244393749003 1.5519677558658413 
squeezes 	 5864.257555073447 1.071777069987713 
white 	 2070.4805643837135 1.071777069987713 
oozes 	 5864.257555073447 1.071777069987713 
sucks 	 5864.257555073447 1.071777069987713 
drops 	 4787.617512178699 1.071777069987713 
glass 	 3710.977469283952 1.071777069987713 
tube 	 2143.5042004440143 1.3956443395054057 
slowly 	 3826.4048442272074 1.071777069987713 
fills 	 5184.9733181247 1.071777069987713 
syringe 	 2932.1287775367236 1.3956443395054057 
hens 	 1954.7525183578157 1.5519677558658413 
breaks 	 3957.2656089992397 1.071777069987713 
hen 	 2932.1287775367236 1.3956443395054057 
holding 	 2671.3229478123944 1.071777069987713 
tail 	 5184.9733181247 1.071777069987713 
expose 	 3957.2656089992397 1.071777069987713 
inseminator 	 5864.257555073447 1.071777069987713 
inserts 	 4787.617512178699 1.071777069987713 
injects 	 5864.257555073447 1.071777069987713 
shot 	 3514.3201877310435 1.071777069987713 
blows 	 5184.9733181247 1.071777069987713 
breath 	 5184.9733181247 1.071777069987713 
stressful 	 4787.617512178699 1.071777069987713 
situation 	 1902.0673125955875 1.071777069987713 
forced 	 2835.0359507822973 1.071777069987713 
weekly 	 3210.368357993281 1.071777069987713 
foreign 	 1487.6675987919546 1.071777069987713 
natural 	 1100.670664577873 1.3956443395054057 
mating 	 1954.7525183578157 1.5519677558658413 
instincts 	 5864.257555073447 1.071777069987713 
forms 	 1773.3580305757223 1.071777069987713 
territory 	 1855.488734641976 1.3956443395054057 
approximately 	 1354.8796233513049 1.3956443395054057 
mate 	 3826.4048442272074 1.071777069987713 
secluded 	 5864.257555073447 1.071777069987713 
spot 	 3514.3201877310435 1.071777069987713 
brood 	 5864.257555073447 1.071777069987713 
eggs 	 5864.257555073447 1.071777069987713 
hatch 	 2592.48665906235 1.3956443395054057 
spring 	 3147.120607278461 1.071777069987713 
weeks 	 2671.3229478123944 1.071777069987713 
fly 	 3710.977469283952 1.071777069987713 
mothers 	 3826.4048442272074 1.071777069987713 
stay 	 2978.707355490335 1.071777069987713 
bonded 	 5864.257555073447 1.071777069987713 
begins 	 3147.120607278461 1.071777069987713 
contrast 	 2498.950094678003 1.071777069987713 
baby 	 4108.333275229953 1.071777069987713 
hours 	 2564.3076416867025 1.071777069987713 
squeezed 	 4505.689081175954 1.071777069987713 
sexing 	 5864.257555073447 1.071777069987713 
toes 	 5864.257555073447 1.071777069987713 
vaccinated 	 5864.257555073447 1.071777069987713 
april 	 2050.2736629250326 1.071777069987713 
farmed 	 2932.1287775367236 1.3956443395054057 
look 	 1569.8714530930426 1.071777069987713 
forward 	 2880.625566104492 1.071777069987713 
nutrient 	 4505.689081175954 1.071777069987713 
feed 	 791.453121799848 1.704721824826105 
additives 	 2592.48665906235 1.3956443395054057 
help 	 1686.8312755729576 1.071777069987713 
fast 	 3277.981372050493 1.071777069987713 
fats 	 5184.9733181247 1.071777069987713 
oils 	 2393.8087560893496 1.3956443395054057 
slaughterhouse 	 4787.617512178699 1.071777069987713 
leftovers 	 5864.257555073447 1.071777069987713 
product 	 2531.084121044534 1.071777069987713 
waste 	 1395.73661173144 1.3956443395054057 
fda 	 4287.0084008880285 1.071777069987713 
traced 	 4505.689081175954 1.071777069987713 
pcb 	 5864.257555073447 1.071777069987713 
residues 	 1172.8515110146893 1.704721824826105 
found 	 917.8005840918008 1.3956443395054057 
contained 	 1675.3035923805703 1.3956443395054057 
chemical 	 3087.7084778983544 1.071777069987713 
plants 	 3429.049038281207 1.071777069987713 
scum 	 5864.257555073447 1.071777069987713 
pond 	 4787.617512178699 1.071777069987713 
hormones 	 1728.3244393749003 1.5519677558658413 
antibiotics 	 2592.48665906235 1.3956443395054057 
months 	 1066.8641575492666 1.3956443395054057 
reached 	 2634.3374263892038 1.071777069987713 
size 	 2709.7592467026097 1.071777069987713 
grabbed 	 5864.257555073447 1.071777069987713 
carried 	 3031.6932323352053 1.071777069987713 
jammed 	 5184.9733181247 1.071777069987713 
crates 	 5864.257555073447 1.071777069987713 
transported 	 4787.617512178699 1.071777069987713 
houses 	 3710.977469283952 1.071777069987713 
easily 	 2978.707355490335 1.071777069987713 
frightened 	 5184.9733181247 1.071777069987713 
suffer 	 3826.4048442272074 1.071777069987713 
injuries 	 3607.724163939282 1.071777069987713 
die 	 3031.6932323352053 1.071777069987713 
poor 	 2201.341329155746 1.071777069987713 
handling 	 3277.981372050493 1.071777069987713 
extreme 	 3147.120607278461 1.071777069987713 
weather 	 2880.625566104492 1.071777069987713 
conditions 	 1851.7998840957878 1.071777069987713 
transport 	 3210.368357993281 1.071777069987713 
house 	 1758.3959078875496 1.071777069987713 
top 	 457.6993339844501 1.3956443395054057 
suffering 	 2791.47322346288 1.071777069987713 
painfully 	 5864.257555073447 1.071777069987713 
diseased 	 5864.257555073447 1.071777069987713 
hung 	 4505.689081175954 1.071777069987713 
stunned 	 2592.48665906235 1.3956443395054057 
electrically 	 5864.257555073447 1.071777069987713 
charged 	 2835.0359507822973 1.071777069987713 
water 	 1136.9835709331965 1.3956443395054057 
bath 	 5184.9733181247 1.071777069987713 
stun 	 5864.257555073447 1.071777069987713 
shocks 	 4787.617512178699 1.071777069987713 
occur 	 2835.0359507822973 1.071777069987713 
body 	 2091.112905397589 1.071777069987713 
wings 	 5184.9733181247 1.071777069987713 
touch 	 3350.6071847611406 1.071777069987713 
heads 	 3514.3201877310435 1.071777069987713 
hand 	 2380.0164548138214 1.071777069987713 
held 	 1851.7998840957878 1.071777069987713 
stunners 	 5864.257555073447 1.071777069987713 
effective 	 2050.2736629250326 1.071777069987713 
inducing 	 5184.9733181247 1.071777069987713 
cardiac 	 4787.617512178699 1.071777069987713 
arrest 	 2928.4399269905352 1.071777069987713 
throats 	 5864.257555073447 1.071777069987713 
cut 	 3277.981372050493 1.071777069987713 
placed 	 2709.7592467026097 1.071777069987713 
scalding 	 5864.257555073447 1.071777069987713 
tank 	 4505.689081175954 1.071777069987713 
loosens 	 5864.257555073447 1.071777069987713 
feathers 	 5864.257555073447 1.071777069987713 
plucking 	 5864.257555073447 1.071777069987713 
independent 	 1851.7998840957878 1.071777069987713 
study 	 1188.9866230970952 1.071777069987713 
revealed 	 3350.6071847611406 1.071777069987713 
poultry 	 1595.8725040595664 1.5519677558658413 
regain 	 4505.689081175954 1.071777069987713 
consciousness 	 1543.8542389491772 1.3956443395054057 
knifed 	 5864.257555073447 1.071777069987713 
scalded 	 5864.257555073447 1.071777069987713 
probably 	 2978.707355490335 1.071777069987713 
lower 	 2201.341329155746 1.071777069987713 
voltage 	 5864.257555073447 1.071777069987713 
shorter 	 4108.333275229953 1.071777069987713 
stunning 	 4787.617512178699 1.071777069987713 
regulations 	 2531.084121044534 1.071777069987713 
canada 	 854.7692138955674 1.5519677558658413 
produced 	 1299.3485675508734 1.3956443395054057 
slaughtered 	 1954.7525183578157 1.5519677558658413 
manner 	 2408.4242409496087 1.071777069987713 
consumption 	 3277.981372050493 1.071777069987713 
department 	 942.5117023689779 1.3956443395054057 
agriculture 	 1029.2361592994516 1.5519677558658413 
estimates 	 4108.333275229953 1.071777069987713 
country 	 1594.6829049176467 1.071777069987713 
killed 	 2835.0359507822973 1.071777069987713 
sake 	 5184.9733181247 1.071777069987713 
daychristmas 	 5864.257555073447 1.071777069987713 
hard 	 2671.3229478123944 1.071777069987713 
imagine 	 4505.689081175954 1.071777069987713 
kinds 	 3957.2656089992397 1.071777069987713 
sustained 	 4787.617512178699 1.071777069987713 
healthier 	 5864.257555073447 1.071777069987713 
alternative 	 2178.2814416937554 1.071777069987713 
exactly 	 3210.368357993281 1.071777069987713 
intense 	 3514.3201877310435 1.071777069987713 
terms 	 1758.3959078875496 1.071777069987713 
quality 	 2133.728315098533 1.071777069987713 
roasted 	 5184.9733181247 1.071777069987713 
contains 	 2835.0359507822973 1.071777069987713 
cholesterol 	 4505.689081175954 1.071777069987713 
fat 	 1071.7521002220071 1.6440406591094154 
cuts 	 3429.049038281207 1.071777069987713 
beef 	 5864.257555073447 1.071777069987713 
dogs 	 4787.617512178699 1.071777069987713 
labeled 	 4505.689081175954 1.071777069987713 
nutritional 	 4108.333275229953 1.071777069987713 
content 	 2030.4750097538636 1.071777069987713 
nutritionally 	 5864.257555073447 1.071777069987713 
calories 	 2393.8087560893496 1.3956443395054057 
government 	 1156.316931234855 1.071777069987713 
guidelines 	 2749.76480133246 1.071777069987713 
advise 	 4108.333275229953 1.071777069987713 
excellent 	 3350.6071847611406 1.071777069987713 
environment 	 1788.5521333809681 1.071777069987713 
salmonella 	 5864.257555073447 1.071777069987713 
campylobacter 	 5864.257555073447 1.071777069987713 
harmful 	 4108.333275229953 1.071777069987713 
bacteria 	 4108.333275229953 1.071777069987713 
passed 	 2634.3374263892038 1.071777069987713 
humans 	 3607.724163939282 1.071777069987713 
chemicals 	 1027.0833188074882 1.6440406591094154 
drugs 	 771.9271194745886 1.6440406591094154 
pose 	 3826.4048442272074 1.071777069987713 
risk 	 2325.5580006821065 1.071777069987713 
ethical 	 930.4910744876266 1.5519677558658413 
treatment 	 535.7760805522788 1.5519677558658413 
animals 	 450.96552049241023 1.8046348138291195 
fewer 	 3826.4048442272074 1.071777069987713 
percent 	 2709.7592467026097 1.071777069987713 
tested 	 1675.3035923805703 1.3956443395054057 
sulpha 	 5864.257555073447 1.071777069987713 
drug 	 1282.1538208433512 1.3956443395054057 
medicated 	 5184.9733181247 1.071777069987713 
feeds 	 5864.257555073447 1.071777069987713 
usda 	 4787.617512178699 1.071777069987713 
experimental 	 3429.049038281207 1.071777069987713 
detecting 	 5864.257555073447 1.071777069987713 
illegal 	 2671.3229478123944 1.071777069987713 
called 	 1714.8331805681325 1.071777069987713 
dibutyltin 	 5864.257555073447 1.071777069987713 
dilauratea 	 5864.257555073447 1.071777069987713 
potentially 	 3826.4048442272074 1.071777069987713 
carcinogenic 	 4787.617512178699 1.071777069987713 
compound 	 4787.617512178699 1.071777069987713 
blackhead 	 5864.257555073447 1.071777069987713 
common 	 1758.3959078875496 1.071777069987713 
dimetridazole 	 5864.257555073447 1.071777069987713 
ipronidazole 	 5864.257555073447 1.071777069987713 
treat 	 3710.977469283952 1.071777069987713 
cancer 	 3210.368357993281 1.071777069987713 
mutations 	 5864.257555073447 1.071777069987713 
mason 	 1369.444425076651 1.5519677558658413 
peter 	 1015.2375048769318 1.3956443395054057 
singer 	 2143.5042004440143 1.3956443395054057 
authors 	 3147.120607278461 1.071777069987713 
factories 	 2054.1666376149765 1.3956443395054057 
injections 	 2932.1287775367236 1.3956443395054057 
containing 	 3350.6071847611406 1.071777069987713 
flavourings 	 5864.257555073447 1.071777069987713 
phosphates 	 5864.257555073447 1.071777069987713 
improve 	 2498.950094678003 1.071777069987713 
taste 	 4287.0084008880285 1.071777069987713 
texture 	 4787.617512178699 1.071777069987713 
unfortunately 	 3514.3201877310435 1.071777069987713 
realize 	 3957.2656089992397 1.071777069987713 
produce 	 2880.625566104492 1.071777069987713 
rights 	 451.4572113535096 1.3956443395054057 
claimed 	 2978.707355490335 1.071777069987713 
stores 	 3826.4048442272074 1.071777069987713 
poison 	 4787.617512178699 1.071777069987713 
irresponsible 	 5864.257555073447 1.071777069987713 
effort 	 2564.3076416867025 1.071777069987713 
thanksgiving 	 5184.9733181247 1.071777069987713 
receive 	 2224.9569297032253 1.071777069987713 
lot 	 3277.981372050493 1.071777069987713 
media 	 848.6236189050265 1.071777069987713 
coverage 	 2352.4089953864586 1.071777069987713 
rightly 	 5864.257555073447 1.071777069987713 
provoked 	 4505.689081175954 1.071777069987713 
public 	 1057.0882722037857 1.071777069987713 
concern 	 2201.341329155746 1.071777069987713 
received 	 1973.3714797923674 1.071777069987713 
numerous 	 2437.6801448362958 1.071777069987713 
lost 	 2564.3076416867025 1.071777069987713 
little 	 2273.967141866393 1.071777069987713 
reported 	 2011.0684350036072 1.071777069987713 
affect 	 2201.341329155746 1.071777069987713 
human 	 1510.4593237129366 1.071777069987713 
health 	 1569.8714530930426 1.071777069987713 
kind 	 2498.950094678003 1.071777069987713 
urban 	 1248.917957787359 1.071777069987713 
terrorism 	 3429.049038281207 1.071777069987713 
condoned 	 5864.257555073447 1.071777069987713 
irony 	 3957.2656089992397 1.071777069987713 
knowing 	 3277.981372050493 1.071777069987713 
detachment 	 5184.9733181247 1.071777069987713 
