term 	 tf-idf weight 	 BM25 ranking 
cyberkid'sclub 	 7198.67534566669 0.9693997006973298 
mack 	 7198.67534566669 0.9693997006973298 
rt66 	 7198.67534566669 0.9693997006973298 
kidsclub 	 7198.67534566669 0.9693997006973298 
meet 	 2492.5116701366305 0.9693997006973298 
mail 	 2122.6075763398335 0.9693997006973298 
read 	 3279.1852104268473 0.9693997006973298 
shop 	 3790.319692767062 0.9693997006973298 
play 	 748.0941873056286 1.5800495139394797 
cyberkids 	 3599.337672833345 1.3058527627246372 
mtlake 	 7198.67534566669 0.9693997006973298 
magazine 	 3721.558120917604 0.9693997006973298 
fiction 	 2214.332739397427 1.3058527627246372 
edible 	 6364.819287453076 0.9693997006973298 
starchytuber 	 7198.67534566669 0.9693997006973298 
head 	 1336.975803243667 1.3058527627246372 
animation 	 3182.409643726538 1.3058527627246372 
winnie 	 6364.819287453076 0.9693997006973298 
acsu 	 6364.819287453076 0.9693997006973298 
buffalo 	 5530.963229239462 0.9693997006973298 
potatoe 	 3182.409643726538 1.3058527627246372 
short 	 2377.8535238320273 0.9693997006973298 
potato 	 6364.819287453076 0.9693997006973298 
fellowbug's 	 7198.67534566669 0.9693997006973298 
labor 	 2592.8197456903085 0.9693997006973298 
atory 	 6364.819287453076 0.9693997006973298 
skulls 	 3599.337672833345 1.3058527627246372 
fate 	 4209.332645971726 0.9693997006973298 
dtd 	 7198.67534566669 0.9693997006973298 
question 	 589.0443154280764 1.5800495139394797 
click 	 1480.1063457657335 0.9693997006973298 
skull 	 6364.819287453076 0.9693997006973298 
answer 	 930.389530229401 1.5800495139394797 
remember 	 4555.414179131219 0.9693997006973298 
magic 	 2214.332739397427 1.3058527627246372 
ball 	 1260.797176046335 1.5800495139394797 
froggy 	 3599.337672833345 1.3058527627246372 
yale 	 2521.59435209267 1.3058527627246372 
hyplans 	 7198.67534566669 0.9693997006973298 
loosemore 	 7198.67534566669 0.9693997006973298 
sandra 	 5877.044762398954 0.9693997006973298 
frogs 	 7198.67534566669 0.9693997006973298 
global 	 2887.7020627039897 0.9693997006973298 
tell 	 1828.257626864731 1.3058527627246372 
manymedia 	 7198.67534566669 0.9693997006973298 
adults 	 3790.319692767062 0.9693997006973298 
world 	 444.6043219519016 1.4766931776531942 
consists 	 4113.041268640462 0.9693997006973298 
art 	 453.8943127237969 1.4766931776531942 
ftp 	 3480.1512742766363 0.9693997006973298 
servers 	 5262.521537008468 0.9693997006973298 
helping 	 3594.809420581239 0.9693997006973298 
learn 	 1639.5926052134237 1.3058527627246372 
gov 	 2791.4106853727253 0.9693997006973298 
pubs 	 5043.18870418534 0.9693997006973298 
parents 	 696.0302548553273 1.6493124713399696 
index 	 174.37893851258025 1.4766931776531942 
experiments 	 4697.1071710258475 0.9693997006973298 
hotlist 	 7198.67534566669 0.9693997006973298 
sln 	 7198.67534566669 0.9693997006973298 
tfi 	 7198.67534566669 0.9693997006973298 
hotlists 	 7198.67534566669 0.9693997006973298 
categorized 	 5877.044762398954 0.9693997006973298 
created 	 1116.8663402287225 1.3058527627246372 
language 	 2592.8197456903085 0.9693997006973298 
arts 	 3656.515253729462 0.9693997006973298 
school 	 2233.732680457445 0.9693997006973298 
newspapers 	 3656.515253729462 0.9693997006973298 
searchable 	 6364.819287453076 0.9693997006973298 
gs213 	 7198.67534566669 0.9693997006973298 
cmu 	 5530.963229239462 0.9693997006973298 
prog 	 6364.819287453076 0.9693997006973298 
dist 	 6364.819287453076 0.9693997006973298 
enables 	 4314.0073324902505 0.9693997006973298 
distance 	 4314.0073324902505 0.9693997006973298 
hull's 	 7198.67534566669 0.9693997006973298 
hipark 	 7198.67534566669 0.9693997006973298 
austin 	 4697.1071710258475 0.9693997006973298 
isd 	 7198.67534566669 0.9693997006973298 
tenet 	 7198.67534566669 0.9693997006973298 
teachers 	 1240.5193736392014 1.4766931776531942 
grade 	 3863.2511128122333 0.9693997006973298 
hull 	 4857.745436353149 0.9693997006973298 
main 	 1079.26034550445 1.3058527627246372 
dinosaurs 	 7198.67534566669 0.9693997006973298 
named 	 3656.515253729462 0.9693997006973298 
kindergarten 	 5043.18870418534 0.9693997006973298 
class 	 2445.329152213233 0.9693997006973298 
texas 	 4113.041268640462 0.9693997006973298 
drew 	 4555.414179131219 0.9693997006973298 
create 	 1283.473890404745 1.3058527627246372 
picture 	 3594.809420581239 0.9693997006973298 
described 	 2956.463634553448 0.9693997006973298 
creations 	 2938.522381199477 1.3058527627246372 
poems 	 2277.7070895656093 1.3058527627246372 
laid 	 4857.745436353149 0.9693997006973298 
