term 	 tf-idf weight 	 BM25 ranking 
individuals 	 4359.099290847135 0.7416279396105556 
achieve 	 5023.949665345376 0.7416279396105556 
potential 	 3940.0524440887 0.7416279396105556 
chang 	 4199.518433522967 1.082025651833564 
chief 	 4180.365678560392 0.7416279396105556 
instructor 	 735.622707130768 1.7522379327157485 
black 	 2218.795283298987 0.7416279396105556 
belt 	 8399.036867045934 0.7416279396105556 
academy 	 3748.3149494470604 1.082025651833564 
martial 	 5079.157536122156 1.082025651833564 
howard 	 2423.4954901446217 1.2774736602636105 
yen 	 10158.315072244312 0.7416279396105556 
king 	 5023.949665345376 0.7416279396105556 
kahala 	 5744.578829459703 1.082025651833564 
mall 	 11489.157658919406 0.7416279396105556 
co's 	 10158.315072244312 0.7416279396105556 
degrees 	 2693.647152325675 1.082025651833564 
food 	 1379.388725886781 1.2774736602636105 
technology 	 719.2559679413296 1.4932571907232772 
agricultural 	 5643.674578490433 0.7416279396105556 
economics 	 809.8799420109414 1.2774736602636105 
truly 	 6718.136891326446 0.7416279396105556 
qualify 	 6718.136891326446 0.7416279396105556 
methods 	 1599.7902404648448 1.082025651833564 
chinese 	 5737.351693695743 0.7416279396105556 
cuisine 	 3386.105024081437 1.2774736602636105 
christopher 	 6718.136891326446 0.7416279396105556 
coats 	 11489.157658919406 0.7416279396105556 
mus 	 851.1845955389869 1.2774736602636105 
recognized 	 2096.567090934387 1.2774736602636105 
performer 	 2682.9931593338465 1.2774736602636105 
teacher 	 560.5261192926387 1.732724145608957 
guitar 	 10158.315072244312 0.7416279396105556 
wendy 	 11489.157658919406 0.7416279396105556 
cook 	 6718.136891326446 0.7416279396105556 
tour 	 1605.5418965145273 1.404304537426343 
coordinator 	 3876.505086366602 1.082025651833564 
tauck 	 11489.157658919406 0.7416279396105556 
tours 	 8399.036867045934 0.7416279396105556 
decade 	 5161.150876191094 0.7416279396105556 
sales 	 1744.5374353060536 1.2774736602636105 
marketing 	 2252.4961161223723 1.082025651833564 
wholesale 	 8399.036867045934 0.7416279396105556 
operation 	 4556.195266642495 0.7416279396105556 
focusing 	 3902.7697192430655 0.7416279396105556 
agencies 	 4267.653436787766 0.7416279396105556 
coordinated 	 8399.036867045934 0.7416279396105556 
special 	 3174.14964556965 0.7416279396105556 
events 	 3534.3389842476627 0.7416279396105556 
jacques 	 3876.505086366602 1.082025651833564 
cousteau 	 11489.157658919406 0.7416279396105556 
deese 	 11489.157658919406 0.7416279396105556 
dbedt 	 11489.157658919406 0.7416279396105556 
ocean 	 6165.787312219026 0.7416279396105556 
resources 	 3596.279839706648 0.7416279396105556 
leader 	 1422.5511455959218 1.2774736602636105 
state's 	 7270.486470433864 0.7416279396105556 
seafood 	 5079.157536122156 1.082025651833564 
campaign 	 4267.653436787766 0.7416279396105556 
catalyst 	 8827.472485569217 0.7416279396105556 
putting 	 3876.505086366602 1.082025651833564 
map 	 5091.324999383014 0.7416279396105556 
george 	 1744.5374353060536 1.2774736602636105 
mavrothalassitis 	 11489.157658919406 0.7416279396105556 
created 	 3565.0596396328297 0.7416279396105556 
vertical 	 7496.629898894121 0.7416279396105556 
fish 	 4199.518433522967 1.082025651833564 
tasting 	 9379.822064676635 0.7416279396105556 
ajith 	 11489.157658919406 0.7416279396105556 
asouka 	 11489.157658919406 0.7416279396105556 
desilva 	 11489.157658919406 0.7416279396105556 
paradise 	 9379.822064676635 0.7416279396105556 
aromatics 	 11489.157658919406 0.7416279396105556 
development 	 446.8434105915469 1.4932571907232772 
quality 	 4180.365678560392 0.7416279396105556 
therapeutic 	 7270.486470433864 0.7416279396105556 
health 	 384.45831504319415 1.6500339755009092 
products 	 4312.831991815339 0.7416279396105556 
certified 	 1341.4965796669233 1.5590955628438057 
aromatherapist 	 11489.157658919406 0.7416279396105556 
aromatherapy 	 11489.157658919406 0.7416279396105556 
marty 	 11489.157658919406 0.7416279396105556 
drew 	 7270.486470433864 0.7416279396105556 
sous 	 11489.157658919406 0.7416279396105556 
bryan 	 4199.518433522967 1.082025651833564 
ashlock 	 11489.157658919406 0.7416279396105556 
sheraton 	 10158.315072244312 0.7416279396105556 
moana 	 11489.157658919406 0.7416279396105556 
surfrider 	 11489.157658919406 0.7416279396105556 
hotel 	 3876.505086366602 1.082025651833564 
preparation 	 6885.198735146534 0.7416279396105556 
paula 	 5744.578829459703 1.082025651833564 
durbin 	 11489.157658919406 0.7416279396105556 
spanish 	 1795.7647682171169 1.2774736602636105 
dance 	 1094.075815432209 1.5590955628438057 
academia 	 8827.472485569217 0.7416279396105556 
pericet 	 11489.157658919406 0.7416279396105556 
madrid 	 9379.822064676635 0.7416279396105556 
buenos 	 11489.157658919406 0.7416279396105556 
aires 	 11489.157658919406 0.7416279396105556 
appears 	 6422.167586058109 0.7416279396105556 
locally 	 7753.010172733204 0.7416279396105556 
performance 	 4312.831991815339 0.7416279396105556 
lectures 	 10158.315072244312 0.7416279396105556 
robert 	 1365.6247545453643 1.2774736602636105 
dvorak 	 11489.157658919406 0.7416279396105556 
faculty 	 3211.0837930290545 1.082025651833564 
oregon 	 8827.472485569217 0.7416279396105556 
berkeley 	 8048.97947800154 0.7416279396105556 
licensed 	 2799.6789556819776 1.2774736602636105 
architect 	 10158.315072244312 0.7416279396105556 
drawing 	 7270.486470433864 0.7416279396105556 
watercolor 	 5744.578829459703 1.082025651833564 
loren 	 5744.578829459703 1.082025651833564 
ekroth 	 5744.578829459703 1.082025651833564 
speaker 	 746.4596545918273 1.6827509567540908 
seminar 	 8827.472485569217 0.7416279396105556 
kama'aina 	 11489.157658919406 0.7416279396105556 
fundraisers 	 10158.315072244312 0.7416279396105556 
associates 	 9379.822064676635 0.7416279396105556 
successful 	 5233.612305918161 0.7416279396105556 
person 	 3693.1070786702808 0.7416279396105556 
businesses 	 1851.4520494904798 1.2774736602636105 
rod 	 5079.157536122156 1.082025651833564 
fukino 	 11489.157658919406 0.7416279396105556 
principal 	 6289.701272803162 0.7416279396105556 
dancer 	 5744.578829459703 1.082025651833564 
ballet 	 5744.578829459703 1.082025651833564 
choreographer 	 5744.578829459703 1.082025651833564 
pianist 	 5079.157536122156 1.082025651833564 
composer 	 2584.3367242444015 1.2774736602636105 
james 	 4834.94472554393 0.7416279396105556 
gillespie 	 10158.315072244312 0.7416279396105556 
rise 	 2203.254553510324 1.082025651833564 
graduate 	 1211.7477450723109 1.5590955628438057 
david 	 1611.6482418479768 1.2774736602636105 
gochros 	 11489.157658919406 0.7416279396105556 
manager 	 1167.166963783968 1.4932571907232772 
remy 	 11489.157658919406 0.7416279396105556 
amerique 	 11489.157658919406 0.7416279396105556 
owners 	 5939.643883758769 0.7416279396105556 
importers 	 9379.822064676635 0.7416279396105556 
cognac 	 11489.157658919406 0.7416279396105556 
fine 	 5835.8348189198405 0.7416279396105556 
wine 	 10158.315072244312 0.7416279396105556 
spirits 	 8399.036867045934 0.7416279396105556 
