term 	 tf-idf weight 	 BM25 ranking 
providing 	 6860.205896139856 0.5057754414684522 
necessities 	 14623.948045070081 0.5057754414684522 
food 	 2401.716932624744 1.0076710528135855 
clothing 	 3076.6892551145456 1.1503634177109439 
shelter 	 4219.659074767432 1.0076710528135855 
responsibility 	 1512.3305857690407 1.1503634177109439 
earnings 	 13052.725912501586 0.5057754414684522 
sue 	 6329.488612151148 0.8073755263114146 
sued 	 6526.362956250793 0.8073755263114146 
including 	 172.65430982868452 1.7038913414548575 
agent 	 9112.482259731463 0.5057754414684522 
transfer 	 8524.479761743432 0.5057754414684522 
responsible 	 928.8258749467122 1.4606104314743455 
debts 	 2002.0638686725556 1.4064239729092278 
damages 	 4219.659074767432 1.0076710528135855 
home 	 165.88783685492334 1.5057313070307274 
dies 	 14014.447080707889 0.5057754414684522 
surviving 	 11429.67328434336 0.5057754414684522 
typically 	 5266.433388578674 0.8073755263114146 
receive 	 3794.9137836723885 0.8073755263114146 
percentage 	 3650.429054684196 1.0076710528135855 
spouse's 	 5443.879368439929 1.0076710528135855 
difficult 	 8315.474208354834 0.5057754414684522 
impossible 	 11181.930333433469 0.5057754414684522 
disinherit 	 17687.10796172538 0.5057754414684522 
partner 	 9826.460477027875 0.5057754414684522 
judgment 	 1167.8705900589907 1.604886980827877 
issued 	 2345.016257871024 1.1503634177109439 
decides 	 5848.628028047997 0.8073755263114146 
issues 	 580.3516659171679 1.4606104314743455 
payment 	 5475.643582026294 0.8073755263114146 
marital 	 667.3546228908519 1.7533368875256121 
grant 	 3809.8910947811196 1.0076710528135855 
resident 	 14014.447080707889 0.5057754414684522 
action 	 1682.9032798331336 1.1503634177109439 
filed 	 2633.216694289337 1.1503634177109439 
maintain 	 8418.34386327779 0.5057754414684522 
residency 	 15369.916937113483 0.5057754414684522 
minimum 	 8864.73930882157 0.5057754414684522 
prior 	 1960.9621135929924 1.1503634177109439 
entry 	 5714.83664217168 0.8073755263114146 
granted 	 1758.1081457797404 1.4064239729092278 
fault 	 1751.805885088486 1.4606104314743455 
judge 	 911.2482259731464 1.5438860336274551 
lived 	 5367.767443944845 0.8073755263114146 
separately 	 4874.649348356693 1.0076710528135855 
continuous 	 13052.725912501586 0.5057754414684522 
period 	 3215.1190010402993 0.8073755263114146 
irretrievable 	 20004.29898633728 0.5057754414684522 
breakdown 	 11697.256056095994 0.5057754414684522 
due 	 803.7797502600748 1.4606104314743455 
irreconcilable 	 17687.10796172538 0.5057754414684522 
differences 	 6669.125318672908 0.5057754414684522 
attempts 	 2331.3145765844843 1.0076710528135855 
reconcile 	 14623.948045070081 0.5057754414684522 
failed 	 8747.429026692496 0.5057754414684522 
future 	 1014.9536291350008 1.2571778466026422 
months 	 7278.626283035099 0.5057754414684522 
waive 	 15369.916937113483 0.5057754414684522 
requirement 	 8986.316343284805 0.5057754414684522 
signing 	 11429.67328434336 0.5057754414684522 
stipulation 	 20004.29898633728 0.5057754414684522 
means 	 1499.5707959357342 1.1503634177109439 
based 	 1028.2617443671752 1.1503634177109439 
misconduct 	 7684.9584685567415 0.8073755263114146 
considered 	 2308.8020263969947 1.0076710528135855 
dividing 	 17687.10796172538 0.5057754414684522 
awarding 	 4671.482360235963 1.0076710528135855 
wrongful 	 14623.948045070081 0.5057754414684522 
behavior 	 1819.6565707587747 1.1503634177109439 
determining 	 4761.170911243065 0.8073755263114146 
relevant 	 3223.648021586809 1.0076710528135855 
child's 	 860.1484871871897 1.6296522430569091 
children's 	 2683.8837219724223 1.1503634177109439 
adultery 	 16331.638105319787 0.5057754414684522 
sexual 	 1027.066344866987 1.5057313070307274 
intercourse 	 16331.638105319787 0.5057754414684522 
opposite 	 15369.916937113483 0.5057754414684522 
sex 	 4835.472032380214 0.8073755263114146 
attempted 	 12306.757020458183 0.5057754414684522 
murder 	 9670.944064760428 0.5057754414684522 
conviction 	 12658.977224302296 0.5057754414684522 
felony 	 14623.948045070081 0.5057754414684522 
bigamy 	 20004.29898633728 0.5057754414684522 
desertion 	 10002.14949316864 0.8073755263114146 
willfully 	 15369.916937113483 0.5057754414684522 
left 	 7278.626283035099 0.5057754414684522 
