term 	 tf-idf weight 	 BM25 ranking 
 srl 	 943.1287850747597 1.6228205642284441 
blue 	 261.96588462534385 1.856193198682461 
october 	 188.94751818136635 1.856193198682461 
endeavour's 	 1573.7752418207313 1.6228205642284441 
mission 	 172.0441096335721 1.890170622579656 
crowley 	 1573.7752418207313 1.6228205642284441 
lake 	 749.1402630313647 1.6228205642284441 
appears 	 879.7031641319181 1.6228205642284441 
dark 	 471.56439253737983 1.791775811644768 
center 	 408.47042372493956 1.6228205642284441 
south 	 467.941082920907 1.6228205642284441 
valley 	 879.7031641319181 1.6228205642284441 
ski 	 695.7387666667328 1.791775811644768 
visible 	 920.2447929264871 1.6228205642284441 
top 	 245.6631119141028 1.6228205642284441 
scene 	 760.8310765874941 1.6228205642284441 
correspond 	 1284.8402099010182 1.6228205642284441 
forests 	 1062.0008726191838 1.6228205642284441 
bare 	 1150.4930708505628 1.6228205642284441 
surfaces 	 1284.8402099010182 1.6228205642284441 
short 	 519.8466141045911 1.6228205642284441 
vegetation 	 1062.0008726191838 1.6228205642284441 
mainly 	 899.1935608083469 1.6228205642284441 
brush 	 1391.4775333334655 1.6228205642284441 
tone 	 968.1953623632971 1.6228205642284441 
elevations 	 642.4201049505091 1.791775811644768 
purple 	 1391.4775333334655 1.6228205642284441 
september 	 312.05191539765 1.791775811644768 
reflect 	 844.5844078716686 1.6228205642284441 
missions 	 460.12239646324355 1.791775811644768 
occurred 	 688.1764385342884 1.6228205642284441 
immediately 	 716.8958523210814 1.6228205642284441 
following 	 193.70959580339976 1.791775811644768 
moderate 	 1026.8821163589344 1.6228205642284441 
storm 	 604.5899124230999 1.791775811644768 
evolved 	 995.9051779813054 1.6228205642284441 
dry 	 1026.8821163589344 1.6228205642284441 
fine 	 799.3877902999573 1.6228205642284441 
grained 	 786.8876209103656 1.791775811644768 
snowpack 	 695.7387666667328 1.791775811644768 
distinct 	 899.1935608083469 1.6228205642284441 
layers 	 1573.7752418207313 1.6228205642284441 
wet 	 1150.4930708505628 1.6228205642284441 
coarse 	 1573.7752418207313 1.6228205642284441 
pack 	 1209.1798248461998 1.6228205642284441 
multiple 	 785.8976538760314 1.6228205642284441 
ice 	 879.7031641319181 1.6228205642284441 
inclusions 	 1573.7752418207313 1.6228205642284441 
melted 	 1391.4775333334655 1.6228205642284441 
glaciers 	 642.4201049505091 1.791775811644768 
permanent 	 688.1764385342884 1.6228205642284441 
snowfields 	 1573.7752418207313 1.6228205642284441 
silver 	 995.9051779813054 1.6228205642284441 
divide 	 968.1953623632971 1.6228205642284441 
near 	 638.7187016490153 1.6228205642284441 
headwaters 	 1573.7752418207313 1.6228205642284441 
rock 	 920.2447929264871 1.6228205642284441 
creek 	 1062.0008726191838 1.6228205642284441 
discontinuous 	 1391.4775333334655 1.6228205642284441 
patches 	 1284.8402099010182 1.6228205642284441 
season 	 920.2447929264871 1.6228205642284441 
investigations 	 799.3877902999573 1.6228205642284441 
hydrology 	 1209.1798248461998 1.6228205642284441 
land 	 597.1057882774982 1.6228205642284441 
surface 	 844.5844078716686 1.6228205642284441 
climatology 	 1150.4930708505628 1.6228205642284441 
alpine 	 1391.4775333334655 1.6228205642284441 
critical 	 515.1077471573868 1.6228205642284441 
radiation 	 1026.8821163589344 1.6228205642284441 
water 	 610.258528888634 1.6228205642284441 
balances 	 1150.4930708505628 1.6228205642284441 
sir 	 368.9735422196107 1.791775811644768 
sar 	 215.38950973271244 1.890170622579656 
powerful 	 785.8976538760314 1.6228205642284441 
tool 	 706.9701460615925 1.6228205642284441 
sensitive 	 813.6074694940398 1.6228205642284441 
conditions 	 248.48131097815929 1.791775811644768 
influenced 	 749.1402630313647 1.6228205642284441 
weather 	 773.0658406994708 1.6228205642284441 
remote 	 861.5580389308498 1.6228205642284441 
sensing 	 1062.0008726191838 1.6228205642284441 
instruments 	 879.7031641319181 1.6228205642284441 
landsat 	 1573.7752418207313 1.6228205642284441 
parallel 	 513.4410581794672 1.791775811644768 
operational 	 861.5580389308498 1.6228205642284441 
processing 	 249.7134210104549 1.856193198682461 
experimental 	 460.12239646324355 1.791775811644768 
effort 	 344.0882192671442 1.791775811644768 
conducted 	 727.2108998803943 1.6228205642284441 
test 	 638.7187016490153 1.6228205642284441 
jet 	 773.0658406994708 1.6228205642284441 
propulsion 	 943.1287850747597 1.6228205642284441 
laboratory's 	 1573.7752418207313 1.6228205642284441 
massively 	 1573.7752418207313 1.6228205642284441 
supercomputing 	 1573.7752418207313 1.6228205642284441 
facility 	 737.9470844392214 1.6228205642284441 
cray 	 1573.7752418207313 1.6228205642284441 
research 	 301.83310029249236 1.6228205642284441 
t3d 	 1573.7752418207313 1.6228205642284441 
experiments 	 1026.8821163589344 1.6228205642284441 
assess 	 920.2447929264871 1.6228205642284441 
abilities 	 920.2447929264871 1.6228205642284441 
supercomputers 	 1573.7752418207313 1.6228205642284441 
produce 	 773.0658406994708 1.6228205642284441 
throughput 	 1573.7752418207313 1.6228205642284441 
preparation 	 943.1287850747597 1.6228205642284441 
upcoming 	 1062.0008726191838 1.6228205642284441 
intensive 	 995.9051779813054 1.6228205642284441 
images 	 501.38289407352687 1.6228205642284441 
released 	 749.1402630313647 1.6228205642284441 
produced 	 697.4054556446524 1.6228205642284441 
gif 	 45.44398189297797 1.791775811644768 
icons 	 799.3877902999573 1.6228205642284441 
yellow 	 760.8310765874941 1.6228205642284441 
index 	 114.36823149328828 1.6228205642284441 
html 	 103.34566594637576 1.6228205642284441 
home 	 117.45632959485597 1.6228205642284441 
page 	 129.10008222216683 1.6228205642284441 
updated 	 281.74700687214937 1.6228205642284441 
bruce 	 737.9470844392214 1.6228205642284441 
chapman 	 844.5844078716686 1.6228205642284441 
jpl 	 737.9470844392214 1.6228205642284441 
nasa 	 679.2603304435842 1.6228205642284441 
gov 	 610.258528888634 1.6228205642284441 
