term 	 tf-idf weight 	 BM25 ranking 
 shared 	 201.9559668352019 1.8691732664492489 
useful 	 1203.6409314022171 1.4815266752632568 
exercises 	 1732.3013538282237 1.4815266752632568 
upbeat 	 2095.152483650389 1.4815266752632568 
writing 	 844.9803168749443 1.4815266752632568 
manner 	 973.1999994041275 1.4815266752632568 
cajole 	 2369.6387671521275 1.4815266752632568 
entice 	 2369.6387671521275 1.4815266752632568 
child 	 287.40014040102693 1.791066793718129 
self 	 358.2907041367275 1.702157488310763 
creator 	 1820.666200148651 1.4815266752632568 
play 	 985.0217728114012 1.4815266752632568 
published 	 939.7152737450145 1.4815266752632568 
ago 	 1164.007881813652 1.4815266752632568 
spent 	 1225.0515510252462 1.4815266752632568 
weeks 	 1079.4325380956207 1.4815266752632568 
publishers' 	 2369.6387671521275 1.4815266752632568 
weekly 	 1297.2508875156523 1.4815266752632568 
seller 	 1934.588300839556 1.4815266752632568 
list 	 908.8425033230086 1.4815266752632568 
sold 	 1247.6862829058657 1.4815266752632568 
copies 	 1385.6157338360795 1.4815266752632568 
inspired 	 1546.1799166469125 1.4815266752632568 
hundreds 	 1164.007881813652 1.4815266752632568 
thousands 	 1247.6862829058657 1.4815266752632568 
people 	 464.01376242465005 1.4815266752632568 
pursue 	 1420.0722391239728 1.4815266752632568 
dreams 	 1660.1020173378176 1.4815266752632568 
comprehensive 	 889.5215983119136 1.4815266752632568 
week 	 459.4341776423937 1.702157488310763 
program 	 467.2464334377578 1.4815266752632568 
book 	 319.66870878759346 1.702157488310763 
reunion 	 2095.152483650389 1.4815266752632568 
discovery 	 1297.2508875156523 1.4815266752632568 
hah 	 2369.6387671521275 1.4815266752632568 
inside 	 1385.6157338360795 1.4815266752632568 
artist 	 1353.9188215973588 1.4815266752632568 
inner 	 1297.2508875156523 1.4815266752632568 
youngster 	 2369.6387671521275 1.4815266752632568 
lost 	 1036.1896184774837 1.4815266752632568 
healing 	 1353.9188215973588 1.4815266752632568 
rehabilitation 	 1225.0515510252462 1.4815266752632568 
books 	 232.28866197511965 1.8390978705635033 
distillate 	 2369.6387671521275 1.4815266752632568 
artistic 	 1546.1799166469125 1.4815266752632568 
practice 	 973.1999994041275 1.4815266752632568 
belief 	 1094.96394050432 1.4815266752632568 
experience 	 710.5354893096629 1.4815266752632568 
teacher 	 1271.693633145174 1.4815266752632568 
healthy 	 1499.5378345269846 1.4815266752632568 
practise 	 2369.6387671521275 1.4815266752632568 
dangerous 	 1225.0515510252462 1.4815266752632568 
endeavour 	 1457.8150703264853 1.4815266752632568 
requiring 	 1297.2508875156523 1.4815266752632568 
trained 	 1420.0722391239728 1.4815266752632568 
facilitators 	 2095.152483650389 1.4815266752632568 
human 	 610.3488695819622 1.4815266752632568 
birthright 	 2369.6387671521275 1.4815266752632568 
gently 	 2369.6387671521275 1.4815266752632568 
collectively 	 2095.152483650389 1.4815266752632568 
breathing 	 1820.666200148651 1.4815266752632568 
pointers 	 2369.6387671521275 1.4815266752632568 
help 	 681.6175358437665 1.4815266752632568 
gold's 	 2369.6387671521275 1.4815266752632568 
initial 	 1127.983057644184 1.4815266752632568 
chapter 	 1022.7646040139138 1.4815266752632568 
entitled 	 1271.693633145174 1.4815266752632568 
setting 	 918.8683552847874 1.4815266752632568 
brings 	 1499.5378345269846 1.4815266752632568 
date 	 985.0217728114012 1.4815266752632568 
tools 	 1247.6862829058657 1.4815266752632568 
chapters 	 1499.5378345269846 1.4815266752632568 
essays 	 1297.2508875156523 1.4815266752632568 
house 	 710.5354893096629 1.4815266752632568 
tasks 	 1457.8150703264853 1.4815266752632568 
various 	 483.81788897221594 1.4815266752632568 
kingdoms 	 1184.8193835760637 1.702157488310763 
following 	 583.3384025714548 1.4815266752632568 
describes 	 797.4031693854872 1.4815266752632568 
included 	 908.8425033230086 1.4815266752632568 
task 	 648.6254437578261 1.702157488310763 
quotes 	 1546.1799166469125 1.4815266752632568 
artists 	 676.9594107986794 1.702157488310763 
placed 	 1094.96394050432 1.4815266752632568 
margins 	 1732.3013538282237 1.4815266752632568 
kingdom 	 648.6254437578261 1.702157488310763 
story 	 908.8425033230086 1.4815266752632568 
divide 	 1457.8150703264853 1.4815266752632568 
piece 	 1353.9188215973588 1.4815266752632568 
notebook 	 1820.666200148651 1.4815266752632568 
paper 	 227.23556599967105 1.702157488310763 
horizontally 	 1499.5378345269846 1.4815266752632568 
label 	 1934.588300839556 1.4815266752632568 
top 	 184.94789414065536 1.702157488310763 
third 	 402.47312729694113 1.702157488310763 
middle 	 929.1546479004786 1.4815266752632568 
bottom 	 1353.9188215973588 1.4815266752632568 
additional 	 985.0217728114012 1.4815266752632568 
pieces 	 1546.1799166469125 1.4815266752632568 
move 	 498.60367482171785 1.702157488310763 
life 	 245.3228221601402 1.702157488310763 
increments 	 2095.152483650389 1.4815266752632568 
current 	 558.0532196647878 1.4815266752632568 
age 	 768.5904650896456 1.4815266752632568 
jotting 	 2369.6387671521275 1.4815266752632568 
notes 	 698.7137159023891 1.4815266752632568 
answer 	 1225.0515510252462 1.4815266752632568 
questions 	 639.3374175751869 1.4815266752632568 
live 	 1009.7798341760094 1.4815266752632568 
major 	 265.22998554607193 1.702157488310763 
players 	 1820.666200148651 1.4815266752632568 
significant 	 844.9803168749443 1.4815266752632568 
pets 	 2369.6387671521275 1.4815266752632568 
favourite 	 2095.152483650389 1.4815266752632568 
foods 	 1732.3013538282237 1.4815266752632568 
games 	 1385.6157338360795 1.4815266752632568 
music 	 508.24854229833056 1.4815266752632568 
friend 	 1225.0515510252462 1.4815266752632568 
toys 	 2095.152483650389 1.4815266752632568 
hobbies 	 2369.6387671521275 1.4815266752632568 
clothes 	 2369.6387671521275 1.4815266752632568 
events 	 728.9574155010805 1.4815266752632568 
dominant 	 612.5257755126231 1.702157488310763 
memories 	 910.3331000743254 1.702157488310763 
challenge 	 1145.5859556222345 1.4815266752632568 
myth 	 601.8204657011086 1.702157488310763 
maker 	 1499.5378345269846 1.4815266752632568 
consciously 	 2369.6387671521275 1.4815266752632568 
choose 	 1203.6409314022171 1.4815266752632568 
lest 	 2095.152483650389 1.4815266752632568 
chosen 	 1297.2508875156523 1.4815266752632568 
collective 	 1183.3287868247469 1.4815266752632568 
mind 	 768.5904650896456 1.4815266752632568 
mary 	 1499.5378345269846 1.4815266752632568 
elizabeth 	 1660.1020173378176 1.4815266752632568 
marlow 	 2369.6387671521275 1.4815266752632568 
sight 	 1820.666200148651 1.4815266752632568 
time 	 94.39633757018075 1.8390978705635033 
capsule 	 1184.8193835760637 1.702157488310763 
collage 	 789.8795890507092 1.791066793718129 
source 	 973.1999994041275 1.4815266752632568 
magazines 	 1660.1020173378176 1.4815266752632568 
newspapers 	 1203.6409314022171 1.4815266752632568 
catalogs 	 2369.6387671521275 1.4815266752632568 
cereal 	 2369.6387671521275 1.4815266752632568 
boxes 	 1599.0583481262233 1.4815266752632568 
photo 	 1660.1020173378176 1.4815266752632568 
collections 	 2095.152483650389 1.4815266752632568 
collect 	 1271.693633145174 1.4815266752632568 
save 	 1324.572064624485 1.4815266752632568 
images 	 377.46696968273125 1.702157488310763 
resonate 	 2369.6387671521275 1.4815266752632568 
associations 	 1499.5378345269846 1.4815266752632568 
experiences 	 997.2073496434357 1.4815266752632568 
literal 	 1934.588300839556 1.4815266752632568 
memory 	 1420.0722391239728 1.4815266752632568 
toddler's 	 2369.6387671521275 1.4815266752632568 
bedroom 	 2369.6387671521275 1.4815266752632568 
green 	 532.2436841072065 1.702157488310763 
leafy 	 2369.6387671521275 1.4815266752632568 
tree 	 1385.6157338360795 1.4815266752632568 
outside 	 939.7152737450145 1.4815266752632568 
window 	 1820.666200148651 1.4815266752632568 
picture 	 1183.3287868247469 1.4815266752632568 
rain 	 1353.9188215973588 1.4815266752632568 
forest 	 1297.2508875156523 1.4815266752632568 
salad 	 1820.666200148651 1.4815266752632568 
conjuring 	 2369.6387671521275 1.4815266752632568 
association 	 768.5904650896456 1.4815266752632568 
remember 	 749.7689172634923 1.702157488310763 
eye' 	 2369.6387671521275 1.4815266752632568 
exercise 	 1203.6409314022171 1.4815266752632568 
know 	 985.0217728114012 1.4815266752632568 
image 	 716.581408273455 1.4815266752632568 
speaks 	 1820.666200148651 1.4815266752632568 
connection 	 1164.007881813652 1.4815266752632568 
minutes 	 1297.2508875156523 1.4815266752632568 
swiftly 	 2095.152483650389 1.4815266752632568 
lay 	 1420.0722391239728 1.4815266752632568 
poster 	 1820.666200148651 1.4815266752632568 
board 	 871.099672120496 1.4815266752632568 
prefer 	 1546.1799166469125 1.4815266752632568 
fashioned 	 2369.6387671521275 1.4815266752632568 
elmer's 	 2369.6387671521275 1.4815266752632568 
glue 	 866.1506769141118 1.702157488310763 
swear 	 2095.152483650389 1.4815266752632568 
sticks 	 2095.152483650389 1.4815266752632568 
feel 	 1271.693633145174 1.4815266752632568 
free 	 501.11321411926997 1.4815266752632568 
add 	 1203.6409314022171 1.4815266752632568 
glitter 	 2369.6387671521275 1.4815266752632568 
outline 	 1111.129450334341 1.4815266752632568 
magic 	 1457.8150703264853 1.4815266752632568 
marker 	 2369.6387671521275 1.4815266752632568 
dabble 	 2369.6387671521275 1.4815266752632568 
paints 	 2369.6387671521275 1.4815266752632568 
meant 	 1457.8150703264853 1.4815266752632568 
reflect 	 1271.693633145174 1.4815266752632568 
try 	 1094.96394050432 1.4815266752632568 
set 	 587.7141377013425 1.4815266752632568 
aside 	 1457.8150703264853 1.4815266752632568 
day 	 549.9713064988298 1.4815266752632568 
hang 	 1599.0583481262233 1.4815266752632568 
collages 	 2369.6387671521275 1.4815266752632568 
hallway 	 2095.152483650389 1.4815266752632568 
hung 	 1820.666200148651 1.4815266752632568 
row 	 1934.588300839556 1.4815266752632568 
visual 	 1385.6157338360795 1.4815266752632568 
narrative 	 1457.8150703264853 1.4815266752632568 
home 	 176.85439741278694 1.4815266752632568 
movie 	 1732.3013538282237 1.4815266752632568 
local 	 619.7778864646746 1.4815266752632568 
painters 	 2369.6387671521275 1.4815266752632568 
idols 	 2369.6387671521275 1.4815266752632568 
grown 	 830.0510086689088 1.702157488310763 
ups 	 676.9594107986794 1.702157488310763 
eye 	 1203.6409314022171 1.4815266752632568 
love 	 1022.7646040139138 1.4815266752632568 
mine 	 1660.1020173378176 1.4815266752632568 
frederick 	 1457.8150703264853 1.4815266752632568 
franck 	 2369.6387671521275 1.4815266752632568 
vancouver 	 1324.572064624485 1.4815266752632568 
november 	 950.5652675235078 1.4815266752632568 
workshop 	 1457.8150703264853 1.4815266752632568 
based 	 487.217051474007 1.4815266752632568 
tickets 	 1732.3013538282237 1.4815266752632568 
cbo 	 2369.6387671521275 1.4815266752632568 
greenhouse 	 1546.1799166469125 1.4815266752632568 
banyen 	 2095.152483650389 1.4815266752632568 
serendipity's 	 2369.6387671521275 1.4815266752632568 
whitby's 	 2369.6387671521275 1.4815266752632568 
phoenix 	 1820.666200148651 1.4815266752632568 
issue 	 562.1568833308643 1.4815266752632568 
oct96 	 1934.588300839556 1.4815266752632568 
htm 	 129.89990215572666 1.702157488310763 
vision's 	 662.2860323122425 1.702157488310763 
library 	 518.0948092387418 1.702157488310763 
http 	 86.87424956911033 1.702157488310763 
www 	 86.10231876681019 1.702157488310763 
com 	 95.57025788820773 1.702157488310763 
village 	 985.0217728114012 1.4815266752632568 
index 	 172.20463753362037 1.4815266752632568 
html 	 155.60792286982814 1.4815266752632568 
page 	 194.3864355892702 1.4815266752632568 
