term 	 tf-idf weight 	 BM25 ranking 
louisiana_ 	 2413.3500520574257 1.3922100943986808 
hebert 	 2613.6498154628594 1.3922100943986808 
boggs 	 2956.064522659472 1.3922100943986808 
treen 	 2956.064522659472 1.3922100943986808 
waggonner 	 2956.064522659472 1.3922100943986808 
passman 	 2956.064522659472 1.3922100943986808 
rarick 	 2956.064522659472 1.3922100943986808 
breaux 	 2956.064522659472 1.3922100943986808 
maine_ 	 2413.3500520574257 1.3922100943986808 
kyros 	 2956.064522659472 1.3922100943986808 
cohen 	 2161.0021939170265 1.3922100943986808 
maryland_ 	 2413.3500520574257 1.3922100943986808 
bauman 	 2956.064522659472 1.3922100943986808 
sarbanes 	 2956.064522659472 1.3922100943986808 
holt 	 2271.2351082662462 1.3922100943986808 
hogan 	 2956.064522659472 1.3922100943986808 
byron 	 2271.2351082662462 1.3922100943986808 
mitchell 	 1080.5010969585132 1.6416555055921096 
gude 	 2956.064522659472 1.3922100943986808 
massachusetts_ 	 2413.3500520574257 1.3922100943986808 
conte 	 2956.064522659472 1.3922100943986808 
boland 	 2956.064522659472 1.3922100943986808 
donohue 	 2956.064522659472 1.3922100943986808 
drinan 	 2956.064522659472 1.3922100943986808 
cronin 	 2956.064522659472 1.3922100943986808 
harrington 	 2613.6498154628594 1.3922100943986808 
macdonald 	 2613.6498154628594 1.3922100943986808 
neill 	 2271.2351082662462 1.3922100943986808 
moskley 	 2956.064522659472 1.3922100943986808 
heckler 	 2956.064522659472 1.3922100943986808 
studds 	 2956.064522659472 1.3922100943986808 
michigan_ 	 2413.3500520574257 1.3922100943986808 
conyers 	 2956.064522659472 1.3922100943986808 
esch 	 2956.064522659472 1.3922100943986808 
hutchinson 	 2413.3500520574257 1.3922100943986808 
ford 	 885.7521289485386 1.6416555055921096 
chamberlain 	 2956.064522659472 1.3922100943986808 
riegle 	 2956.064522659472 1.3922100943986808 
harvey 	 2956.064522659472 1.3922100943986808 
vander 	 2956.064522659472 1.3922100943986808 
jagt 	 2956.064522659472 1.3922100943986808 
cederberg 	 2956.064522659472 1.3922100943986808 
ruppe 	 2956.064522659472 1.3922100943986808 
hara 	 2613.6498154628594 1.3922100943986808 
diggs 	 2956.064522659472 1.3922100943986808 
nedzi 	 2956.064522659472 1.3922100943986808 
dingell 	 2956.064522659472 1.3922100943986808 
griffiths 	 2956.064522659472 1.3922100943986808 
huber 	 2956.064522659472 1.3922100943986808 
broomfield 	 2956.064522659472 1.3922100943986808 
minnesota_ 	 2413.3500520574257 1.3922100943986808 
quie 	 2956.064522659472 1.3922100943986808 
nelsen 	 2956.064522659472 1.3922100943986808 
frenzel 	 2956.064522659472 1.3922100943986808 
karth 	 2956.064522659472 1.3922100943986808 
fraser 	 2956.064522659472 1.3922100943986808 
zwach 	 2956.064522659472 1.3922100943986808 
bergland 	 2956.064522659472 1.3922100943986808 
blatnik 	 2956.064522659472 1.3922100943986808 
mississippi_ 	 2413.3500520574257 1.3922100943986808 
whitten 	 2956.064522659472 1.3922100943986808 
bowen 	 2613.6498154628594 1.3922100943986808 
montgomery 	 1928.8204010696331 1.3922100943986808 
cochran 	 2161.0021939170265 1.3922100943986808 
lott 	 2956.064522659472 1.3922100943986808 
missouri_ 	 2413.3500520574257 1.3922100943986808 
clay 	 1928.8204010696331 1.3922100943986808 
symington 	 2413.3500520574257 1.3922100943986808 
sullivan 	 2613.6498154628594 1.3922100943986808 
randall 	 2413.3500520574257 1.3922100943986808 
bolling 	 2613.6498154628594 1.3922100943986808 
litton 	 2956.064522659472 1.3922100943986808 
taylor 	 844.4897700367364 1.6416555055921096 
ichord 	 2956.064522659472 1.3922100943986808 
hungate 	 2956.064522659472 1.3922100943986808 
burlison 	 2956.064522659472 1.3922100943986808 
montana_ 	 2413.3500520574257 1.3922100943986808 
shoup 	 2956.064522659472 1.3922100943986808 
melcher 	 2956.064522659472 1.3922100943986808 
nebraska_ 	 2413.3500520574257 1.3922100943986808 
thone 	 2956.064522659472 1.3922100943986808 
mccollister 	 2956.064522659472 1.3922100943986808 
martin 	 826.1851009147672 1.6416555055921096 
nevada_ 	 2413.3500520574257 1.3922100943986808 
towell 	 2956.064522659472 1.3922100943986808 
hampshire_ 	 2413.3500520574257 1.3922100943986808 
wyman 	 2956.064522659472 1.3922100943986808 
cleveland 	 2070.935344860813 1.3922100943986808 
jersey_ 	 2413.3500520574257 1.3922100943986808 
hunt 	 1994.7849090261475 1.3922100943986808 
sandman 	 2956.064522659472 1.3922100943986808 
howard 	 1870.6355814553797 1.3922100943986808 
thompson 	 1994.7849090261475 1.3922100943986808 
frelinghuysen 	 2956.064522659472 1.3922100943986808 
forsythe 	 2956.064522659472 1.3922100943986808 
widnall 	 2956.064522659472 1.3922100943986808 
roe 	 2413.3500520574257 1.3922100943986808 
helstoski 	 2956.064522659472 1.3922100943986808 
rodino 	 2956.064522659472 1.3922100943986808 
minish 	 2956.064522659472 1.3922100943986808 
rinaldo 	 2956.064522659472 1.3922100943986808 
maraziti 	 2956.064522659472 1.3922100943986808 
daniels 	 2956.064522659472 1.3922100943986808 
patten 	 2956.064522659472 1.3922100943986808 
mexico_ 	 2413.3500520574257 1.3922100943986808 
lujan 	 2956.064522659472 1.3922100943986808 
runnels 	 2613.6498154628594 1.3922100943986808 
york_ 	 2413.3500520574257 1.3922100943986808 
pike 	 2161.0021939170265 1.3922100943986808 
grover 	 2956.064522659472 1.3922100943986808 
roncallo 	 2956.064522659472 1.3922100943986808 
lent 	 2413.3500520574257 1.3922100943986808 
wydler 	 2956.064522659472 1.3922100943986808 
wolff 	 2956.064522659472 1.3922100943986808 
addabbo 	 2956.064522659472 1.3922100943986808 
rosenthal 	 2956.064522659472 1.3922100943986808 
delaney 	 2956.064522659472 1.3922100943986808 
biaggi 	 2956.064522659472 1.3922100943986808 
brasco 	 2956.064522659472 1.3922100943986808 
chisholm 	 2956.064522659472 1.3922100943986808 
podell 	 2956.064522659472 1.3922100943986808 
rooney 	 1478.032261329736 1.6416555055921096 
carey 	 2956.064522659472 1.3922100943986808 
holtzman 	 2956.064522659472 1.3922100943986808 
koch 	 2413.3500520574257 1.3922100943986808 
rangel 	 2956.064522659472 1.3922100943986808 
abzug 	 2956.064522659472 1.3922100943986808 
badillo 	 2956.064522659472 1.3922100943986808 
bingham 	 2956.064522659472 1.3922100943986808 
peyser 	 2956.064522659472 1.3922100943986808 
reid 	 2956.064522659472 1.3922100943986808 
gilman 	 2956.064522659472 1.3922100943986808 
robison 	 2956.064522659472 1.3922100943986808 
stratton 	 2613.6498154628594 1.3922100943986808 
king 	 1292.620382646154 1.3922100943986808 
mcewen 	 2956.064522659472 1.3922100943986808 
hanley 	 2956.064522659472 1.3922100943986808 
walsh 	 2413.3500520574257 1.3922100943986808 
horton 	 2956.064522659472 1.3922100943986808 
conable 	 2956.064522659472 1.3922100943986808 
dulski 	 2956.064522659472 1.3922100943986808 
kemp 	 2956.064522659472 1.3922100943986808 
hastings 	 2613.6498154628594 1.3922100943986808 
north 	 435.81385815123764 1.6416555055921096 
carolina_ 	 1206.6750260287129 1.6416555055921096 
fountain 	 2613.6498154628594 1.3922100943986808 
henderson 	 1994.7849090261475 1.3922100943986808 
andrews 	 1135.6175541331231 1.6416555055921096 
mizell 	 2956.064522659472 1.3922100943986808 
preyer 	 2956.064522659472 1.3922100943986808 
rose 	 1818.5874867204136 1.3922100943986808 
ruth 	 2613.6498154628594 1.3922100943986808 
broyhill 	 1478.032261329736 1.6416555055921096 
dakota_ 	 1206.6750260287129 1.6416555055921096 
ohio_ 	 2413.3500520574257 1.3922100943986808 
keating 	 2956.064522659472 1.3922100943986808 
clancy 	 2956.064522659472 1.3922100943986808 
whalen 	 2956.064522659472 1.3922100943986808 
guyer 	 2956.064522659472 1.3922100943986808 
latta 	 1870.6355814553797 1.3922100943986808 
harsha 	 2956.064522659472 1.3922100943986808 
powell 	 2613.6498154628594 1.3922100943986808 
ashley 	 2613.6498154628594 1.3922100943986808 
miller 	 1652.3702018295344 1.3922100943986808 
stanton 	 1478.032261329736 1.6416555055921096 
devine 	 2613.6498154628594 1.3922100943986808 
mosher 	 2956.064522659472 1.3922100943986808 
seiberling 	 2956.064522659472 1.3922100943986808 
wylie 	 2956.064522659472 1.3922100943986808 
regula 	 2956.064522659472 1.3922100943986808 
ashbrook 	 2956.064522659472 1.3922100943986808 
hays 	 2613.6498154628594 1.3922100943986808 
carney 	 2956.064522659472 1.3922100943986808 
stokes 	 2271.2351082662462 1.3922100943986808 
vanik 	 2956.064522659472 1.3922100943986808 
minshall 	 2956.064522659472 1.3922100943986808 
oklahoma_ 	 2413.3500520574257 1.3922100943986808 
mcspadden 	 2956.064522659472 1.3922100943986808 
albert 	 1652.3702018295344 1.3922100943986808 
steed 	 2956.064522659472 1.3922100943986808 
jarman 	 2956.064522659472 1.3922100943986808 
camp 	 1556.4571306957012 1.3922100943986808 
oregon_ 	 2413.3500520574257 1.3922100943986808 
wyatt 	 2956.064522659472 1.3922100943986808 
ullman 	 2956.064522659472 1.3922100943986808 
green 	 663.9605554266667 1.6416555055921096 
dellenback 	 2956.064522659472 1.3922100943986808 
pennsylvania_ 	 2413.3500520574257 1.3922100943986808 
barrett 	 2271.2351082662462 1.3922100943986808 
nix 	 2956.064522659472 1.3922100943986808 
eilberg 	 2956.064522659472 1.3922100943986808 
ware 	 2271.2351082662462 1.3922100943986808 
yatron 	 2956.064522659472 1.3922100943986808 
williams 	 1688.979540073473 1.3922100943986808 
biester 	 2956.064522659472 1.3922100943986808 
shuster 	 2956.064522659472 1.3922100943986808 
mcdade 	 2956.064522659472 1.3922100943986808 
flood 	 2613.6498154628594 1.3922100943986808 
saylor 	 2956.064522659472 1.3922100943986808 
coughlin 	 2956.064522659472 1.3922100943986808 
moorhead 	 2956.064522659472 1.3922100943986808 
eshleman 	 2956.064522659472 1.3922100943986808 
schneebeli 	 2956.064522659472 1.3922100943986808 
heinz 	 2956.064522659472 1.3922100943986808 
goodling 	 2956.064522659472 1.3922100943986808 
gaydos 	 2956.064522659472 1.3922100943986808 
dent 	 2956.064522659472 1.3922100943986808 
morgan 	 1928.8204010696331 1.3922100943986808 
vigorito 	 2956.064522659472 1.3922100943986808 
clark 	 1818.5874867204136 1.3922100943986808 
rhode 	 2070.935344860813 1.3922100943986808 
island_ 	 2413.3500520574257 1.3922100943986808 
germain 	 2956.064522659472 1.3922100943986808 
tiernan 	 2956.064522659472 1.3922100943986808 
south 	 439.4731843401674 1.6416555055921096 
spence 	 2956.064522659472 1.3922100943986808 
dorn 	 2956.064522659472 1.3922100943986808 
mann 	 1870.6355814553797 1.3922100943986808 
gettys 	 2956.064522659472 1.3922100943986808 
denholm 	 2956.064522659472 1.3922100943986808 
abdnor 	 2956.064522659472 1.3922100943986808 
tennessee_ 	 2413.3500520574257 1.3922100943986808 
quillen 	 2956.064522659472 1.3922100943986808 
duncan 	 2956.064522659472 1.3922100943986808 
baker 	 2161.0021939170265 1.3922100943986808 
evins 	 2956.064522659472 1.3922100943986808 
fulton 	 2613.6498154628594 1.3922100943986808 
beard 	 2413.3500520574257 1.3922100943986808 
kuykendall 	 2956.064522659472 1.3922100943986808 
texas_ 	 2413.3500520574257 1.3922100943986808 
patman 	 2613.6498154628594 1.3922100943986808 
roberts 	 2413.3500520574257 1.3922100943986808 
steelman 	 2956.064522659472 1.3922100943986808 
archer 	 2161.0021939170265 1.3922100943986808 
eckhardt 	 2956.064522659472 1.3922100943986808 
brooks 	 2271.2351082662462 1.3922100943986808 
pickle 	 2613.6498154628594 1.3922100943986808 
poage 	 2956.064522659472 1.3922100943986808 
wright 	 1870.6355814553797 1.3922100943986808 
garza 	 2613.6498154628594 1.3922100943986808 
white 	 1043.691223270974 1.3922100943986808 
burleson 	 2613.6498154628594 1.3922100943986808 
jordna 	 2956.064522659472 1.3922100943986808 
mahon 	 2956.064522659472 1.3922100943986808 
gonzalez 	 2956.064522659472 1.3922100943986808 
fisher 	 1688.979540073473 1.3922100943986808 
casey 	 2956.064522659472 1.3922100943986808 
kazen 	 2956.064522659472 1.3922100943986808 
milford 	 2956.064522659472 1.3922100943986808 
utah_ 	 2413.3500520574257 1.3922100943986808 
mckay 	 2613.6498154628594 1.3922100943986808 
owens 	 2413.3500520574257 1.3922100943986808 
vermont_ 	 2413.3500520574257 1.3922100943986808 
mallary 	 2956.064522659472 1.3922100943986808 
virginia_ 	 1206.6750260287129 1.6416555055921096 
whitehurst 	 2956.064522659472 1.3922100943986808 
satterfield 	 2956.064522659472 1.3922100943986808 
daniel 	 935.3177907276898 1.6416555055921096 
butler 	 1994.7849090261475 1.3922100943986808 
robinson 	 2070.935344860813 1.3922100943986808 
parris 	 2956.064522659472 1.3922100943986808 
wampler 	 2956.064522659472 1.3922100943986808 
washington_ 	 2413.3500520574257 1.3922100943986808 
pritchard 	 2956.064522659472 1.3922100943986808 
meeds 	 2956.064522659472 1.3922100943986808 
mccormack 	 2956.064522659472 1.3922100943986808 
foley 	 2956.064522659472 1.3922100943986808 
hicks 	 2956.064522659472 1.3922100943986808 
adams 	 1870.6355814553797 1.3922100943986808 
west 	 878.9463686803348 1.3922100943986808 
mollohan 	 2956.064522659472 1.3922100943986808 
staggers 	 2956.064522659472 1.3922100943986808 
slack 	 2613.6498154628594 1.3922100943986808 
hechler 	 2956.064522659472 1.3922100943986808 
wisconsin_ 	 2413.3500520574257 1.3922100943986808 
aspin 	 2956.064522659472 1.3922100943986808 
kastenmeier 	 2956.064522659472 1.3922100943986808 
thomson 	 2613.6498154628594 1.3922100943986808 
zablocki 	 2956.064522659472 1.3922100943986808 
reuss 	 2956.064522659472 1.3922100943986808 
obey 	 2956.064522659472 1.3922100943986808 
froehlich 	 2956.064522659472 1.3922100943986808 
wyoming_ 	 2413.3500520574257 1.3922100943986808 
roncalio 	 2956.064522659472 1.3922100943986808 
