term 	 tf-idf weight 	 BM25 ranking 
 shared 	 404.9319133008846 1.7538674645736185 
technology 	 371.802889678005 1.7015176091713704 
introduces 	 3206.1927485157107 1.1753055799740466 
inventors 	 950.2490813731259 1.7538674645736185 
struggles 	 2922.992843028357 1.1753055799740466 
failures 	 2778.229526933957 1.1753055799740466 
successes 	 2847.316560263723 1.1753055799740466 
placed 	 2195.4580019202776 1.1753055799740466 
middle 	 1863.0019960428788 1.1753055799740466 
international 	 535.6352951056492 1.480557446044173 
subculture 	 3878.94724966315 1.1753055799740466 
excuse 	 3878.94724966315 1.1753055799740466 
pun 	 4751.24540686563 1.1753055799740466 
electric 	 1228.1451155480372 1.480557446044173 
excitement 	 3650.527684136436 1.1753055799740466 
developments 	 1052.7375128932586 1.480557446044173 
alternatives 	 2134.350935258192 1.1753055799740466 
scene 	 1148.4788494495633 1.480557446044173 
filled 	 3473.3517043929537 1.1753055799740466 
garage 	 4200.886545501033 1.1753055799740466 
mad 	 3878.94724966315 1.1753055799740466 
scientists 	 1357.3378085205845 1.480557446044173 
increasing 	 1884.176584226115 1.1753055799740466 
serious 	 2549.809961407243 1.1753055799740466 
researchers 	 1068.7309161719036 1.6208834162803956 
phds 	 4751.24540686563 1.1753055799740466 
physics 	 885.2779623837047 1.6208834162803956 
engineering 	 2227.8706655693604 1.1753055799740466 
mainstream 	 3006.649092460671 1.1753055799740466 
science 	 217.07704976438916 1.7015176091713704 
texts 	 3878.94724966315 1.1753055799740466 
rewritten 	 4200.886545501033 1.1753055799740466 
people 	 232.5927571749824 1.7015176091713704 
publish 	 3100.1688227718396 1.1753055799740466 
respected 	 1550.0844113859198 1.480557446044173 
explaining 	 3206.1927485157107 1.1753055799740466 
zero 	 1461.4964215141786 1.480557446044173 
quantum 	 4751.24540686563 1.1753055799740466 
fluctuations 	 3473.3517043929537 1.1753055799740466 
vacuum 	 1050.2216363752582 1.7015176091713704 
cohered 	 4751.24540686563 1.1753055799740466 
usable 	 3878.94724966315 1.1753055799740466 
misnomer 	 4751.24540686563 1.1753055799740466 
cost 	 537.9859647706587 1.6208834162803956 
associated 	 1951.3151503203972 1.1753055799740466 
building 	 1569.4228577910471 1.1753055799740466 
machines 	 1423.6582801318616 1.480557446044173 
generate 	 1503.3245462303355 1.480557446044173 
fuel 	 1327.916943575557 1.480557446044173 
operate 	 2413.3608574074756 1.1753055799740466 
phrase 	 3650.527684136436 1.1753055799740466 
caught 	 3878.94724966315 1.1753055799740466 
imagination 	 3206.1927485157107 1.1753055799740466 
circles 	 3328.5883882985536 1.1753055799740466 
slogan 	 4751.24540686563 1.1753055799740466 
verb 	 4751.24540686563 1.1753055799740466 
hal 	 3100.1688227718396 1.1753055799740466 
fox 	 3328.5883882985536 1.1753055799740466 
phd 	 2100.4432727505164 1.480557446044173 
salt 	 3206.1927485157107 1.1753055799740466 
lake 	 2261.6629994178843 1.1753055799740466 
city 	 1323.1598447177987 1.1753055799740466 
prefer 	 3100.1688227718396 1.1753055799740466 
terms 	 1424.6595416966472 1.1753055799740466 
describe 	 2413.3608574074756 1.1753055799740466 
incredible 	 3328.5883882985536 1.1753055799740466 
amounts 	 2549.809961407243 1.1753055799740466 
available 	 621.3429821375652 1.480557446044173 
called 	 1389.3648422154054 1.1753055799740466 
theorists 	 1033.3896075906132 1.6208834162803956 
potential 	 1629.3758544825146 1.1753055799740466 
bulb 	 4751.24540686563 1.1753055799740466 
boil 	 3878.94724966315 1.1753055799740466 
world 	 440.16936612195747 1.480557446044173 
oceans 	 3473.3517043929537 1.1753055799740466 
trickle 	 4751.24540686563 1.1753055799740466 
personal 	 1135.4671549347997 1.1753055799740466 
computer 	 1842.37745983869 1.1753055799740466 
breakthroughs 	 4751.24540686563 1.1753055799740466 
home 	 354.60199885291115 1.1753055799740466 
workshops 	 3328.5883882985536 1.1753055799740466 
garages 	 4751.24540686563 1.1753055799740466 
private 	 1527.2536564917723 1.1753055799740466 
laboratories 	 3650.527684136436 1.1753055799740466 
observers 	 3006.649092460671 1.1753055799740466 
underground 	 2778.229526933957 1.1753055799740466 
predict 	 3006.649092460671 1.1753055799740466 
impact 	 1487.21155871202 1.1753055799740466 
society 	 1205.3143606538897 1.1753055799740466 
pcs 	 3650.527684136436 1.1753055799740466 
transform 	 3100.1688227718396 1.1753055799740466 
factories 	 3328.5883882985536 1.1753055799740466 
means 	 474.88651389888247 1.6208834162803956 
soils 	 4200.886545501033 1.1753055799740466 
scrutiny 	 3206.1927485157107 1.1753055799740466 
emerging 	 2601.053547190474 1.1753055799740466 
field 	 1661.1400901657917 1.1753055799740466 
reveals 	 2601.053547190474 1.1753055799740466 
complex 	 1802.669185902409 1.1753055799740466 
picture 	 2372.6339816637606 1.1753055799740466 
dark 	 2847.316560263723 1.1753055799740466 
greed 	 3878.94724966315 1.1753055799740466 
corporate 	 1975.0184030612438 1.1753055799740466 
lobbying 	 3006.649092460671 1.1753055799740466 
bureaucratic 	 3100.1688227718396 1.1753055799740466 
inertia 	 4200.886545501033 1.1753055799740466 
academic 	 2164.3167556765725 1.1753055799740466 
resistance 	 3006.649092460671 1.1753055799740466 
secrecy 	 3650.527684136436 1.1753055799740466 
paranoia 	 3650.527684136436 1.1753055799740466 
spots 	 3650.527684136436 1.1753055799740466 
irrepressible 	 4751.24540686563 1.1753055799740466 
discoveries 	 2100.4432727505164 1.480557446044173 
growing 	 1661.1400901657917 1.1753055799740466 
increasingly 	 2261.6629994178843 1.1753055799740466 
faster 	 2847.316560263723 1.1753055799740466 
unexpected 	 3650.527684136436 1.1753055799740466 
operative 	 3328.5883882985536 1.1753055799740466 
efforts 	 1500.3358244612812 1.1753055799740466 
win 	 2372.6339816637606 1.1753055799740466 
leading 	 1223.7803092123181 1.1753055799740466 
edge 	 2601.053547190474 1.1753055799740466 
independent 	 750.1679122306406 1.480557446044173 
innovators 	 4751.24540686563 1.1753055799740466 
countries 	 706.3597335346011 1.480557446044173 
goal 	 2134.350935258192 1.1753055799740466 
covered 	 2164.3167556765725 1.1753055799740466 
instance 	 2601.053547190474 1.1753055799740466 
cold 	 1186.3169908318803 1.480557446044173 
fusion 	 1736.6758521964769 1.480557446044173 
successfully 	 2501.6740116849933 1.1753055799740466 
repeated 	 2778.229526933957 1.1753055799740466 
japan 	 2024.6595665044229 1.1753055799740466 
investing 	 3206.1927485157107 1.1753055799740466 
millions 	 2456.2902310960744 1.1753055799740466 
dollars 	 2778.229526933957 1.1753055799740466 
water 	 921.188729919345 1.480557446044173 
cell 	 3328.5883882985536 1.1753055799740466 
hold 	 2024.6595665044229 1.1753055799740466 
promise 	 2847.316560263723 1.1753055799740466 
cleaning 	 3650.527684136436 1.1753055799740466 
atmosphere 	 2456.2902310960744 1.1753055799740466 
revolutionary 	 2333.894591313231 1.1753055799740466 
advances 	 2714.675617041169 1.1753055799740466 
sunshine 	 3878.94724966315 1.1753055799740466 
ground 	 2372.6339816637606 1.1753055799740466 
solar 	 2778.229526933957 1.1753055799740466 
photovoltaics 	 4751.24540686563 1.1753055799740466 
advanced 	 1999.4511000426462 1.1753055799740466 
concept 	 1598.8336275052445 1.1753055799740466 
pumps 	 3878.94724966315 1.1753055799740466 
scale 	 2333.894591313231 1.1753055799740466 
generators 	 1292.9824165543835 1.6208834162803956 
revolve 	 4751.24540686563 1.1753055799740466 
stream 	 3328.5883882985536 1.1753055799740466 
ocean 	 2549.809961407243 1.1753055799740466 
tides 	 4751.24540686563 1.1753055799740466 
harming 	 3878.94724966315 1.1753055799740466 
marine 	 2922.992843028357 1.1753055799740466 
life 	 491.88464847260434 1.480557446044173 
variety 	 1661.1400901657917 1.1753055799740466 
prototype 	 3206.1927485157107 1.1753055799740466 
apparently 	 2922.992843028357 1.1753055799740466 
tap 	 4200.886545501033 1.1753055799740466 
include 	 677.7862541834406 1.480557446044173 
electrostatic 	 4751.24540686563 1.1753055799740466 
electrodynamic 	 4751.24540686563 1.1753055799740466 
solid 	 2922.992843028357 1.1753055799740466 
initial 	 2261.6629994178843 1.1753055799740466 
equipment 	 1975.0184030612438 1.1753055799740466 
minimal 	 2922.992843028357 1.1753055799740466 
maintenance 	 2024.6595665044229 1.1753055799740466 
expected 	 1999.4511000426462 1.1753055799740466 
result 	 1424.6595416966472 1.1753055799740466 
access 	 1711.3041380532877 1.1753055799740466 
operating 	 2077.612517856369 1.1753055799740466 
decade 	 2134.350935258192 1.1753055799740466 
methods 	 1323.1598447177987 1.1753055799740466 
negative 	 2105.475025786517 1.1753055799740466 
products 	 1783.535729948635 1.1753055799740466 
changes 	 1312.6431346782824 1.1753055799740466 
claims 	 1975.0184030612438 1.1753055799740466 
look 	 1271.9162589345672 1.1753055799740466 
forward 	 2333.894591313231 1.1753055799740466 
near 	 1928.2990460430349 1.1753055799740466 
future 	 1205.3143606538897 1.1753055799740466 
pay 	 1728.7553899879954 1.1753055799740466 
utility 	 3006.649092460671 1.1753055799740466 
bill 	 1783.535729948635 1.1753055799740466 
buy 	 2501.6740116849933 1.1753055799740466 
gasoline 	 3328.5883882985536 1.1753055799740466 
able 	 1629.3758544825146 1.1753055799740466 
lease 	 3473.3517043929537 1.1753055799740466 
purchase 	 2413.3608574074756 1.1753055799740466 
converter 	 4751.24540686563 1.1753055799740466 
hardware 	 3328.5883882985536 1.1753055799740466 
paid 	 2105.475025786517 1.1753055799740466 
astronaut 	 3878.94724966315 1.1753055799740466 
apollo 	 3878.94724966315 1.1753055799740466 
program 	 936.8526973474234 1.1753055799740466 
brain 	 2847.316560263723 1.1753055799740466 
leary 	 2100.4432727505164 1.480557446044173 
lucrative 	 4200.886545501033 1.1753055799740466 
employment 	 2024.6595665044229 1.1753055799740466 
ivy 	 4200.886545501033 1.1753055799740466 
league 	 3006.649092460671 1.1753055799740466 
professor 	 3100.1688227718396 1.1753055799740466 
consultant 	 3206.1927485157107 1.1753055799740466 
governments 	 1999.4511000426462 1.1753055799740466 
scientist 	 2375.622703432815 1.480557446044173 
nasa 	 2050.6946858258775 1.1753055799740466 
contracts 	 2413.3608574074756 1.1753055799740466 
address 	 1694.2282111078428 1.1753055799740466 
questions 	 1281.9038120068142 1.1753055799740466 
academics 	 4200.886545501033 1.1753055799740466 
ignored 	 3006.649092460671 1.1753055799740466 
challenging 	 3328.5883882985536 1.1753055799740466 
surrounds 	 4751.24540686563 1.1753055799740466 
vast 	 1327.916943575557 1.480557446044173 
resource 	 2195.4580019202776 1.1753055799740466 
potentially 	 3100.1688227718396 1.1753055799740466 
decentralized 	 2100.4432727505164 1.480557446044173 
believe 	 2050.6946858258775 1.1753055799740466 
imminent 	 3206.1927485157107 1.1753055799740466 
afterward 	 4751.24540686563 1.1753055799740466 
existing 	 2050.6946858258775 1.1753055799740466 
seen 	 1500.3358244612812 1.1753055799740466 
dinosaur 	 4200.886545501033 1.1753055799740466 
nightmares 	 4200.886545501033 1.1753055799740466 
littered 	 4751.24540686563 1.1753055799740466 
polluted 	 3878.94724966315 1.1753055799740466 
paradigm 	 4200.886545501033 1.1753055799740466 
copernican 	 4200.886545501033 1.1753055799740466 
industrial 	 1569.4228577910471 1.1753055799740466 
revolutions 	 2922.992843028357 1.1753055799740466 
appear 	 2261.6629994178843 1.1753055799740466 
tame 	 4751.24540686563 1.1753055799740466 
redirecting 	 4200.886545501033 1.1753055799740466 
obsolete 	 3473.3517043929537 1.1753055799740466 
systems 	 626.1551622689061 1.480557446044173 
sustainable 	 4751.24540686563 1.1753055799740466 
affordable 	 3206.1927485157107 1.1753055799740466 
unprecedented 	 3650.527684136436 1.1753055799740466 
possibilities 	 2714.675617041169 1.1753055799740466 
switch 	 3328.5883882985536 1.1753055799740466 
totally 	 2922.992843028357 1.1753055799740466 
alleviate 	 2922.992843028357 1.1753055799740466 
global 	 1905.9313697314778 1.1753055799740466 
warming 	 3473.3517043929537 1.1753055799740466 
carbon 	 3100.1688227718396 1.1753055799740466 
dioxide 	 1109.5294627661847 1.6208834162803956 
emissions 	 1664.2941941492768 1.480557446044173 
waste 	 2261.6629994178843 1.1753055799740466 
incidents 	 2714.675617041169 1.1753055799740466 
saddam 	 4200.886545501033 1.1753055799740466 
hussein 	 4200.886545501033 1.1753055799740466 
ecocidal 	 4751.24540686563 1.1753055799740466 
fires 	 3878.94724966315 1.1753055799740466 
black 	 917.564299447602 1.1753055799740466 
skies 	 3878.94724966315 1.1753055799740466 
valdez 	 3878.94724966315 1.1753055799740466 
spills 	 3878.94724966315 1.1753055799740466 
acid 	 3650.527684136436 1.1753055799740466 
rain 	 2714.675617041169 1.1753055799740466 
nitrogen 	 4751.24540686563 1.1753055799740466 
sulfur 	 4751.24540686563 1.1753055799740466 
hydrocarbon 	 4751.24540686563 1.1753055799740466 
ozone 	 3650.527684136436 1.1753055799740466 
unsightly 	 4751.24540686563 1.1753055799740466 
refining 	 3878.94724966315 1.1753055799740466 
facilities 	 2050.6946858258775 1.1753055799740466 
dangerous 	 2456.2902310960744 1.1753055799740466 
supertankers 	 4751.24540686563 1.1753055799740466 
gas 	 2456.2902310960744 1.1753055799740466 
stations 	 1503.3245462303355 1.480557446044173 
transmission 	 2847.316560263723 1.1753055799740466 
lines 	 1928.2990460430349 1.1753055799740466 
affect 	 1783.535729948635 1.1753055799740466 
practical 	 1928.2990460430349 1.1753055799740466 
everyday 	 3650.527684136436 1.1753055799740466 
choices 	 2922.992843028357 1.1753055799740466 
profoundly 	 3878.94724966315 1.1753055799740466 
freedom 	 1527.2536564917723 1.1753055799740466 
empowerment 	 3650.527684136436 1.1753055799740466 
feeling 	 2778.229526933957 1.1753055799740466 
helpless 	 3650.527684136436 1.1753055799740466 
megaproject 	 4751.24540686563 1.1753055799740466 
builders 	 4200.886545501033 1.1753055799740466 
leg 	 2847.316560263723 1.1753055799740466 
stand 	 2227.8706655693604 1.1753055799740466 
claim 	 1928.2990460430349 1.1753055799740466 
projects 	 2134.350935258192 1.1753055799740466 
individual 	 1333.8177228615184 1.1753055799740466 
local 	 621.3429821375652 1.480557446044173 
level 	 1178.3965286233988 1.1753055799740466 
handed 	 3006.649092460671 1.1753055799740466 
envelope 	 3328.5883882985536 1.1753055799740466 
government 	 936.8526973474234 1.1753055799740466 
tax 	 1884.176584226115 1.1753055799740466 
structure 	 1389.3648422154054 1.1753055799740466 
utilities 	 3100.1688227718396 1.1753055799740466 
changed 	 2227.8706655693604 1.1753055799740466 
related 	 631.0263890278563 1.480557446044173 
tentacles 	 4751.24540686563 1.1753055799740466 
stretch 	 4200.886545501033 1.1753055799740466 
capital 	 1863.0019960428788 1.1753055799740466 
cities 	 2372.6339816637606 1.1753055799740466 
financial 	 1333.8177228615184 1.1753055799740466 
centers 	 2372.6339816637606 1.1753055799740466 
wall 	 2655.833887151114 1.1753055799740466 
street 	 1694.2282111078428 1.1753055799740466 
reach 	 2134.350935258192 1.1753055799740466 
citizens 	 1999.4511000426462 1.1753055799740466 
wallets 	 4751.24540686563 1.1753055799740466 
researched 	 3650.527684136436 1.1753055799740466 
contact 	 1281.9038120068142 1.1753055799740466 
networkers 	 4751.24540686563 1.1753055799740466 
dozen 	 3328.5883882985536 1.1753055799740466 
attended 	 2714.675617041169 1.1753055799740466 
conferences 	 3006.649092460671 1.1753055799740466 
switzerland 	 3006.649092460671 1.1753055799740466 
west 	 1412.7194670692022 1.1753055799740466 
germany 	 1802.669185902409 1.1753055799740466 
canada 	 2077.612517856369 1.1753055799740466 
united 	 1094.7402791910847 1.1753055799740466 
authored 	 1216.8425613788122 1.6208834162803956 
including 	 697.1247005885683 1.1753055799740466 
suppressed 	 3878.94724966315 1.1753055799740466 
inventions 	 4751.24540686563 1.1753055799740466 
christopher 	 2778.229526933957 1.1753055799740466 
bird 	 3878.94724966315 1.1753055799740466 
brian 	 3650.527684136436 1.1753055799740466 
barry 	 4200.886545501033 1.1753055799740466 
lynes 	 4751.24540686563 1.1753055799740466 
zealand 	 3328.5883882985536 1.1753055799740466 
auckland 	 4200.886545501033 1.1753055799740466 
institute 	 1629.3758544825146 1.1753055799740466 
press 	 1292.0185984740933 1.1753055799740466 
granite 	 4200.886545501033 1.1753055799740466 
butterfly 	 3878.94724966315 1.1753055799740466 
pierre 	 3878.94724966315 1.1753055799740466 
sinclaire 	 4751.24540686563 1.1753055799740466 
project 	 1746.5988375345298 1.1753055799740466 
magnet 	 4200.886545501033 1.1753055799740466 
fort 	 3206.1927485157107 1.1753055799740466 
langley 	 4751.24540686563 1.1753055799740466 
angels 	 3878.94724966315 1.1753055799740466 
don 	 2413.3608574074756 1.1753055799740466 
play 	 1975.0184030612438 1.1753055799740466 
haarp 	 4751.24540686563 1.1753055799740466 
nick 	 3650.527684136436 1.1753055799740466 
begich 	 4751.24540686563 1.1753055799740466 
alaska 	 3328.5883882985536 1.1753055799740466 
giving 	 1842.37745983869 1.1753055799740466 
public 	 856.4572327855161 1.1753055799740466 
lecture 	 4200.886545501033 1.1753055799740466 
planetarium 	 3878.94724966315 1.1753055799740466 
friday 	 3206.1927485157107 1.1753055799740466 
tickets 	 3473.3517043929537 1.1753055799740466 
banyen 	 4200.886545501033 1.1753055799740466 
sound 	 2105.475025786517 1.1753055799740466 
slides 	 4751.24540686563 1.1753055799740466 
video 	 2549.809961407243 1.1753055799740466 
clips 	 4200.886545501033 1.1753055799740466 
joined 	 3100.1688227718396 1.1753055799740466 
podium 	 4751.24540686563 1.1753055799740466 
known 	 1449.0922386780499 1.1753055799740466 
involved 	 1487.21155871202 1.1753055799740466 
anti 	 1541.0627002049964 1.1753055799740466 
gravity 	 4200.886545501033 1.1753055799740466 
propulsion 	 2847.316560263723 1.1753055799740466 
information 	 659.5318808343926 1.1753055799740466 
call 	 1500.3358244612812 1.1753055799740466 
issue 	 1127.1529428401673 1.1753055799740466 
nov96 	 4200.886545501033 1.1753055799740466 
htm 	 260.45586442335093 1.480557446044173 
vision's 	 1327.916943575557 1.480557446044173 
library 	 1038.8062589281844 1.480557446044173 
http 	 174.1872579744283 1.480557446044173 
www 	 172.63949772941234 1.480557446044173 
com 	 191.62319384655794 1.480557446044173 
village 	 1975.0184030612438 1.1753055799740466 
index 	 345.2789954588247 1.1753055799740466 
html 	 312.00174434000894 1.1753055799740466 
top 	 741.6597371094967 1.1753055799740466 
page 	 389.7546208532337 1.1753055799740466 
