term 	 tf-idf weight 	 BM25 ranking 
june 	 1435.191564047523 1.2451425498772126 
pioneers 	 4104.980288551413 1.2451425498772126 
guardians 	 3153.9823568231677 1.2451425498772126 
free 	 434.0450314214889 1.5347770160966585 
risked 	 4104.980288551413 1.2451425498772126 
persecution 	 2875.833292660967 1.2451425498772126 
personal 	 981.0207409134416 1.2451425498772126 
hardship 	 4104.980288551413 1.2451425498772126 
honored 	 3629.4813226872902 1.2451425498772126 
uphill 	 3629.4813226872902 1.2451425498772126 
climb 	 3351.3322585250894 1.2451425498772126 
establish 	 1954.031256424016 1.2451425498772126 
voice 	 1924.835360932722 1.2451425498772126 
elix 	 1026.2450721378532 1.736773786982992 
launched 	 2400.334326796845 1.2451425498772126 
soon 	 1795.0153491806916 1.2451425498772126 
losing 	 2202.9844250949227 1.2451425498772126 
control 	 483.36427864904596 1.5347770160966585 
abc_ 	 1368.326762850471 1.663781949986173 
started 	 2085.0951488432347 1.2451425498772126 
daily 	 519.1566169307525 1.663781949986173 
hallmark 	 3629.4813226872902 1.2451425498772126 
depth 	 1685.896968664726 1.2451425498772126 
reporting 	 1924.835360932722 1.2451425498772126 
late 	 795.8884996532375 1.5347770160966585 
paper 	 196.82272509567466 1.736773786982992 
controlled 	 1080.697967264424 1.5347770160966585 
labor 	 1478.5322905598932 1.2451425498772126 
union 	 1284.9208177285211 1.2451425498772126 
move 	 1727.4854592308002 1.2451425498772126 
orchestrated 	 3629.4813226872902 1.2451425498772126 
gov 	 795.8884996532375 1.5347770160966585 
roberto 	 4104.980288551413 1.2451425498772126 
madrid 	 1675.6661292625447 1.5347770160966585 
takeover 	 3000.90588062162 1.2451425498772126 
occurred 	 1795.0153491806916 1.2451425498772126 
refused 	 2202.9844250949227 1.2451425498772126 
demand 	 1646.686296770521 1.2451425498772126 
fire 	 1924.835360932722 1.2451425498772126 
star 	 2345.425029332798 1.2451425498772126 
fearful 	 4104.980288551413 1.2451425498772126 
picked 	 3000.90588062162 1.2451425498772126 
left 	 746.8049102844866 1.5347770160966585 
target 	 2597.684228498766 1.2451425498772126 
decided 	 962.417680466361 1.5347770160966585 
edit 	 3351.3322585250894 1.2451425498772126 
publish 	 1339.2416954795226 1.5347770160966585 
san 	 842.948484332363 1.5347770160966585 
diego 	 1200.1671633984224 1.5347770160966585 
couple 	 2345.425029332798 1.2451425498772126 
avoid 	 1869.9260634686761 1.2451425498772126 
shutdown 	 4104.980288551413 1.2451425498772126 
authorities 	 590.5862949103913 1.663781949986173 
newsprint 	 725.896264537458 1.7837261345281223 
stayed 	 3629.4813226872902 1.2451425498772126 
irreverent 	 4104.980288551413 1.2451425498772126 
columns 	 1814.7406613436451 1.5347770160966585 
backroom 	 4104.980288551413 1.2451425498772126 
happenings 	 3351.3322585250894 1.2451425498772126 
murder 	 396.9050331095216 1.7837261345281223 
enrages 	 4104.980288551413 1.2451425498772126 
served 	 2202.9844250949227 1.2451425498772126 
driving 	 2400.334326796845 1.2451425498772126 
narrow 	 2597.684228498766 1.2451425498772126 
street 	 1463.7790337783124 1.2451425498772126 
outrage 	 2875.833292660967 1.2451425498772126 
followed 	 1954.031256424016 1.2451425498772126 
thousands 	 2161.395934528848 1.2451425498772126 
attended 	 2345.425029332798 1.2451425498772126 
funeral 	 2875.833292660967 1.2451425498772126 
unusual 	 2525.4069147574974 1.2451425498772126 
alliance 	 1666.0115183696748 1.2451425498772126 
officials 	 536.5320609930374 1.663781949986173 
demanded 	 2400.334326796845 1.2451425498772126 
justice 	 1463.7790337783124 1.2451425498772126 
allow 	 1666.0115183696748 1.2451425498772126 
unsolved 	 4104.980288551413 1.2451425498772126 
employees 	 1706.376101385407 1.2451425498772126 
racetrack 	 4104.980288551413 1.2451425498772126 
owned 	 2122.1852626346435 1.2451425498772126 
son 	 2161.395934528848 1.2451425498772126 
politician 	 3000.90588062162 1.2451425498772126 
power 	 988.2800679141901 1.2451425498772126 
broker 	 3000.90588062162 1.2451425498772126 
eventually 	 2202.9844250949227 1.2451425498772126 
convicted 	 2400.334326796845 1.2451425498772126 
shooting 	 3351.3322585250894 1.2451425498772126 
currently 	 1449.3363950685996 1.2451425498772126 
serving 	 2202.9844250949227 1.2451425498772126 
prison 	 1954.031256424016 1.2451425498772126 
sentences 	 2525.4069147574974 1.2451425498772126 
established 	 1646.686296770521 1.2451425498772126 
motive 	 3153.9823568231677 1.2451425498772126 
widely 	 2085.0951488432347 1.2451425498772126 
believed 	 2049.907948893375 1.2451425498772126 
intellectual 	 1954.031256424016 1.2451425498772126 
authors 	 2202.9844250949227 1.2451425498772126 
remain 	 1727.4854592308002 1.2451425498772126 
wake 	 2875.833292660967 1.2451425498772126 
continued 	 1574.4089830292523 1.2451425498772126 
print 	 2016.4378962731444 1.2451425498772126 
name 	 1343.5890287071002 1.2451425498772126 
masthead 	 3153.9823568231677 1.2451425498772126 
edition 	 1200.1671633984224 1.5347770160966585 
reproduced 	 3629.4813226872902 1.2451425498772126 
opposite 	 3153.9823568231677 1.2451425498772126 
black 	 792.757064762034 1.2451425498772126 
page 	 336.7401384197964 1.2451425498772126 
killed 	 1984.5251655476081 1.2451425498772126 
following 	 1010.5306670808535 1.2451425498772126 
found 	 1284.9208177285211 1.2451425498772126 
careers 	 2770.0859262994677 1.2451425498772126 
threatened 	 2122.1852626346435 1.2451425498772126 
criticized 	 2400.334326796845 1.2451425498772126 
handled 	 2400.334326796845 1.2451425498772126 
reporters 	 800.1114422656149 1.663781949986173 
fired 	 2294.586960435345 1.2451425498772126 
herald_ 	 4104.980288551413 1.2451425498772126 
published 	 1627.8906004774747 1.2451425498772126 
special 	 1134.0972171149897 1.2451425498772126 
critical 	 671.7945143535501 1.5347770160966585 
investigation 	 697.2135488022768 1.5347770160966585 
formed 	 1954.031256424016 1.2451425498772126 
journal 	 2345.425029332798 1.2451425498772126 
cambio 	 3629.4813226872902 1.2451425498772126 
radio 	 1493.6098205689732 1.2451425498772126 
commentators 	 3351.3322585250894 1.2451425498772126 
unplanned 	 4104.980288551413 1.2451425498772126 
vacations 	 3351.3322585250894 1.2451425498772126 
opening 	 2161.395934528848 1.2451425498772126 
morning 	 2525.4069147574974 1.2451425498772126 
talk 	 2122.1852626346435 1.2451425498772126 
callers 	 4104.980288551413 1.2451425498772126 
police 	 1685.896968664726 1.2451425498772126 
subtle 	 3153.9823568231677 1.2451425498772126 
pressures 	 2597.684228498766 1.2451425498772126 
tone 	 2525.4069147574974 1.2451425498772126 
sets 	 2294.586960435345 1.2451425498772126 
precedent 	 3000.90588062162 1.2451425498772126 
fighting 	 2161.395934528848 1.2451425498772126 
insisted 	 2875.833292660967 1.2451425498772126 
beholden 	 3629.4813226872902 1.2451425498772126 
effort 	 1795.0153491806916 1.2451425498772126 
bypass 	 3351.3322585250894 1.2451425498772126 
onerous 	 4104.980288551413 1.2451425498772126 
controls 	 2122.1852626346435 1.2451425498772126 
requirement 	 1844.0361984724427 1.2451425498772126 
purchased 	 2597.684228498766 1.2451425498772126 
directly 	 823.3431483852605 1.5347770160966585 
went 	 2161.395934528848 1.2451425498772126 
printed 	 958.6110975536556 1.663781949986173 
exported 	 3351.3322585250894 1.2451425498772126 
block 	 1795.0153491806916 1.2451425498772126 
import 	 2202.9844250949227 1.2451425498772126 
forced 	 1984.5251655476081 1.2451425498772126 
publications 	 1273.7661004104798 1.2451425498772126 
entering 	 2049.907948893375 1.2451425498772126 
president 	 580.8625559618082 1.5347770160966585 
carlos 	 1437.9166463304834 1.5347770160966585 
salinas 	 1814.7406613436451 1.5347770160966585 
sell 	 1954.031256424016 1.2451425498772126 
enabling 	 3629.4813226872902 1.2451425498772126 
buy 	 2161.395934528848 1.2451425498772126 
foreign 	 1041.367319154368 1.2451425498772126 
manufacturers 	 2460.0241314117307 1.2451425498772126 
lingering 	 3153.9823568231677 1.2451425498772126 
fear 	 1771.7588847311738 1.2451425498772126 
interference 	 2597.684228498766 1.2451425498772126 
remains 	 2049.907948893375 1.2451425498772126 
opted 	 3351.3322585250894 1.2451425498772126 
side 	 1509.0261996834854 1.2451425498772126 
hermosillo 	 4104.980288551413 1.2451425498772126 
sonora 	 3629.4813226872902 1.2451425498772126 
instance 	 2247.2578505952965 1.2451425498772126 
tucson 	 3629.4813226872902 1.2451425498772126 
arizona 	 2345.425029332798 1.2451425498772126 
papers 	 2049.907948893375 1.2451425498772126 
ciudad 	 4104.980288551413 1.2451425498772126 
juarez 	 4104.980288551413 1.2451425498772126 
chihuahua 	 4104.980288551413 1.2451425498772126 
paso 	 3629.4813226872902 1.2451425498772126 
texas 	 2345.425029332798 1.2451425498772126 
inspiring 	 3351.3322585250894 1.2451425498772126 
figure 	 1924.835360932722 1.2451425498772126 
eager 	 3153.9823568231677 1.2451425498772126 
break 	 1984.5251655476081 1.2451425498772126 
predecessors 	 3629.4813226872902 1.2451425498772126 
common 	 1230.8771355212848 1.2451425498772126 
practice 	 1685.896968664726 1.2451425498772126 
editors 	 1298.842114249383 1.5347770160966585 
columnists 	 4104.980288551413 1.2451425498772126 
money 	 648.1299594335258 1.5347770160966585 
elected 	 2016.4378962731444 1.2451425498772126 
bureaucrats 	 4104.980288551413 1.2451425498772126 
businessmen 	 3000.90588062162 1.2451425498772126 
exchange 	 1627.8906004774747 1.2451425498772126 
flattering 	 3629.4813226872902 1.2451425498772126 
profiles 	 2875.833292660967 1.2451425498772126 
uncritical 	 4104.980288551413 1.2451425498772126 
founding 	 3153.9823568231677 1.2451425498772126 
policy 	 545.1940842230598 1.5347770160966585 
unacceptable 	 3153.9823568231677 1.2451425498772126 
slightest 	 4104.980288551413 1.2451425498772126 
suspicion 	 2770.0859262994677 1.2451425498772126 
cause 	 1727.4854592308002 1.2451425498772126 
dismissal 	 2597.684228498766 1.2451425498772126 
date 	 1706.376101385407 1.2451425498772126 
light 	 1381.360035854657 1.2451425498772126 
don 	 2085.0951488432347 1.2451425498772126 
bribes 	 2052.4901442757064 1.5347770160966585 
helped 	 1172.712514666399 1.5347770160966585 
bring 	 1646.686296770521 1.2451425498772126 
sea 	 1646.686296770521 1.2451425498772126 
change 	 549.4550085825649 1.5347770160966585 
business 	 623.4110513010074 1.2451425498772126 
view 	 1125.1297691597854 1.2451425498772126 
prohibited 	 2525.4069147574974 1.2451425498772126 
offering 	 1954.031256424016 1.2451425498772126 
gortari 	 4104.980288551413 1.2451425498772126 
enacted 	 2770.0859262994677 1.2451425498772126 
similar 	 1355.9497234819376 1.2451425498772126 
cabinet 	 2345.425029332798 1.2451425498772126 
result 	 1230.8771355212848 1.2451425498772126 
tradition 	 1749.2650662746023 1.2451425498772126 
bound 	 2247.2578505952965 1.2451425498772126 
recourse 	 3351.3322585250894 1.2451425498772126 
tainted 	 4104.980288551413 1.2451425498772126 
politics 	 1449.3363950685996 1.2451425498772126 
speak 	 2460.0241314117307 1.2451425498772126 
truth 	 2202.9844250949227 1.2451425498772126 
learn 	 1869.9260634686761 1.2451425498772126 
survive 	 2400.334326796845 1.2451425498772126 
advertising 	 2049.907948893375 1.2451425498772126 
circulation 	 2678.483390959045 1.2451425498772126 
sales 	 1869.9260634686761 1.2451425498772126 
