term 	 tf-idf weight 	 BM25 ranking 
fractus 	 10681.326261026636 0.775955953794667 
halo 	 7808.479587331766 0.775955953794667 
jed 	 10681.326261026636 0.775955953794667 
lidar 	 10681.326261026636 0.775955953794667 
nimbus 	 10681.326261026636 0.775955953794667 
pearl 	 7207.876644962901 0.775955953794667 
rain 	 3051.445828978896 1.1181098932552633 
speedy 	 9444.058543727133 0.775955953794667 
steve 	 6759.280390481484 0.775955953794667 
storm 	 8206.79082642763 0.775955953794667 
stratus 	 10681.326261026636 0.775955953794667 
wave 	 6401.083199081544 0.775955953794667 
bpa 	 10681.326261026636 0.775955953794667 
su_lab_nt15 	 10681.326261026636 0.775955953794667 
lectura 	 10681.326261026636 0.775955953794667 
poodle 	 10681.326261026636 0.775955953794667 
duna 	 5847.45665205919 0.775955953794667 
fos 	 7207.876644962901 0.775955953794667 
admin 	 8720.30332575406 0.775955953794667 
geo 	 2494.3452028181855 1.3107689165432674 
palynolog 	 10681.326261026636 0.775955953794667 
geog 	 10681.326261026636 0.775955953794667 
hwr 	 10681.326261026636 0.775955953794667 
river 	 5624.040441886289 0.775955953794667 
ispe 	 10681.326261026636 0.775955953794667 
pub08 	 10681.326261026636 0.775955953794667 
lpl 	 3560.4420870088784 1.3107689165432674 
deuteron 	 10681.326261026636 0.775955953794667 
magcon 	 10681.326261026636 0.775955953794667 
ltrr 	 10681.326261026636 0.775955953794667 
abba 	 8206.79082642763 0.775955953794667 
opt 	 7808.479587331766 0.775955953794667 
sci 	 2307.270291247614 0.775955953794667 
titan 	 8206.79082642763 0.775955953794667 
pcce 	 10681.326261026636 0.775955953794667 
bass 	 10681.326261026636 0.775955953794667 
pharm 	 9444.058543727133 0.775955953794667 
reganlab 	 10681.326261026636 0.775955953794667 
physics 	 5970.608927663398 0.775955953794667 
soliton 	 10681.326261026636 0.775955953794667 
radiology 	 7483.0356084545565 0.775955953794667 
gist 	 10681.326261026636 0.775955953794667 
rescomp 	 5340.663130513318 1.1181098932552633 
rc4024 	 10681.326261026636 0.775955953794667 
rc5113 	 10681.326261026636 0.775955953794667 
kitts 	 10681.326261026636 0.775955953794667 
nevis 	 10681.326261026636 0.775955953794667 
tortola 	 10681.326261026636 0.775955953794667 
uug 	 10681.326261026636 0.775955953794667 
gas 	 5522.012673181981 0.775955953794667 
helium 	 9444.058543727133 0.775955953794667 
yuma 	 8720.30332575406 0.775955953794667 
eclipse 	 9444.058543727133 0.775955953794667 
asu 	 4360.15166287703 1.1181098932552633 
eas 	 5340.663130513318 1.1181098932552633 
enpc577 	 10681.326261026636 0.775955953794667 
inre 	 10681.326261026636 0.775955953794667 
ppp1 	 10681.326261026636 0.775955953794667 
berkeley 	 7483.0356084545565 0.775955953794667 
sph 	 10681.326261026636 0.775955953794667 
uhall755 	 10681.326261026636 0.775955953794667 
brandeis 	 9444.058543727133 0.775955953794667 
ccs 	 10681.326261026636 0.775955953794667 
oprian5 	 10681.326261026636 0.775955953794667 
duckwater 	 10681.326261026636 0.775955953794667 
caltech 	 9444.058543727133 0.775955953794667 
ama 	 8206.79082642763 0.775955953794667 
kdv 	 10681.326261026636 0.775955953794667 
colorado 	 6759.280390481484 0.775955953794667 
vivaldi 	 10681.326261026636 0.775955953794667 
colostate 	 9444.058543727133 0.775955953794667 
