term 	 tf-idf weight 	 BM25 ranking 
herbs 	 2042.0654286639758 1.460492606993771 
practice 	 1027.2666660376901 1.460492606993771 
acupuncture 	 1632.078800905074 1.460492606993771 
association 	 811.2899353724036 1.460492606993771 
daniel 	 1582.845492000706 1.460492606993771 
cheng 	 680.6884762213253 1.7807319593350053 
sees 	 1342.343279431017 1.460492606993771 
purposes 	 1015.1498756246707 1.460492606993771 
determine 	 969.9165972450534 1.460492606993771 
validity 	 1538.8047964557345 1.460492606993771 
testing 	 604.6148099117348 1.6881904085471147 
convincing 	 1752.3299071899187 1.460492606993771 
protect 	 938.9394648847978 1.460492606993771 
consumers 	 1342.343279431017 1.460492606993771 
rights 	 385.1206415219735 1.460492606993771 
prove 	 1369.3203812665217 1.460492606993771 
eventually 	 1342.343279431017 1.460492606993771 
lead 	 1027.2666660376901 1.460492606993771 
cheaper 	 2042.0654286639758 1.460492606993771 
improves 	 1828.5403179297916 1.460492606993771 
adds 	 1632.078800905074 1.460492606993771 
skepticism 	 1687.8949230221247 1.460492606993771 
voiced 	 2211.5498438531886 1.460492606993771 
past 	 719.4851767239758 1.460492606993771 
believes 	 1342.343279431017 1.460492606993771 
changed 	 1172.8588642418044 1.460492606993771 
laughed 	 2501.285365327246 1.460492606993771 
agree 	 1228.6749863588548 1.460492606993771 
field 	 874.5044807170037 1.460492606993771 
minded 	 2042.0654286639758 1.460492606993771 
program 	 493.2045686287443 1.460492606993771 
require 	 1139.4010124342662 1.460492606993771 
success 	 1027.2666660376901 1.460492606993771 
expensive 	 1398.1594015480675 1.460492606993771 
cautions 	 2211.5498438531886 1.460492606993771 
lot 	 1398.1594015480675 1.460492606993771 
government 	 493.2045686287443 1.460492606993771 
pediatric 	 960.9071611895657 1.6881904085471147 
specialist 	 1687.8949230221247 1.460492606993771 
wah 	 2211.5498438531886 1.460492606993771 
jun 	 1828.5403179297916 1.460492606993771 
tze 	 1250.642682663623 1.6881904085471147 
reason 	 980.7743505616163 1.460492606993771 
reality 	 1079.5848597924646 1.460492606993771 
blend 	 1921.8143223791315 1.460492606993771 
eastern 	 938.9394648847978 1.460492606993771 
efforts 	 789.8493383184075 1.460492606993771 
credentials 	 2042.0654286639758 1.460492606993771 
impeccable 	 2501.285365327246 1.460492606993771 
head 	 929.1037169673365 1.460492606993771 
endocrinology 	 2501.285365327246 1.460492606993771 
division 	 1065.8787138524544 1.460492606993771 
ubc 	 2211.5498438531886 1.460492606993771 
metabolic 	 2042.0654286639758 1.460492606993771 
investigation 	 849.665490960209 1.460492606993771 
unit 	 1093.7557083928996 1.460492606993771 
children 	 394.92466915920375 1.6881904085471147 
received 	 841.7033454624587 1.460492606993771 
canada 	 1093.7557083928996 1.460492606993771 
promoting 	 1429.1365339083231 1.460492606993771 
happen 	 1342.343279431017 1.460492606993771 
guy 	 1828.5403179297916 1.460492606993771 
contact 	 674.8561629960307 1.460492606993771 
issue 	 593.3878212936901 1.460492606993771 
oct96 	 2042.0654286639758 1.460492606993771 
htm 	 137.11656338660035 1.6881904085471147 
vision's 	 699.0797007740338 1.6881904085471147 
library 	 546.8778541964498 1.6881904085471147 
http 	 91.70059676739425 1.6881904085471147 
www 	 90.88578092052187 1.6881904085471147 
com 	 100.87971665977484 1.6881904085471147 
village 	 1039.7452046342569 1.460492606993771 
index 	 181.77156184104373 1.460492606993771 
html 	 164.25280747370746 1.460492606993771 
top 	 390.44555429693906 1.460492606993771 
