term 	 tf-idf weight 	 BM25 ranking 
 dangerous 	 510.43814626051926 1.7454806842355775 
confirm 	 1332.5486234385196 1.5484282365917552 
role 	 432.66545725434383 1.5484282365917552 
discrediting 	 1745.960403041991 1.5484282365917552 
report 	 520.4816210295694 1.5484282365917552 
related 	 524.5307515848681 1.5484282365917552 
summonses 	 1974.698972626773 1.5484282365917552 
chats 	 1974.698972626773 1.5484282365917552 
invitations 	 1517.221833457209 1.5484282365917552 
collaborate 	 1612.1569173662967 1.5484282365917552 
career 	 792.1377229362565 1.5484282365917552 
difficulties 	 925.9412086119509 1.5484282365917552 
life 	 408.8713702669003 1.5484282365917552 
fear 	 852.3038366782615 1.5484282365917552 
publicizing 	 1974.698972626773 1.5484282365917552 
reporter 	 564.1328423322328 1.7454806842355775 
instance 	 1081.0424062630434 1.5484282365917552 
warned 	 1103.8100538537376 1.5484282365917552 
covering 	 1183.3935326033106 1.5484282365917552 
controversial 	 954.6549630185286 1.5484282365917552 
story 	 757.3687527691739 1.5484282365917552 
personal 	 471.91959839859436 1.5484282365917552 
guaranteed 	 1183.3935326033106 1.5484282365917552 
notorious 	 1612.1569173662967 1.5484282365917552 
pressuring 	 1745.960403041991 1.5484282365917552 
izvestia 	 1745.960403041991 1.5484282365917552 
correspondents 	 1443.5844615235198 1.5484282365917552 
coerced 	 1974.698972626773 1.5484282365917552 
share 	 810.9999995034397 1.5484282365917552 
information 	 274.11274644250574 1.5484282365917552 
prosecutors 	 1332.5486234385196 1.5484282365917552 
authorities 	 852.3038366782615 1.5484282365917552 
editors 	 1249.6148621058205 1.5484282365917552 
feisty 	 1745.960403041991 1.5484282365917552 
moskovsky 	 1745.960403041991 1.5484282365917552 
komsomolets 	 1383.4183477815147 1.5484282365917552 
public 	 355.9582957420911 1.5484282365917552 
allegations 	 1154.6797781967327 1.5484282365917552 
murder 	 954.6549630185286 1.5484282365917552 
fellow 	 1383.4183477815147 1.5484282365917552 
dmitry 	 1612.1569173662967 1.5484282365917552 
kholodov 	 1612.1569173662967 1.5484282365917552 
exploding 	 1443.5844615235198 1.5484282365917552 
briefcase 	 1745.960403041991 1.5484282365917552 
tip 	 1443.5844615235198 1.5484282365917552 
juliya 	 1974.698972626773 1.5484282365917552 
kalinina 	 1974.698972626773 1.5484282365917552 
journalist 	 1081.0424062630434 1.5484282365917552 
paper 	 378.72594333278505 1.5484282365917552 
anonymous 	 1443.5844615235198 1.5484282365917552 
threats 	 1081.0424062630434 1.5484282365917552 
reporting 	 925.9412086119509 1.5484282365917552 
officers 	 887.0728068453442 1.5484282365917552 
abuse 	 841.4831951466746 1.5484282365917552 
surprising 	 1517.221833457209 1.5484282365917552 
greeted 	 1612.1569173662967 1.5484282365917552 
personnel 	 774.2955399170655 1.5484282365917552 
purges 	 1612.1569173662967 1.5484282365917552 
skepticism 	 1332.5486234385196 1.5484282365917552 
prosecution 	 1214.8458919387379 1.5484282365917552 
attackers 	 1745.960403041991 1.5484282365917552 
credible 	 1517.221833457209 1.5484282365917552 
guarantee 	 1103.8100538537376 1.5484282365917552 
safety 	 749.2201906143513 1.5484282365917552 
law 	 276.02579527833336 1.5484282365917552 
enforcement 	 925.9412086119509 1.5484282365917552 
provide 	 558.8473570478038 1.5484282365917552 
kind 	 841.4831951466746 1.5484282365917552 
probes 	 1745.960403041991 1.5484282365917552 
official 	 749.2201906143513 1.5484282365917552 
democratic 	 690.398274250266 1.5484282365917552 
stand 	 925.9412086119509 1.5484282365917552 
aside 	 1214.8458919387379 1.5484282365917552 
credited 	 1517.221833457209 1.5484282365917552 
sincerely 	 1517.221833457209 1.5484282365917552 
addressing 	 1103.8100538537376 1.5484282365917552 
facing 	 954.6549630185286 1.5484282365917552 
committee 	 690.398274250266 1.5484282365917552 
protect 	 741.2679985932614 1.5484282365917552 
front 	 801.4341123352664 1.5484282365917552 
page 	 161.98869632439184 1.5484282365917552 
website 	 1003.0341095018475 1.5484282365917552 
http 	 144.79041594851722 1.5484282365917552 
www 	 143.5038646113503 1.5484282365917552 
org 	 841.4831951466746 1.5484282365917552 
