term 	 tf-idf weight 	 BM25 ranking 
 pictures 	 1043.687956495408 1.5537435906304313 
arrival 	 1494.2336238593725 1.5537435906304313 
response 	 707.613982047983 1.5537435906304313 
pubs 	 454.152487908073 1.8252540266740704 
regionalreports 	 648.2597637411124 1.8252540266740704 
based 	 133.2874930379228 1.8252540266740704 
committee 	 226.64589811246108 1.8252540266740704 
protect 	 365.0183326406211 1.74885278130581 
detailing 	 1362.457463724219 1.5537435906304313 
legal 	 554.862802543119 1.5537435906304313 
harassment 	 1165.4633275638664 1.5537435906304313 
imprisonment 	 1087.0856590983778 1.5537435906304313 
systematic 	 1165.4633275638664 1.5537435906304313 
exclusion 	 1312.3584927803602 1.5537435906304313 
private 	 312.56765639787534 1.74885278130581 
official 	 737.8683695444369 1.5537435906304313 
conferences 	 1230.6813035890657 1.5537435906304313 
spokesperson 	 1719.5064575413548 1.5537435906304313 
nicholas 	 1587.7302974062013 1.5537435906304313 
burns 	 1312.3584927803602 1.5537435906304313 
told 	 394.6455856196387 1.74885278130581 
chair 	 1196.4391360002721 1.5537435906304313 
kati 	 1421.7119696822542 1.5537435906304313 
marton 	 1268.9607901773902 1.5537435906304313 
clampdown 	 648.2597637411124 1.8252540266740704 
risk 	 385.61548480698195 1.74885278130581 
led 	 745.8934686363076 1.5537435906304313 
public 	 350.5649882308473 1.5537435906304313 
statement 	 737.8683695444369 1.5537435906304313 
reporters 	 568.5923150211185 1.74885278130581 
progress 	 818.4151228134257 1.5537435906304313 
human 	 500.91763286398407 1.5537435906304313 
rights 	 299.4359054895727 1.5537435906304313 
united 	 224.0494903886036 1.74885278130581 
concern 	 730.0366652812422 1.5537435906304313 
freedom 	 125.02706255915012 1.891355373814561 
treatment 	 533.0425291208895 1.5537435906304313 
finding 	 955.3094989632243 1.5537435906304313 
mission 	 850.4081464777329 1.5537435906304313 
conducted 	 898.6446481411716 1.5537435906304313 
program 	 383.4724516850285 1.5537435906304313 
coordinator 	 1312.3584927803602 1.5537435906304313 
wrote 	 543.5428295491889 1.74885278130581 
board 	 714.917660199902 1.5537435906304313 
newsday 	 1587.7302974062013 1.5537435906304313 
bureau 	 1023.9849544050666 1.5537435906304313 
chief 	 707.613982047983 1.5537435906304313 
josh 	 1719.5064575413548 1.5537435906304313 
friedman 	 1312.3584927803602 1.5537435906304313 
introductory 	 1587.7302974062013 1.5537435906304313 
essay 	 898.6446481411716 1.5537435906304313 
interviews 	 1196.4391360002721 1.5537435906304313 
officials 	 762.5637893122615 1.5537435906304313 
sources 	 378.18778240169985 1.5537435906304313 
demonstrates 	 1137.184630042237 1.5537435906304313 
independent 	 307.0586542505771 1.74885278130581 
regularly 	 1312.3584927803602 1.5537435906304313 
harassed 	 1494.2336238593725 1.5537435906304313 
censored 	 1587.7302974062013 1.5537435906304313 
jailed 	 1421.7119696822542 1.5537435906304313 
provisions 	 1043.687956495408 1.5537435906304313 
restrictive 	 1362.457463724219 1.5537435906304313 
law 	 271.84358625896465 1.5537435906304313 
repressive 	 710.8559848411271 1.74885278130581 
climate 	 771.2309696139639 1.5537435906304313 
exists 	 1064.6629758651186 1.5537435906304313 
despite 	 839.3901421831363 1.5537435906304313 
promises 	 1111.1707500483374 1.5537435906304313 
transitional 	 1494.2336238593725 1.5537435906304313 
tge 	 859.7532287706774 1.74885278130581 
elected 	 955.3094989632243 1.5537435906304313 
prime 	 730.0366652812422 1.5537435906304313 
minister 	 737.8683695444369 1.5537435906304313 
meles 	 972.3896456116685 1.74885278130581 
zenawi 	 1944.779291223337 1.5537435906304313 
served 	 1043.687956495408 1.5537435906304313 
president 	 550.3799728501098 1.5537435906304313 
released 	 925.7436710463631 1.5537435906304313 
day 	 451.36533992959517 1.5537435906304313 
parliament 	 808.4143337467308 1.5537435906304313 
reconvened 	 1944.779291223337 1.5537435906304313 
address 	 693.4813206675678 1.5537435906304313 
key 	 568.6946772292276 1.5537435906304313 
media 	 281.43130218789145 1.5537435906304313 
issues 	 451.36533992959517 1.5537435906304313 
recommendations 	 861.8128254163956 1.5537435906304313 
administration 	 554.862802543119 1.5537435906304313 
called 	 568.6946772292276 1.5537435906304313 
western 	 573.4392870411021 1.5537435906304313 
countries 	 578.2541899212729 1.5537435906304313 
aggressive 	 1421.7119696822542 1.5537435906304313 
role 	 426.1099200232174 1.5537435906304313 
encouraging 	 1196.4391360002721 1.5537435906304313 
uphold 	 1421.7119696822542 1.5537435906304313 
guarantees 	 1230.6813035890657 1.5537435906304313 
position 	 471.6844559485287 1.5537435906304313 
welcome 	 940.1904938818843 1.5537435906304313 
step 	 780.1356362251012 1.5537435906304313 
hopes 	 1230.6813035890657 1.5537435906304313 
continued 	 745.8934686363076 1.5537435906304313 
commitment 	 911.9117963602546 1.5537435906304313 
support 	 451.36533992959517 1.5537435906304313 
look 	 520.6206349543254 1.5537435906304313 
forward 	 955.3094989632243 1.5537435906304313 
time 	 309.88696677079537 1.5537435906304313 
views 	 578.2541899212729 1.5537435906304313 
ally 	 1494.2336238593725 1.5537435906304313 
enemy 	 1421.7119696822542 1.5537435906304313 
democratic 	 679.9376943373833 1.5537435906304313 
process 	 508.65609368944257 1.5537435906304313 
copies 	 1137.184630042237 1.5537435906304313 
please 	 578.2541899212729 1.5537435906304313 
call 	 614.1173085011542 1.5537435906304313 
documents 	 808.4143337467308 1.5537435906304313 
responds 	 1494.2336238593725 1.5537435906304313 
abuses 	 1230.6813035890657 1.5537435906304313 
world 	 360.3401611829626 1.5537435906304313 
headquarters 	 1165.4633275638664 1.5537435906304313 
detained 	 1268.9607901773902 1.5537435906304313 
jail 	 1023.9849544050666 1.5537435906304313 
directs 	 1362.457463724219 1.5537435906304313 
international 	 438.49237004870525 1.5537435906304313 
campaigns 	 940.1904938818843 1.5537435906304313 
protest 	 1005.4084699070834 1.5537435906304313 
governments 	 818.4151228134257 1.5537435906304313 
provides 	 578.2541899212729 1.5537435906304313 
practical 	 789.2911712392774 1.5537435906304313 
safety 	 737.8683695444369 1.5537435906304313 
information 	 134.97976150577935 1.74885278130581 
assigned 	 1165.4633275638664 1.5537435906304313 
dangerous 	 1005.4084699070834 1.5537435906304313 
nonpartisan 	 1587.7302974062013 1.5537435906304313 
nonprofit 	 762.5637893122615 1.5537435906304313 
organization 	 475.1980036823988 1.5537435906304313 
accept 	 861.8128254163956 1.5537435906304313 
funding 	 940.1904938818843 1.5537435906304313 
freely 	 1111.1707500483374 1.5537435906304313 
copied 	 1268.9607901773902 1.5537435906304313 
distributed 	 1023.9849544050666 1.5537435906304313 
provided 	 745.8934686363076 1.5537435906304313 
properly 	 1043.687956495408 1.5537435906304313 
attributed 	 1111.1707500483374 1.5537435906304313 
alerts 	 1494.2336238593725 1.5537435906304313 
