term 	 tf-idf weight 	 BM25 ranking 
 national 	 312.86115381575047 1.6095477211390408 
environmental 	 205.53339960994975 1.8503754977546336 
features 	 498.8286729078247 1.7215802069820514 
sterling 	 1341.0214358092376 1.6095477211390408 
morton 	 1262.052706921224 1.6095477211390408 
herodotus 	 1452.321607984929 1.6095477211390408 
theodore 	 1262.052706921224 1.6095477211390408 
roosevelt 	 1200.7998020854732 1.6095477211390408 
planter 	 821.2952545243169 1.7836558433211422 
story 	 629.9930988943582 1.6095477211390408 
french 	 666.6474661697897 1.6095477211390408 
transformed 	 1200.7998020854732 1.6095477211390408 
countryside 	 1452.321607984929 1.6095477211390408 
dry 	 1071.783805857519 1.6095477211390408 
windblown 	 1452.321607984929 1.6095477211390408 
lush 	 1642.5905090486337 1.6095477211390408 
valley 	 918.1692720692453 1.6095477211390408 
teaching 	 1496.486018723474 1.3466470218815527 
poster 	 841.3684712808159 1.7215802069820514 
introduces 	 1108.4381731329504 1.6095477211390408 
major 	 735.4104144686539 1.3466470218815527 
themes 	 1540.4294652362455 1.3466470218815527 
investigations 	 834.3420092674459 1.6095477211390408 
encourage 	 1798.4614576921542 1.3466470218815527 
responsible 	 1220.2821545815018 1.3466470218815527 
actions 	 1183.2568914247543 1.3466470218815527 
celebrating 	 2904.643215969858 1.3466470218815527 
reproducible 	 1642.5905090486337 1.6095477211390408 
student 	 644.0731082037408 1.6095477211390408 
pledge 	 2524.105413842448 1.3466470218815527 
proclamation 	 2682.042871618475 1.3466470218815527 
curriculum_sleuth 	 3285.1810180972675 1.3466470218815527 
sleuth 	 3285.1810180972675 1.3466470218815527 
filmstrip 	 3285.1810180972675 1.3466470218815527 
principles 	 759.0090951223127 1.6095477211390408 
taxonomy 	 3285.1810180972675 1.3466470218815527 
process 	 859.2375244169352 1.3466470218815527 
identification 	 556.2280061782973 1.7215802069820514 
preview 	 2904.643215969858 1.3466470218815527 
booklets 	 2301.505069491065 1.3466470218815527 
written 	 302.261381298675 1.6095477211390408 
specifically 	 1246.4299534766026 1.3466470218815527 
eastern 	 616.6001988298492 1.6095477211390408 
central 	 480.3282735366861 1.6095477211390408 
western 	 484.3356439777924 1.6095477211390408 
background 	 579.9458315544177 1.6095477211390408 
suggested 	 794.0993556017761 1.6095477211390408 
questions 	 886.3541470928728 1.3466470218815527 
class 	 1115.948216596064 1.3466470218815527 
discussion 	 814.7855090859521 1.3466470218815527 
varied 	 2078.9047251396833 1.3466470218815527 
store 	 1668.6840185348917 1.3466470218815527 
east 	 1085.1550994046409 1.3466470218815527 
rockies 	 1642.5905090486337 1.6095477211390408 
west 	 976.8047700516272 1.3466470218815527 
discovery 	 449.61536442303856 1.7836558433211422 
curriculum_discovery 	 3285.1810180972675 1.3466470218815527 
designed 	 1037.3858534373342 1.3466470218815527 
promote 	 1613.7381997871082 1.3466470218815527 
wise 	 1039.4523625698416 1.6095477211390408 
relevant 	 1588.1987112035522 1.3466470218815527 
active 	 1698.3669230122732 1.3466470218815527 
opportunities 	 1382.4920074602176 1.3466470218815527 
packaged 	 2904.643215969858 1.3466470218815527 
ring 	 2401.5996041709463 1.3466470218815527 
notebook 	 2524.105413842448 1.3466470218815527 
pages 	 638.8464385801022 1.3466470218815527 
introduction 	 563.3043728658063 1.6095477211390408 
assessment 	 1436.5356074346935 1.3466470218815527 
resources 	 1028.3112666661198 1.3466470218815527 
field 	 1148.5716744345336 1.3466470218815527 
tested 	 1877.0238208508838 1.3466470218815527 
level 	 814.7855090859521 1.3466470218815527 
foundation's 	 2682.042871618475 1.3466470218815527 
camp 	 1729.746892210405 1.3466470218815527 
piloted 	 3285.1810180972675 1.3466470218815527 
teachers 	 849.1834615061366 1.6095477211390408 
build 	 1698.3669230122732 1.3466470218815527 
awareness 	 1836.3385441384905 1.3466470218815527 
increase 	 1148.5716744345336 1.3466470218815527 
knowledge 	 1195.323311213362 1.3466470218815527 
sound 	 1455.8007420110805 1.3466470218815527 
scientific 	 1475.7665786608907 1.3466470218815527 
empower 	 2682.042871618475 1.3466470218815527 
participants 	 1968.7365133309622 1.3466470218815527 
specific 	 592.1851647345698 1.3466470218815527 
skills 	 1518.0181902446254 1.3466470218815527 
earth 	 759.0090951223127 1.6095477211390408 
curriculum_earthday 	 3285.1810180972675 1.3466470218815527 
scout 	 2904.643215969858 1.3466470218815527 
leaders 	 1137.4803881172154 1.3466470218815527 
community 	 423.08273914204193 1.6095477211390408 
event 	 1588.1987112035522 1.3466470218815527 
planners 	 2216.876346265901 1.3466470218815527 
utilize 	 2021.0618020435365 1.3466470218815527 
celebrations 	 2904.643215969858 1.3466470218815527 
teach 	 2078.9047251396833 1.3466470218815527 
planner's 	 3285.1810180972675 1.3466470218815527 
free 	 694.7251377562607 1.3466470218815527 
free_trees_button 	 2401.5996041709463 1.3466470218815527 
join 	 718.2678037173467 1.6095477211390408 
free_trees 	 2401.5996041709463 1.3466470218815527 
return 	 833.397460955901 1.3466470218815527 
homepage 	 1640.5239999161265 1.3466470218815527 
homepage_button 	 2401.5996041709463 1.3466470218815527 
index 	 238.7382474897919 1.3466470218815527 
help 	 944.9697656015854 1.3466470218815527 
rescue 	 2021.0618020435365 1.3466470218815527 
rainforest 	 1200.7998020854732 1.6095477211390408 
rainforest_button 	 2524.105413842448 1.3466470218815527 
